Username,Stars,Time,RawTime,Text,Images
C H,2,2026-03-19,2 個月前,"✨城市烤雞腿餐$150（不飯、不要粉絲）
三種青菜的調味中規中矩，絲瓜看起來有點黑
地瓜兩小塊也是配菜的一部分，吃起來普通
雞腿口感不錯，調味剛好，不會太鹹，份量不大",https://lh3.googleusercontent.com/grass-cs/ANxoTn3XEBFJj4nL5KBiPMUK2bl9IGtfZAEDrYY3L20CsvQPYC1YZS79ALgLs8DUkMZeZSdpVHiMAqp5JQ_wHJKuBvyG-TLCVgr_frH8XC5_LxiBb9QZrdU7PkIs7Eup8tHTl3DkNk0d9l7GrzqN=w600-h450-p-k-no
MEI,4,2026-02-19,3 個月前,"點了香蔥豆酥魚，詢問店家可以不加蔥，豆酥魚用外送吃起來豆酥沒那香，不過可能也是因為是健康便當所以口味沒那麼重，有四個配菜還不錯
115.01.21",https://lh3.googleusercontent.com/grass-cs/ANxoTn2HHGPt318d1cJuhMIQKgubtpgdGVInLWDOb3_eMpu4PTBMxMP0wt_Lt2UYfSoH2uYWFytuOdIrYRjYd6ysBOkdufFoxtLqF4Gzr3S7VDUUdJc_YUUbLBGFiJh2bm8mv4Fq19eZBbiyCooy=w600-h450-p-k-no
eudora,5,2025-11-19,6 個月前,"去骨雞腿很香很好吃！另外韓式和香料雞肉也不錯，都很入味香嫩，蔬菜調味剛好不會太鹹，清淡好吃，開放式廚房令人安心
，會再回訪的便當店。","https://lh3.googleusercontent.com/grass-cs/ANxoTn23ZDrCCLom4czGS7SMKvjq9Teir4sj92rp0IefoRpcT4XH3029vamvPX2XD8P_58eOrPyPIsUtA3N09w2d1hkv1hlCPwHoAduNSnl5XAR8t8BVWKPHWEq7S5OvP6aWm2YP_ZgU1tlOCPsk=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn22S8NBIN_SuZpnSv-tMotVKcFgPgZyicfFWkL-8VyvzM_T1FoOwGnLCHGb4xey_DvZpxTVQaPwa4gOdyFdT3DTmx8Vvgx_HU21F2EFIOQ9y9izxH0lR_89TNJ18N_Ew2rd6ESz0rL_joOF=w300-h450-p-k-no"
黃（Snail）,5,2026-03-19,2 個月前,雖然是隨手拍的，CP值超高，希望老闆可以在下新莊開一間🥹,https://lh3.googleusercontent.com/grass-cs/ANxoTn1Wu6o1gdVUdzbkN3cVmMjMFJwpeK8SWynURcju_CzZqH1Jnjop4lNHu1HnCobs3wr73R7cd1YOGiBC-xMhgt_JyXLLz613pS__blE6Yo7Q67gBbkexRRbxmPUHrmRC5nA4TvxJquqm_KJq=w600-h450-p-k-no
Yu-Chen Lin,4,2025-12-19,5 個月前,"·坦都里香料雞$120
非常棒的便當，有標示食材來源，蔬菜量也給得非常足夠！",https://lh3.googleusercontent.com/grass-cs/ANxoTn379IA30OV0sDh9qvt_OCU7zOw6ocqIbGo-gL0TUGVJhEm3dlZrMuDUqVmp2r_oYwhfxvlBh74O0rdCpi14q7solfAJ4Bn4RPhvEEL87s6R6i6bL3oxS_CsejOxFkFbZ8jJvFMf0ruWkcoQ=w600-h450-p-k-no
潘宣彤,5,2025-08-19,9 個月前,店內環境舒適，今天點的雞肉味道很讚，而且飯還是藜麥飯✨還有附好喝的湯！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2qyHM-TQUSlkhu-Gi6jrHtgBzPn7zTMfd2Zv3v1qxbIiS1lISVmzyMa8AhTwC4gNhWcVEbQWkT1ElTiyWYMRx6AnDCREE2Mq5goPZ-ZrNq0SyAOvuQ-n4CCbJgCPf3peCSBAWRMiK1Nqg=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1HcYWEcWax9iS15FCenhTPWB9F_VK9_Yerl0f5dHGBkxPAI2IjXawEPUPvaU_3BCX1HX2NyEnUZnrj0pT76opc77_tkNtZD9cy6aqcqx0O2_jfKzaOZI2YG7gPHhh5_gRBhiKD9oNHf-5o=w300-h450-p-k-no"
章魚,1,2026-02-19,3 個月前,"四樣配菜就有一半是澱粉，之前有人提醒反應過結果被你們硬回「沒寫健康餐」，中午本來有留言給評價，但想想做生意不容易就又刪除了。

剛剛回頭看發現店家居然悄然更改對他人的回覆，把「沒寫健康餐」拿掉，還叫客人自己要注意。有趣了，四個月前的評價你知道要修改表示你有看到我提供的證據說明你們是賣健康餐，寧願修改對其他人的回覆也不願意跟之前的客人說句「不好意思讓你誤會的話」。

既然這樣那我就直接把之前拍到的畫面放上來，讓其他客人自己去權衡這樣的店家到底值不值得支持。

-----------------
回覆店家回應

認同每個人對健康餐定義不同，而你回應之前的客人說沒有標健康餐又叫之前的客人自己要注意，但我圈起來的地方很明顯就有寫這關鍵字，請問你是要客人注意什麼？","https://lh3.googleusercontent.com/grass-cs/ANxoTn2JLBe5b8diX9nHysGHkRXvCFBsnRYqo6Nx59MdxlwjyiWu8vXjIlGDGfHcmV0Mm7KA4b0Zy6qxe6sI1mrNpIhlJcBKdZTnr5DhitLyYcKNrB8OxcAr4gBkufiiuinR4_Q92Ps98xItsbDa=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2eejFcO3LZR0ooY39JTVTXH9ACyKSRvcPWkH-sx6_Ma8n0iAbmyRT36n_1BtG6uP4_n0LVmA9SCwCRIXQ8Ji9aJSoB3hFTuF2OpJ9QNzSGV2g6SnfK3AxKmwClfWKMAp7DTD1xxulrdLuD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2bfuVnt2-qLfsj6jUl_chdRSkfanvMq05QinbwfYKD0WqR8p3ODoR8kh3uqh2Sf86wfYVmzouSjqbpBhGTWvrQKINtKmipyEt4zwrnkGxblqzhPnkFhghTCwYOYYJxHNvQ3_d7bIaREb7F=w300-h225-p-k-no"
HSU Julia,5,2025-05-19,上次編輯：1 年前,"2024.08.26
再訪，味道依舊是很好，份量充足又美味。

2023.12.04
發現一家很棒的便當店！
餐點選擇多，有電子支付，也能外送，可以客製，適合正在飲食控制的朋友。

點了壽喜燒雪花牛，主菜和配菜都給的很大方，不油不膩，重點是非常好吃喔！蛋白質和青菜不夠的話還能加價單點，白飯中加了紅藜麥，有加分，而且還能免費加飯！

內用有6個位子，整潔乾淨，有提供熱湯。

附近不太容易停汽車，機車格倒是很多。","https://lh3.googleusercontent.com/grass-cs/ANxoTn1nESjXWBtIvVGP1ND4xeax02FGMixmaI450t21Heq0cTUKiTrKwkvheFnQdmGsXwWwWgjhVHrLVaFhYCr7t3P-5KbSNLQECZ1QWDVt74jRoTEHb1pX6ro7uTgX64bxnctkHmb-=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0fXHcOonKcfl3XQP5xpONl7O9TVeQM5VPEH2UcaswodEd8qaVqIFmrDKiE24j4xvuu_BcTp7eBMS46SVRHs1aBxizuEAd_5tpw6imbfm_JYUImp5YwCbAIRceefO6qsx362Psh=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3sVVQ3iryvG1d38HbRqdPzqqRvKhMybvLXAA3BeD6G40AuBOiDVR6EqzlLqZ2PYn5kC-p0MpmP5gws8EocSOBwVR2tMpFR6tox5kOKQoasZbCb2aAoNLi5gxtIi_7ShjTGZVo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0YfHwGoXdnV4Y9GmvVQYXAP81nmEmIJBIGV_q0E2XyXOs3M8vCf-TJ4hwP3ZulPyHqeiGlYQXSQgTpuzb-uk8qbMngmOeC-Eff9hxsYcXyveTBrq0ZHlFUYK-AwtNxizrbHVA_fw=w300-h225-p-k-no"
吳宗勳,5,2025-10-19,7 個月前,香料雞肉醃的入味而不死鹹，雞肉嫩甜，好吃😋,https://lh3.googleusercontent.com/grass-cs/ANxoTn1z0Lyr5fJeGCvtSCqZu45CZhO137gYPPSC_qwlwVWINYcD6bHxJ1UPvUoMrpR2_wqOmCqJHNWCpu_9ooBUx5m9Rk9eHUh7i1tPHX9qy8brS-9wxLAYva21fK4vKXb2UGIhxTUnlE8gsp0=w600-h450-p-k-no
李仲（jhongsky）,5,2023-05-19,3 年前,異國雙醬雞是坦都里香料雞跟韓式辣味雞的雙拼，兩種都是醃漬入味的雞肉塊，不是淋醬的那種，所以吃起來不會有醬汁感，香料雞吃起來有點像印度那種中東咖哩味，韓式辣味是吃起來甜辣的韓式醬，這兩種都還不錯。城市烤雞腿吃起來是台式鹹甜的無骨雞腿，只有少量的骨頭跟軟骨，吃起來口感不錯味道還可以。壽喜燒雪花牛吃起來就是壽喜燒醬的甜，吃起來跟想像中的一樣沒什麼特別，牛味都被醬蓋過了。香蔥豆酥魚，吃起來是市面上常見吃起來比較油的那種鱈魚，今天吃起來豆酥的鹹跟魚肉的腥搭配起來很重口味，我個人吃不習慣。配菜的部分吃起來中規中矩的組合還行，湯品的部分提供免費的雞肉熬製的味增湯，沒太多料主要是可以喝熱湯。對了google評價跟FB評價只要給五顆星，會隨機送小菜。我個人覺得四,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1MlnBT05nQQyQeOtexoZwCz3tOYoq5ELoNtkuCWA95lNt3wnhChq_9SnybesAKHUfzG4H8s0OCuZKnlNvUSC6H9_uZzqzICbxB2Hbs7UzXLY9_O363v1T2GFHBI45MRcxjp7k=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ajMbz3wQNmIpm_QEEeBIfnv0HdDf8UI76EtowUWArjSNiqoyfuiEJVVzxu9npKiw5KMEA1HIVk5-gaoKrl0LadJDFfdQI5NcxmuPaSk41xER0Ggk_etMVDcu4iFiStOk4RiOEkw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0B2jnDHzyx8sX_L6cWPNQp76bhlb96OawOOJCYr-WDEZlDaFzwiqndJNOCHLTPKNJ_wU7ck1pg14j6C4xESoA-fKBKIzJwjo7g3yAtPQpbZFcaxeytHdWrvlpYgYZ-an2xTfuw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2MUVrJI2TBUUOb_TwWbW4Rmypa6E9bzl-egsWZmU1d3wRfwV5HD0tF8Co0T8i9fc9wrNy5R-rrpxw4nIUEdqCUoy-bW0JHJXen7ouV2_HAV8tn0M82Xr1Gjff3FPqsZGWGQQGt9w=w300-h225-p-k-no"
