Username,Stars,Time,Text,Images
Jeffery,5,6 個月前,"原本在家裡樓下，後來搬去寧波西街
地點不是最好的，店面也長得不起眼
但我真的覺得村民餐盒是附近便當店最好吃的 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn08k83lkd2Tq9OT5CCdoxfiExYt8GNttnv46oHrU3G_WoDLQe-gVKmtozyXpTgnfQkAntQs4RZWBpffkCrNNeyTxNn_lpPW0Fn7ayVWXxDsLRJk5_bVBdzhyMmGJ4OvE8WSgk-jcojUBmNU=w600-h450-p-k-no
君君,5,4 個月前,"好吃！
可以吃到食物的原味跟甜味
太好吃
吃到一半趕緊拍照給評論😋 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn3z7_4-ob4o09E7nssYSJVvSxLdpNN5ybx3XJ54cgr2syUceXjWnPsOO6cpXdr2UczjYDrsQ1x2WThdauKARBs6raJOxrDPIzmiQT1r6TyrRNFfrLcOA5ERUOcHX8ENdD23_8yaJhDeBdwW=w600-h450-p-k-no
mu mu,5,上次編輯：8 個月前,餐盒份量滿足的，點的嫩雞蔥豬雙拼好吃，尤其嫩雞真的非常鮮嫩可口，配菜的調味也相當清爽，飯是紫米飯很加分，不過因為整體味道是清爽路線，所以不怎麼需要配飯，顯得飯量有點太多了。 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1rpkLBTP6cuwXu9H-ewupXs2LwoGLFf4yGNxE66nmM4vA1TBjmOf3OVtH_V1mS9M0EMJrRg6CHuhzmpNeslaa48uWfLkb0tCyEZuZbCC_FgC2AG00mt7OYq0-EVWQNoQ2b-Eo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2zjVBxJmaGlP4ZPYD9lMiGmbPaZ-oJitLW_qpnp6OLM40fyd6z521_VFCIqWIxN8m_VQ-xfJtR2EGLTg8zRpWpzXm4E0MNQiGHx4Wk9fpb3UqMBfOIu0MGmgRqBmuGDYPZvrPD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1pywybDfhc4J1isMKVT0YN5x75tkYG6olHuGZtdpwOefx7kidNbQtX4EvG7zplLTHdp-yXFECR7uCsXT8H1i9uqCpCGQVLCYYufLvP022uz-7XMLtMI7l1U52t2VVo2FVYaNmR=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2nYzIjYHmT66-eNIQ6DsyDQtiUf82WU_jjaeuqiOeSKLbj0pMN-aEKtRGMIJPDTqishPNtQm-QC22LJtDjRbTZt4v28mOJBsFDyFkKADw0iY4AqiofBf9q7TPMlvoi2uJK8xS8rdCuQ4O2=w300-h225-p-k-no"
w,4,上次編輯：11 個月前,"買過很多次，這些都很好吃：
味噌豬肉、泡菜豬肉、雞胸肉、雞腿排 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1yi896Am919PPVOG3unYSdUyIwLqYkc_l7DWhLxiYdlJ66dKUsdEwZH6mBVque3b7A8hfJnAxC0hwmpfDBJECTi-wzp1n2vvl6yYXZiXgGgWBjKxbgUNL2GRb51cxIKFoQx6k=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn28o8yu_GDFvLVruLD8jci4YxmHkNMyqUisRJj7r8EnZUBRMudR3vs7EyAl0Hn3h2Fddf-Vq7akntN9KbodkUgo2AZx2UTTg0hUJFf9bn2GVeQzoOXZInFbUS_r5PPgayFnsp7h=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2BaE123Rw4kmAhfZAUmSj1NpNfqWMljDJVA8YigrII9efEpLWuxntef-b07IkECq5yK7Qz6vSReimSO_hkSFhLzc3FRRbMvxo-VVn6iDxYPro6eEPTXkeQqQ0vloWk8QhaUovK=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn39MyLfbnvy9nMU9DGB4DnWJaFltrLX70qIpWdaxv1qb8DG0qOPTapCiEZcMOR2x0cuYL4p5rYfeGi3bXUgo0drPvHO5Y0iHZ5rZ5tfmUo1B0U4c3XWKlAMMMl5MtZ26GAjA53r=w300-h225-p-k-no"
Te Kang Lao,4,上次編輯：9 個月前,"搬家後換了餐盒好多了，
雖然食材上大同小異，
但至少新包裝沒有難以言喻的氣味， …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1UtsTKGTs_5wOCxDnE1cJCxVWG8edtX3ZtTqWbd8xBQBb9VMeA7aXJd6YRS9k34lVy35hYb2D4Nd24u_UbM8g2lMB1AVjvAtqRyXQDSBP5UJXcwl39PTN2z5WESmRRbeY2-W6VmA=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn16NUO9SG2YOvryMUpqDzyjrGAL0MRR69WRZPcFGMX4bjMYCi7WllOjuW4ETQcHgcH5F-e5pgoTkyCqvk875CMVd3qRUDbi2vXIwGV3MzzrE0PT5eFC2lZjUz0TnyL-ecVgdg4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3YBufCd4JxlObabeV8edTixu-JjIK80YipKcv--YFwHvwBUQBT0yI6bUbJfWBint0NmbJqHICBGTsgOtuXkffD84s_mtz6QkIwKuZpv_t2zeO15wHoLW6LBnAffAvy1I2APmLmoBk0NNcY=w300-h225-p-k-no"
PiPi Lai,4,1 年前,感覺看著還不錯，實際上個人感覺吃起來口感不是特別滿意，菜大多都是冷的，個人喜歡吃熱食,"https://lh3.googleusercontent.com/grass-cs/ANxoTn02mpR9fe7ZE11C-ykkpSIUG6XdRJ-KAoww3bduyB0XyiXBv4aRKR3Fk0IMEJYcZg4tHk-fV7yrQlkpX5Hx1hWFvb9ly160BfFx1-fw0eT8fAosCtp7izOlbnkyp3emBZOAS6e7iQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1EEz0Dd-wzghqkmpaZBzizEOgSBiujjokLNuqpqTOVg3VDLOmXIuSig2y7kBqYPnX1AB2n2RIGM1ujCFle7ELdeEhoWss3W_qOSctaSXxEbJOhCSSJEZ5CoWBqMxbkgpySsHg=w300-h450-p-k-no"
_TY_,1,10 個月前,真的沒吃過那麼難吃的雞肉健康餐 外觀要生不熟的 吃起來口感很爛💩 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn0mvzc-CJroQ8I1IPM566jKe3UoXX79E3Dm8q1jYlKBsxmTqmmJ38SLHjGznFpUImhwxPr37xYV1g5srBQvHNmx_UlBto2ZTl0TaE2MqK0Umy_ogo6jQXrFDfG911cVTh1umcszQ8uPl_KO=w600-h450-p-k-no
Phoebe Cho,5,3 年前,"✿輕食減脂嫩雞飯ɴᴛ$120
紫米飯煮的很好吃，除了飯是熱熱的，其他蔬菜和雞肉都是冷的
調味清淡的健康餐盒，基本上都在吃食材的原味 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn17Q__D-tmNtA2b_HeZ0SWMP7Ki1RjYzBg1ScEAdSxftab3dPN5UXIDWkA4uyC4g_hiKPM7lJXRosBeaKzxYcrSTOiB1fV58hbSE-8xJ-sOC4fTjYHEUu1rI3JyIN80hsHa-k8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1eVcGCr3GzFy_e_uAIgoEyuyLDphfjcKN0QscIW1bvRc4oLaT_kUeWXwM5cv6NqlRvKX1QrFTf9y9I19VNvWhU2P3sPvNHsz9VGvUIg4QKK-Gf5jxArpRYFF_dw705UIP8YYui=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3iGJVK05-9JGbw_usXPm2GTih-4cihccUBfDi_M997QqA1DVLrtkJ9PmQR7gh8bPTHVq2dPswaIKDnyJbXOyaWutqNVuyqiyqjV4qkPm-daOykwtSi92ZyrqXEPB78cIcuBKRlFw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0duDnvYTbVfXc5wFenmzvzzI16VdOQ-2C0MMlYiY9vqAC6q7M8qj4bA5S9BxbJKwxG9b9C-P_h4PNZZc3ADU3ggYAyCBjokI_Jg3yYfJMkeHsgPARzimrf_FFxkrXtIUkv1weF_Q=w300-h225-p-k-no"
王藝臻Elise,3,6 個月前,嚐鮮的泡菜豬肉，豬肉是火鍋肉片感，飯是五榖米，口感不愛,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3a5HovGsSLtd8h2LIhIrzZRJPTkzLtGyMMVV6pVdu9kSfuPsQ4pgL6qYA5QtbG0LRMgxTF7LF9Yx-cWocP-JjnhkL8YDNPQTdtDlsXSdck7WxSChW2IeLzXBlVsQQDvJ9iXOJlWXTeK3AY=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0wLf20jHmTHHLcfdrlXEnCtxNUpE0nINihNNV_U2sgfRRBCZ1XI6giDW3QA9z4_2NBSwY0rRE1Y9XBewSe5LAHDesfGsYkD5QkueSIuy-rTCAg1YrmIISmJh1vl_KIkrfv_uUaBVySOLpH=w300-h450-p-k-no"
John Dodo,5,2 年前,這次趁foodpanda優惠來試看看這家店的健康餐盒，我點了浩克雞肉健身飯（200元75折150元），主菜雞肉很多塊。份量十足，米飯是紫米飯，主菜和配菜都是簡單水煮，吃起來清爽不油膩。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3FSGwDW8NdSh7QxoNNfqR7sQ7q7HmHhM07fYDI-7Lfy661l7E3m-dxT1opr43Re7hI7EAj82fGfV02Pl3a7TUkeTaq4tyS-8Gs1oxZ4Mw9JO2xOFCZJeTXcDGRQkLJmWF8UG7-LA=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2XNSjEovp5JUUXvGhh-VGHh_zOO2KPQ9MG9IDrg5aOB-bZWL1BknOkjy4CuGFRdjGnIvNkp8rPHkq1pyxUVuyv8zRvcHF-E3UiDE2GLj-CgyEHSHaElZ0mCtdz07JnLYGxV0ry=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2HpgGd_fQKG-1fGTx5lM1QQVBBCJRGs1e0CqSfZgp12QOewe-P14WqanGO-NpdC4chLS4L8qNKOmc-lNuXKTGNq_ZWd8ITIxBPayMOQK1LCXQJuWzTt9Ta4frB1M7Be_PQqYGU=w300-h225-p-k-no"
Charlie Lin,5,3 年前,外送平台健康餐盒愛店之一，實體店面位於南昌路。蔬菜種類約2-3項，葉菜類沒有乾癟感相當合格，紫米飯也提高飽足感。鮭魚、雞胸調味以水煮餐平均而言已足夠，整體蛋白質份量適中。是健身減脂、飲食控制的好朋友🥦🥗 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2AUsQ6TVqMLNTla8yFtwBFxsdNFrCRWmMMO5Kn-Fy41LMRVBcNtIBXC2R7I9vL0fVBO19sDg3gyUm0HlOFuf356bQx4_PvgBpBm2CvNP1AmIGx-7l2Cach0SIbhzasVhqxqjeH9A=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn17F4s1qf9Ibs8zQtEw10oXLDiYb0yKS_jMTBilrGRZDOknuEISCb1K9QNkPsZaL0ll-VQXQloe3RPYO9wSjHj9mg_iziZHwqsiJF1r3gufTnuruFZXKJzvw151CIaODo8PsvdbQA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2xWM1Ris4iSNEWlRmySHqzv-yg3gv-1isRV-EAFh7VSf0nC9EvuCSNp3Y4eBGaV0qOHDkc2lsuSQ9G9M5Cdsa8kQsPoUjImFp0k33yI6wZPf7JxLa7n539V2AJISskyK80riE0=w300-h225-p-k-no"
Liz Chen,4,3 年前,"鮭魚視覺上微乾扁但吃起來不會真的乾，算好吃，配菜清淡，是適合女生吃的份量
熊貓上目前滿100有85折，跟店內價差不多","https://lh3.googleusercontent.com/grass-cs/ANxoTn0teaVabpnt_M2J8Ivhq-wWYZ0S4DH3TMuwCxWMznQ3x3LwM93-F7PHpySJpb6GrZ7kpJT_yVlMEMw2ttJFDF2oR4-j3VkySgup_cCaNfCTkLQbRD9nNQi57EsIx5Zg5eq6c1D4=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn26n3NFaLv_ePp9smuXmjISAJlyLnzPrmWS4pq0A8rFRj-qiuEcMxN0wd2DkBxRCTPU3hRvhMZAFRTtURnmtpMDonAzBNkdtrR52cabFARkicUX4tRkn2T-lc2VOC1QssX8YNdu=w300-h450-p-k-no"
KunTa Tsai,5,3 年前,"剛開幕不久, 蠻常經過一直想吃, 今日仔細看了菜單, 看起來應該是屬於健康食材, 廚房蠻乾淨的, 可能已經快晚上八點了, 只有老闆一個人, 老闆說營業到八點, 感覺蠻辛苦 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2FkKEmr-vwWMr7_h6JEzwbnKVw3dAdq6aw3obh8SFBngFxm14VP1JsBsabjPi_XGg3bbS5ZKl6_dwJhyzyX5dKYZGCLqhf5pf8r174aB81rlaGEzOJG0OfnAvji9DQ2q2wKYyXQQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3NK0pNqKucCBQhyKZ9A1Zs1yRYDHUvp6EGj-Ug-lLCJzs3GbJ4X_kyf2Ma3r3Ia5ovB6cNQbaWQoycw0yycpzDX5Z2mSm__mOH81vKMukL526gJBXE99FiUeO1puPERgpvT9s0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3hZoPhOGk2iLJxfPtHK5pyRiXOJrRrn_HG-y_iQSYxoEVxlf_WIHbWwbWDVotO9HoR2nloeT5maTxzYCrXzgL7n3udga6B6eWk6PfGBY1xjoU_48-aAXDxeankptjDmBTwmCovHA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn12T4_BDX62YEClkdJr3zl6uEiY6WdEXOXrc8iVa86lEtWiJ6suC_yt3KM_e8idRTziG0gDkzdROFwMXv35ehJSiRTX8cqH_olfcPDEL0Y8bAvJLQlEgN8Q5kiWggLZkRH6vpwc=w300-h225-p-k-no"
Catherine Huang,1,1 年前,"因為住在附近，想吃健康點就會來買這間健康餐，尤其喜歡他們的鮭魚飯。
剛剛買回家吃得很開心，吃了半個便當，才看到毛毛蟲……..
一個150的便當吃的蟲，實在是………","https://lh3.googleusercontent.com/grass-cs/ANxoTn05VQNXeS9JrA-qPvVtFpfmR_7qu2u8IscfecPDD75ZnMnUQCLEynCOvfC-XOHDuDFljHBraToe3_m41LIpIJ0wtoWdFWFIjBpgbBaVPIIcQbPsCuj5UoEx9EmJpps9P5yIwegB=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1_fVlJTvwyn8S9pSBjrbC26FvBddZmOEwOjIfOcvwc1E09JZG_r_hw5-JptaeXDIJ84uTe0Sp6hAWb0ze15X8us6LlSPZEJ7WIiqdRP4sTf-JQs3_W-qDCMLRepk9ibXGEnHY1=w300-h450-p-k-no"
Daniel Yang,2,2 年前,"我從剛開幕就吃到現在也有幾年的時間了
但近來的品質真的只能說每況愈下
上週買午餐回去吃 買回去後15分鐘內開動 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1f6se2K7VwdxIrZEtGOeloY94oYPhAiE7g3rY5Tew9EfhwC-1-KOw1twau_Ej-MX33NN34Kds1lwhHv_xLw0qOn4JK9OIy-Jg6vL1WQT2pgjm202O6ovyN-PwgQ30XaFOd368=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2oTtZShSUtdEbHbujBWVlKn5s7Qznm7uFa0RfLsvCgQJAaicl7-f05CSTGMqkJpg7YbdW7WixcHmQ-uG_93FozuBKoJR3g02Yuvhtxfo711yApMfPdPMPZUkuwpRtfHQsKep_b9g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1570ATW05yEA8r_6z5ekvDdJyd-70-Ykyg_RCJtTQh749YhNOWq6n0KXWM9tjHMXMIAYyHbZQ5ZU8CYjBG1OzMIXk6Cy58PvUbU1aauAUH6yzH2xCoL4LeoC7arDFyRCfZ-A0=w300-h225-p-k-no"
aom,4,3 年前,"2023/04/25

是用外送平台叫的，具體店面是哪一間已經忘記了，買了兩份鮭魚餐盒，好像還有優惠折了110元。 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0UH7etDDJDZ7ythaJGLkzsVIZETx6OXGXjmp4y8EkNcwcVeWpUrFGckZo4FYqC31WRooF1KpgwBATTHef99Ra0Bn2Zq4SS6M7wKbcYkiwmb-GoYve_nx6mpl1mgWBQ7DbFoKQePQ=w600-h450-p-k-no
Steven Wu,5,上次編輯：1 年前,"只能現金支付，不過可以掃描QR code線上點餐，現場也能掃描點餐，因為有滿額折價卷可以使用，很清淡健康的餐盒，現場有評論五星送飲品的活動，不過這則評論不是因為送飲品才評的，剛好也需要購買午餐去探病，坐一站就到台大醫院，真心認為現代人飲食要更注意，村民餐盒不會很油，不會讓食用的人攝取過多脂肪，也希望能夠調整飯少的同時，蔬菜能夠增多，就能夠讓不能吃過多碳水而需要多吃蔬菜的人更營養均衡
現場看有少部分內用的位置","https://lh3.googleusercontent.com/grass-cs/ANxoTn1lx6za3yB5xynT64rxBzjmjrxmbAMI3f5QmbGO8QKka_4wuE4uCA5wTy7cD01KWVGo1bD3odtd0-q-p2FUxpBZqNK3IxFYe1EkWfG47GkP77AbuImD7vZhEIcbbFyWADqK9Ny4Fw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2EYWN1nLuVCn4RaTSDDzUEqBhKXCtjGQ2Rg-2o0RL1OWgMxrBJ_LGjSbWwYayM5hlZiAVq14jqCvQma1_z0sQaC2NQK0J96iuI4vrABm6REo4n78Qq7p29iNAuKwD21QdI74RZ=w300-h450-p-k-no"
蔡咩咩,1,1 年前,"好不容易吃到健康餐，卻看到這不知道是爛掉還是發霉的高麗菜，讓我ㄧ整個反胃，很想吐🤮
跟老闆反映，卻沒有得到任何回應，既然做健康餐，不是就應該要控管好菜的品質嗎？
下次再也不會光顧了，謝謝 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0MVc9ibVnz7InIgNEjRX752T-vjwWyWDbUjB-F-pvm8pxHyik8jJxQWN8pPjDBpmw3cGbGyN72v1GmE_MZhSfeScXDusbJFO0t5e3mqeXZwbhx6YT5qF7asaYyuDMYkbtdGjx0Lw=w600-h450-p-k-no
Mother Duck,3,2 年前,"對於女生來說的份量剛剛好
男生的話一定吃不飽
一份180元的健康餐盒 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0mf1hbLGdMd-JcCLn6nex3xW-hmpLwOEoXsDfVR_qnn9moKEX-oCJZO78nDNAk-j08AESW1p2VYVoseWB5EiVDta555Gi5sOejKFIWbW5ojm1Hgv65c2Z52-QX8bHhWICVeo4cQw=w600-h450-p-k-no
Jane,4,1 年前,外送，餐點營養、快速，鮭魚好吃，但有小刺，食用時需留意、惕除唷。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3Nk0A8bpUjJ_wAzlZ8-Dnj39ZDn5SBXSjROyldqNc-tjBAk75JdlQ-LFZ0t_50H4u3MAbUfpQQbFtsQUMzbxwnFofpf8vEzrQJYctzq_9--NWpKD-cpCUcBi10NNno3HRtCxmX=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn26K4asWafdVwS4tJaUXGSEF4jGj_SYU_SLpwsiHvNdsP_n1XbmQHi1JYC-Rn_JmMXhymXS225Hi9TTXKaYu2o7XE2dRSLHgr1tV_4c8TzTu-brGrRcTkOQ31ldvjK8h0W3D3YOew=w300-h450-p-k-no"
Yen-Po Chang,3,2 年前,吃到輕食減脂嫩雞飯，雞肉很多塊，煮的確實很軟嫩，紫米飯份量剛好，青菜並不是完全清燙的，有點油耗味。番茄南瓜很不錯，但青菜有點放太久的感覺，比較可惜。整體而言CP值高,https://lh3.googleusercontent.com/grass-cs/ANxoTn1qVwlh54yQbrc9jjjNFmhbdiOasv2QcEaaGCefkQ4-Zm0i__AF54oG84Odwlawd8IJYjcDVcfXCQqhC5njRVCf5EpAnyQFDbnUnyHkxpI2UbORYE-T8MntbGAH8sLIvsuFBGdg=w600-h450-p-k-no
cine Botry,5,3 個月前,"好ㄘ
115年新菜單～",https://lh3.googleusercontent.com/grass-cs/ANxoTn0w49kesz86uvsKMF8egEOlbG662fZKpOq-26DQlTs4lb2t3V3W4-39WcqnNWJLzPoKvmSDa6YsQzEfQzz7xlBdH7Mu5bVsNLBB2hfNwylLIcdsUc-l0wqOhJnMlmqlulrzphikHxiMheZn=w600-h450-p-k-no
Hhsiu Su,5,3 年前,輕食減脂嫩雞飯，120元，雞肉不錯吃，配菜的份量也還ok，只是健康餐的味道真的淡了些。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn03CnI9W24K0OHWSFnrukuJ2s5-8lsd2dh20O2vpc5C4hi_DKRrmpMOn4D__nyZhKpW5OkD5gUhLekhFtjeUjpbNO0tCLOYAdTClMW5xpxkG9251PemiD89blmVxOAp3bJYG2ltHg=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0ZgBt_UzRaC_c_Py3oPASszNxTGmPijw3fHmOlyu_yNwQVX6MbCNuiaOb6S_W08HQnMFwl6XBUhp_mV023j0A6fJV2HDOBrIBCBYeY625PGSHNw5Kt1JQd-i8EqVQmotUAkRVF=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn19I2ze5tx1KsSeYC5mI5c4vjJvcFl3m4e4JQWoIqcCeWjYXFUwpf5okIEjK8dd_5iOE_8I2bmAAxVdEP7s1gFs7OZ6lfqjwATo1W0khTqK_eyv9Knw82hrOwV6ZlVgB9mbmrhuGg=w300-h225-p-k-no"
Lin,5,2 年前,"健康餐，就是很基本的味道
鮭魚好吃，對外食來說是很不錯的選擇。
有免費供湯，用雞骨架子煮的，海帶非常稀薄。
不過台北的物價就是貴一點，這樣要180",https://lh3.googleusercontent.com/grass-cs/ANxoTn2Jz4HUS7xX3PDP4V1uVtpZohRALBhYC3Ap3f69NE1_2aFUUNGlcxAwseYj9NsB8gfWMPRSREsNYhhtokIJm2v1mKdkNftGmvvkQMKdyWEBdfiw17_Z6F247nNciuxrSHwQGmCK=w600-h450-p-k-no
YiTing C,2,3 年前,今天點蔥鹽肉飯$120，肉片乾柴又鹹到爆，很像抓了一搓鹽直接灑在肉片上的那種。紫米飯很硬，小白菜爛爛的，很像在冰箱放超過一週的品質，不推。,https://lh3.googleusercontent.com/grass-cs/ANxoTn0qfudQ1XG4hCM6IC7ah6CYJ3QDbD4QGQG7zShMFU4qYPdU_ONDmUJpRoe6opE5K9G1tyy8bTJwald4Ktf1wjeNKen_CO_5WO_N6WS01vHWuzAcrMnSl8AWxfS3uPg53Kww9XM=w600-h450-p-k-no
Mills,1,3 年前,今天買了鹽蔥豬肉飯，可能缺蛋的關係，今天的餐盒沒有蛋，而且男店員夾的肉量跟高麗菜也只有平時的三分之二，覺得用原價120元賣這樣的份量根本把客人當冤大頭，剛開幕時肉撲滿滿吃得很滿足，希望老闆能好好改善並維持一致的份量，不因不同店員而有差異，不然生意恐怕做不長久。,https://lh3.googleusercontent.com/grass-cs/ANxoTn2sW5YznfuvVd-Rqsa5zL_C2r3kMhYWCUOUGbV9hgNBAT8JU3FURUfFBiAafYkPSI1zVD6jsFYj-qHbvq8hKOzewEnhRyx3qV6QmzgELYyL2B8o-xB_JCMXNvmAllYCL8vmTOjQ=w600-h450-p-k-no
DORIS,2,1 年前,"最近的品質很不ok
因為在附近上班，每天都外食
這一個月下班買了兩次 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0w2UoVcBTyyWUqcjeujL4NRZK1USVWVyFLGFG54DVU_IJ6glMxvqA9r9SKwfH9O2NCyP2dnJEoRyjDnKFQ4vZdlzOrzYedmOg-zvqhV6Fj62IeXTlyw8JYYEoCBQLEDFnnJLE2Zg=w600-h450-p-k-no
Mandy Chen,5,9 個月前,"叫外送蔥鹽雞豬雙拼非常棒 是屬於很好吃的健康餐！
雞肉軟嫩、豬肉片配上蔥鹽調味很讚
配菜原型食物種類多 …",
王怡蒨,5,2 年前,"外帶日期：2024.4.30
第一次購買 小孩住院購買健康餐盒
今天選擇「鮭魚跟雞腿雙拼」220元 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZtalvqVOSF_LHDtWUhzFqQuXiDhfsgKXVlEhc3RhCY-gZMTyh4fcjRBuslVOzUF5xMlkNNEi7OJXuIVvyUZepVkGZP2w2e7Eqnic0Uvv4ZZQ-3U881g0Dr0W170N8Zg=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2QAYFVsk39MTCWANjty55-rmakC98fYiMUlZS451cHOdbI6u1GXGlrcOh1CNLxVU1ehuRejZNt_37QC0053qnjtVnc1QKvFQ_KOdEdcJWVhPwDezpWnVclLXdW9T_ndAFfx94=w300-h450-p-k-no"
vivian “妹妹” CC,5,2 年前,"雞腿很香。
紫米飯煮的很好。
菜是很健康的川燙方式，略沒有味道。
份量不多，男生應該會吃不飽。",https://lh3.googleusercontent.com/grass-cs/ANxoTn3qUZ8dHtiJvl9HByhYpaYEBK229a2ZBiLiTUDIKSQ_-pcreyY5yJlSj9-AJc3tHwBocr5OQSAoB2uH4qgC-Uoak9yZankD44P4S3yj0Dbk74HhuzdRX0_rOZoGlUxCPtDXFxf5=w600-h450-p-k-no
Angela Wang,3,2 年前,"飯換菜！
嫩雞肉軟嫩好吃！
蔬菜還好，高麗菜比較硬一點！",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Jy8iu-m9gGJYqv0Pv-JDCK8RAMXTfycpRepDsYKDjG20VJ3rreG0r6ztRPRGNDrGpdwbEgsQm3M_bLLvixT2lOvQ7MO813TsweznssTwHyTdcCrgp_fH2wg68Mew_z82x1A6q=w600-h450-p-k-no
"Hsing,lung Yen",1,2 年前,"這輩子沒吃過那麼難吃的牛肉
騷酸味+冷
其他部分雞腿排還可以
強烈建議移掉牛肉品項",https://lh3.googleusercontent.com/grass-cs/ANxoTn1l9UVuLAa3BZ7_8WGB_O025PQZOp2EaIyWv5pmDh9bYIdnv__iA2pUt2LckQl669Zvz5pn6nXzH53qWFyxF_umDOS1-oiuXwjSc142Qi7q9OKv7CQGWOKgXwc-wiutihfzqYA=w600-h450-p-k-no
