Username,Stars,Time,RawTime,Text,Images
Sonia,4,2024-05-19,2 年前,"2023/12/21
內用兩桌
以外帶外送為主

🟢打拋豬肉飯(附蛋) $110
🟢綠咖哩雞飯(附蛋) $120

偏甜、口味可
份量一般
綠咖哩比打拋豬辣一些","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Lzv82SeXX0o82SXvzxNyI5DRKaXSfwbzPn-VWEG4QPxz6kdpFli_9vwrkLJ1U6bD1ChHddG9xp8wTtfjeCBq2Yv41hFh6PcslmuD2MNY60oIASVCHCo6RaiKS82UZ0FC9JpdDeQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn10VSGY80LT2BAB1Cu7coJiTG_p4ZRxNQXLes6K1Rl5DkwGTAkVnA8qleWKD5iSPIIfQ8-yjSoeW0AjWx2bOLL_3BC35pqP9rDLGCif_c7X9olo7ByLxfjZcHlL4qnBvVeQPT-C=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2eyIxnPsteMLIwIQoPKdWoKhIgamMz_KCBwsAY7772LQ-y3FtMHo7Tz3d3u4X4RmrVhEKBukvjkugMmH6C5PjG6OGAeO3rOF8w-54k7eIE_PzfRL5cbhgJfKw5vZxeG-btEaf1Wg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn17Pmgl4-OyA09GY4thve3y2-EMMpH5Th26O7SEW2Eps2KeJcFcXM_BIy9Z4WwGk8ksVVJWiWw-4WDOaCVpsj2VCAXSVxIW9WTqP1J3pB_CO1zp7R3XHDX0f0ps1nYCRgNDFP8G=w300-h225-p-k-no"
Brook Li,4,2024-05-19,2 年前,點外送吃還挺不錯的，口味大眾的泰式小吃店，份量算是適中，打拋豬飯、泰式酸辣鍋都好吃。尤其酸辣鍋湯頭酸辣中帶甜味，相當開胃涮嘴，鍋裡的料也不少，蝦子就有3尾；雖然嚴格來說鍋物配料品質普通，但以平價小吃來說，真的不錯了。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0XytqBe6FcLthcoI1VmsqH1nxpvJ46Qh0EmLdJZy3N5Pfa9vGC2J5ZPvNkU1_xLG9L-KXioxlsteeNuy1J8y7W69Pum7u8zeRd8RNL8KFNm3mly73LHLGph1XSs4xb1B5OCbQs=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1aWSS27pHguOneRU6GBv6dHhwMFwir9ixAwoy-XPPdHbs15WG3N-CsV37WdNC5eUYwdXTDBncsK_PHdc0VqWoPxVoTfcTRppUGKKTpVZW7AVJIodq6H1ST8zEzjCiZVG6dzMjW=w300-h450-p-k-no"
專業嚮導欣賞每個地點,5,2025-05-19,1 年前,"CP值超高！打拋雞丁的肉就是照片那麼大！太蝦趴了吧😎  別家都一點而已🤣
重點是還有蛋😍 真的非常讚啊！
良心優質店家，七顆星好評👍👍

難怪米泰豐生意興隆，電話接不停訂單耶！ 剛好路過吃印象深刻👍

座位區只有2張折疊鐵桌，人多內用的話要碰運氣或是電話叫外帶囉 在家辦公室悠閒的品嚐😎","https://lh3.googleusercontent.com/grass-cs/ANxoTn1TYqQd_jVb-unmajumlaVs4QCJSsMKLnGkPA-8qrDMppCuWx8WBNvehk3wDRS5KGLQF4fCfsEKjIQGeva_WwgHzlIMACgN8x9H2N7Pl4Gzjdj4hh33enxeayxL14QOWROq6lHo6w=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1kUy2IWMf6VPvFarNh8xQCL1ighuFUGG0NlCFORZBHxCMBh--XgyniKLPx7Dxp59t1YhcigdzS2wYJzMUQ5U6VQmtosMKg160qiWV0Jl2SLUx2vsKHuYzyAEhdTHAd36wqccwF=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1wsaTbanyJA3Xah0Sr2h08jdIRewB1fzwXXAvVFxfTMoU3H2Pkri8Re9STcXt1UR7icYfXF534Sz8yB0DVd3-yYEW0SJb4vU4rRGGv9GxFGM4ZMg4f0dhrXnu8Zl5jOCBCegDdCg=w300-h225-p-k-no"
kidultamanda,4,2024-05-19,2 年前,"下大雨躲雨剛好就躲在這家泰式便當店門口，順便買二個便當和炒菜，看起來應該是專做外送外帶的店，店門口只有二張桌子，老闆和老闆娘二人在接單和料理。
點了椒麻雞飯和綠咖哩雞及炒空心菜，都蠻好吃不過味道有點太鹹了！
下著爆雨等便當期間還在門口意外看到彩虹，很幸運！
手忙腳亂中回家忘了拍照就把便當吃完了😆","https://lh3.googleusercontent.com/grass-cs/ANxoTn3HcLd9ToT11pNmqGIZ6A1yM73hMH8CXJRABecAW0CRMbccBGZsMhZneYFMmXaTBuw9pkrogwLhXRASm8m5vQuFXMd9DiOoHzBpuk3lNH5l70Khg7v-fbcXVbw2DrVu0MiyOZm4Sg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0KOULryqEgiWf7sLaU_8rT4feGtm8LsNPwyCDhB1-o0kI_roXaiiF1c5uZdTsFfs3mFzc11aLKLVMB6uhFEJfiTyimdJ2FUIuunm-Dd1mXPWI9A0Zo7fnIJ3ETCAouUTN5PtLiMw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0j0nBFRF_dYyzNKqEmasZB99g1ULQd05UaLgSxeXJzU6HcyD6BDJKOWOMk5kZKKLYC8h3mttyb0rTRkA_jNPZ6mkStm3UOkLNlO7RJSi80Wz2MDmt2z6Ghd8muusebpKTvxI69=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn12AncIJX8AB1eEz9zpxdjCy3YZOKmmiCyS9muZWIRiDNg27bZoCfQDtfkBJb-wtfqeuNtj1RPYNjpPqzo-_sGkheMwQwB0MeQTbevvOmBQXpwIM_S4yXdSbJDsMVpEls3uDIlQ=w300-h225-p-k-no"
Mom Crow's,3,2024-05-19,2 年前,"口味不錯，但是偏甜。份量稍少

打拋豬飯（店內價100元，uber eats價130元）
口味不錯（但我不知道道地否），下飯，微辣~小辣之間（好像無法做不辣），肉的口感很柴，有的還帶筋咬不爛，口感不佳
附一個全熟荷包蛋
飯量稍少（個人覺得小食量的女生可能剛好吃飽）

泰式炒空心菜（店內價65元，uber eats價95元，加價46%...）
份量稍少
炒豆瓣跟蒜頭末
口味不錯，微辣（好像無法做不辣）","https://lh3.googleusercontent.com/grass-cs/ANxoTn1x2hfr4Cu0rlXh6Z_tWYgVXTVEAyFKXdXMekicqHvSxy4RrYqyeYWUL7zDXsVVZoS-qTmkvtMlq_TX0EEKs1XbCLSnwPU9SKQK6ciVxIyC5uQ5DFhg5PtxUY5obSkeU-wwDtDA=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2KVmeDFoGRGpvm0tIbpX971VK2nQwcnGMps3vRjhw1b-pQggokQLEyL3HtxcueKISlaOg04-pDVgseFLX2ALBvbft1ocfEVeXlQar774avm3v1Zt7z4Uffg2rlAAovBo9aBpCX=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0SF7f4YsvdoQrYufKRcfyhlvnyGWkxt-nsJGR7HToH36tJC-v748sVi88foiRGRfWVL1wS0ZEDuwo2QJLCvVs3P8TdAdQ_TgouGycaHlJuzzXyPtGVuUME3peiwKamWW2X4hw6=w300-h225-p-k-no"
波特（Boty）,5,2025-05-19,上次編輯：1 年前,"🔺椒麻雞的肉十分酥脆，肉也很嫩😋
荷包蛋煎的也很恰恰好，
附上的兩包醬搭配起來很好吃😋

🔺打拋豬肉飯我也超愛
口味不會過鹹也不會過辣，
裡面也有荷包蛋，好吃很嫩
整體吃起來很涮嘴、很過癮🧡","https://lh3.googleusercontent.com/grass-cs/ANxoTn3eCMhUKTKH15bhTRQ14rQQr0yHgKuzQv2rCqgFNMqeWIjvGPIgrZljeJs3qQ_HZV9rxIkw_Tt0dM7pM82lI4m2U9ryNuUilMpLhTOwIfbZx53EsYJVL96BUp0MA5SiV266-Ub0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3zUvFcwgVVQzo3ZsyIytDHDynXWssIpWsTX0IR5Yjm2SGaq7BdX4aOSotl55y45imlJJEnPweStFA3TxDK_MYGaXL6FWq1Tq0JTrUf0CyTlJihh5dihCE4L8SGBGjZ_ojWW4Xt=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2qLODy9ynnnrIK5QMcjL5auMmyZx1zmeU7QN3zM8XnfWX2KKUAbQ0G-Uh0D4PPyH8FUzUCVpscvNMSXH-t6yZwW74hJFg4o44ctxZeQAcGrONHDmhP-XDDvj-Ky2ayr0r12JI=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1vxqYedh5J1DkM8bef1N020Di4_W5FbzZeV_o4QP3JHvSRV7GIU4GiPuEYQbW8Jcme4JzRvsXb3sU-dneWI-0BNOd9M9WER7_PcTOAQcupMQILA8DHAVH2I2xylgTZN1fxaB4q8w=w300-h225-p-k-no"
NuNu CC,5,2023-05-19,3 年前,紅咖哩雞肉飯$110，份量大且肉偏多，餐點似乎都是老闆娘一份一份現炒的，真的很美味！就像別人評論談到的，真的有餐廳口味的水準！米飯本身也煮得蠻好吃的，咖哩微微辣又微微甜的口感真的很下飯，同樣用紅咖哩來比較，我覺得比附近的泰帥小吃店和盈泰豐好吃很多，值得推薦呀！,https://lh3.googleusercontent.com/grass-cs/ANxoTn3BkTwd3f_3qvHSeAFhfJbgISmeBe2c-ogsWZH3Qfftb-DrWXPevKQ8QuhdXQQe4Lt32vWd9eTXPI8jhWHBYjS370tw8q2mPz-wB_Vg0IJlp5h7w6hVQNVsJr6xqTFxKuSU4M5m=w600-h450-p-k-no
冫,4,2024-05-19,2 年前,"內用座位少 兩張桌子四張椅子
點的《秘製椒麻雞飯》
會附兩種醬料（椒麻醬、泰式酸醬）都很好吃！
肉大概有四五塊
菜兩樣量不多
普通女生食量會吃的飽 男生可能就不行",https://lh3.googleusercontent.com/grass-cs/ANxoTn0BWOIvc2XpqG9q-8yHY2FzY658KrctQ9Y1fUUJiobMoWg84xDbL9Icp0WQCNMyp32GsymIpgV8J5aDMXK-Il9B1IF3Gql4EXo-j40iCdBKbfALjP8-x9Yt1d5JNPJwuC7CIlZtAw=w600-h450-p-k-no
李羿辰,5,2023-05-19,上次編輯：3 年前,第一次點打拋雞、綠咖哩、炒空心菜（超大份）都超好吃，味道都很濃但又不重複，路邊可以吃到這種價位、水準的料理，我只能給滿分💯一直猶豫要不要評價，畢竟這家生意變好指日可待，就怕生意變好、品質難好。,https://lh3.googleusercontent.com/grass-cs/ANxoTn1f4sP0eA5eRUexcSKrux4kPVobWkyl9Y6v3xL4MEVvQDxxVYG7d3sknN8Wm8ZiluM1FPp9bZy2TFgCWHyQN9RaV-0DYD6T2uNWpobG3pfr0W4s6RgL20F4tSJmyC9GiO21Y7aZ=w600-h450-p-k-no
Tian-tian Lian,4,2024-05-19,2 年前,之前來買過紅咖哩覺得不錯，這次禮拜六約五點半來，明明是營業時間卻沒開🥲再次確認google寫禮拜六有營業，鐵門旁也只寫星期日公休，不知道為何今天未營業。有點錯愕，希望可以不要這樣浪費別人時間。 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn2qoWoe9KqXwevp0Xvbvd0_908FDueqrkTOcPM-AsseNzCJATTWFTxmqHYR3-8nOTSo_i83szD5A2VE6dSxfycyf5zl3qsJgsV-3qdeRtRl3sUp2UY1JaZ6GJxOqmr_hTcdEVLq=w600-h450-p-k-no
林佑旭,4,2022-05-19,4 年前,點了綠咖哩雞飯外帶，咖哩不像泰式料理的濃稠，口味還是很不錯，下次再點其他口味試試。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0fAdW9l3P0k18K1Q_bOQ_4RllQeApjO3spqbkmppLhIHRurpmA2h-hAUw4nWI8Vv9rg88Mcg2rJ6PGmwRI43RGt1vCYbEJkpjILSM5KOuWF14am3guH8alGOMPFb2bKd9uwsno=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1LvNN_UIMrH-uo_kyn7Y_Omeocgs0EPYIn_rurpAUws7RjlM_oGvOHI3f8Tdqw4-zIRD0CrEBDT_UgGkCftnpt0SyxYP-1efJXoFKZ5Y1o0VLrtDEqaChxK72zIOHFfm6b-zQXtQ=w300-h450-p-k-no"
宋祐緯,3,2022-05-19,4 年前,份量大且價格合理，吃飽是個不錯的選擇，但想吃口味的話就沒那麼泰式（雖然我沒去過泰國），覺得可以香味和口味都可以再重一點，整體口味偏甜。肉的處理都很不錯，我尤其喜歡雞肉，椒麻雞炸的脆肉也入味。啊對我也很喜歡泰式奶茶，有濃有好喝。,https://lh3.googleusercontent.com/grass-cs/ANxoTn1ucmEn4TzumIRlKaipOf3MrZHsyJewgnxuyl_YWKLSihfwP3Dc5KJWmricCxwDbm2kYSlGweIjHWB4ppaYkHgM0fD3_ScED0p8EoIjfTSOur5CfEjujochgZjgCZa4lHg3BG4U=w600-h450-p-k-no
Zoe Wang,5,2023-05-19,3 年前,紅咖哩雞份量滿足夠的，雞肉也很多塊，推薦👍🏻,https://lh3.googleusercontent.com/grass-cs/ANxoTn2z8IY2Oap3MQPm4qd6bGWqnUzBnuuzNqQ8IYM9wXdPuhNNvH8SKzgMGd-f78tNqiXMu_X_Bbe9xP7qtJZlbUOwiWSWwWLyCx0yQLrODHfRfaliUcaYv-WjzLmSf_CI1VE2GYiJ=w600-h450-p-k-no
Vivian Wu,5,2025-05-19,上次編輯：1 年前,"目前吃過最好吃的泰式料理
綠咖哩辣度剛好咖哩醬適量雞肉超多還有蛋才$110
海南雞跟椒麻雞也是超好吃
除了打拋豬沒吃過而已 泰奶不會太甜很好喝 所有餐都在我的味蕾之上 超讚
但希望老闆不要常常提早打烊
Google時間寫8.但常常7.去沒鐵門拉下來了
可以提早打電話去訂 但我覺得內用比較好吃",
WanJu Lin,1,2024-05-19,2 年前,餐點不衛生，食物吃起來也不是現做，非常油膩，衛生勘憂,https://lh3.googleusercontent.com/grass-cs/ANxoTn2WyIvNiixsPVy5XfQEHVuYvvlvPjDzT3qF4kxjMkEH4ITGZjUoDSDaRDAdqKOLKRMe3Odew0qvcqkER5fKiydwwBfYIF88cxwB4Bh08bAUh23OtX3u4KEFot5K7uDUNJKg9oNLYg=w600-h450-p-k-no
lCheng-En Hsiao,5,2024-05-19,2 年前,這次吃的是海南雞飯，雞肉軟嫩，飯的味道近似曼谷水門市場廣興海南雞飯的味道，外帶附的是泰式甜雞醬以及海南雞用的醬，醬料的部分比較普通，整體來說會讓人想在回購。,
喬,4,2025-05-19,1 年前,泰式炸海鮮捲好吃，泰式奶茶沒給吸管😭,"https://lh3.googleusercontent.com/grass-cs/ANxoTn340iW3icDsN3hmfTpZAgLZdiC6DLS-AhB5qL9VkXH-aI6Hu9WvvmTExaMaovDpe1MFZ5cNQfUxkvnNL1qWDA8sSzn3T7xuC52a1WZ8l3AM-XmDkD4uWTruKsihmlqiWrFtIYnA=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn14H2qVyroWlAkwgZIiZcx2RUlJ00kEDWRji1lCcZ6v2Q_qDuOCZjIJqrTXjVbHrEsNDOFkinwSxIGWj6xLQWTyGcdXTGLTf5zh4f-ixhVHhCvXVRyr5cdkls1RDsHCWHouibly=w300-h450-p-k-no"
J C,5,2024-05-19,上次編輯：2 年前,"真的蠻好吃的
椒麻雞-醬會給酸跟辣兩種自己加，目前配菜沒踩過雷，份量真的很大！
打拋豬-有點辣~不過很過癮！(要配著飲料就是了)

飯是長米，蛋是荷包蛋(煎得很美)
通常要等10分鐘，建議先打電話！
中午跟晚上時段會排隊！！",
PONY LU,1,2025-05-19,1 年前,環境越來越髒，抽完煙邊滑著手機之後直接切菜，手都沒洗也沒帶手套,
Chia Wei Chang,3,2024-05-19,2 年前,餐點本身味道很淡，打拋豬飯的份量以成年男性來說會吃不飽，加上價錢來看，整體CP值並不高。,
coba35 coba35,5,2022-05-19,上次編輯：4 年前,家裡附近的新店家，常常買，最常買打拋雞(豬)，真的很美味。味道調整到不會太濃，對我這種偏清淡的人很棒！而辣度，對我這種完全沒吃辣的人竟然也可以接受(腸胃不好，吃辣都會拉肚子，不過這家的不會)。會常去回購～也謝謝老闆(娘)為介壽街這帶來美味的料理。,
Estrella,5,2022-05-19,4 年前,"餐點很好吃耶!!!!
目前點過打拋豬、紅咖哩雞和涼拌海鮮都好好吃喔!!!
口味不會到很辣~會一口接一口吃!!
祝福店家生意興隆!!",
Yii Chen,5,2024-05-19,2 年前,4⭐️ 外帶晚餐回家吃，在巷子內的小店，沒有內用空間，可以先打電話再去拿，我點了海南雞便當，有配菜110，價格正常，有煮菜跟兩個配菜，分別是青菜跟百頁豆腐，肉的部分正常水準，屬於日常可以買的家常味，大家到附近可以試試哦☺️,
風林火山（biaggi）,5,2023-05-19,3 年前,吃過一次cp值高，好吃又便宜，椒麻雞不是那種炒的，應該是用了去骨雞腿排油炸，很酥脆，在附送2包泰式醬汁，肉超多的才賣一百元，既然有人能睜眼說瞎話只有一小塊，真是世間人百百種,
