Username,Stars,Time,Text,Images
maku Lien,5,5 個月前,感覺很乾淨，便當超級評價，加大只要10元。評論看紅燒肉和雞排不錯，今天來試試看排骨，目前有打卡送紅燒肉活動，一堆人都在點紅燒肉，來試試看。,https://lh3.googleusercontent.com/grass-cs/ANxoTn3bouxO3SqUaYS2032TD3fOxXnAdpUzXsGDoZPYv2xM6gGa7bRhWMS3eXRZxK7N9oSFlBZU_pJiExTQv6u_Z2PNdZlaeT6x2m-0XXs4DEQiuj48gS_3nGEFshjfwH46_vr9556GGgXd66a8=w600-h450-p-k-no
兜裡有糖,5,1 年前,"吳柏毅叫外送 習慣先看店家評價怕雷到！
外送 照片如圖
給習慣跟我一樣叫外送 先看評價的人看看！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2P35s9Wj-mLQ9I3mPHQWeoZ7nWwvTrhHIFfy6W5xf8TXw1mw1OqJ3C9yD5ZTJz-oSZkoaWpWZE1D9oJiav9jltLiTspM7gCnB94FngY_i-pjmRqw425ycZBQQkwb5mcNpDvdOC5g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0vknxwrdq60Pvk5jv0rPc-IkjyID55vdsrUUkr62TI-wTboMF4Q9j4VsbDC67g_wmSrc8uKgSXYbw7BpAcJyZ0zHH-Lp57SpmlPJvqW7fr3K5e5UYiS23hJH2AOXe8VPdBe_GM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2lRyZnSbueK1qq7hW-9h7OvL4biGzdK8O98ZLAGkSRShEHaFvcv0RukpRGhgSidziSyrjXuyrj3P-srkeG3jeVR4pRCCJDyTIyWZLe8xoShFVtl5aJCQB5I84k3drn3kbhUWNebg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2_xHZU-wp48kwwRSPd-Qo42gSXZ-tggx_ffa-VmSWVJEcS_eSn-TmbKQ18JVbumghNkPxoK_pIg0lMIGAAXRanD41GZdBQsSXP_SaYyRlAIaHqC5wA04W1lWVAFaTOltAe0AWI=w300-h225-p-k-no"
小丸子吃喝玩樂,4,4 個月前,不錯吃 配菜給得蠻大方的 如果可以電子支付的話 會更好,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2XKuUZPLy1Gt6D0hB4nq5oXN84OnjzY7ALqVYm1S8u3W0Fw0HXgq_zksiZsa2izpvo2zrHHy4t94m0g6QfTGc1beZ4YabLR4CuUT6m8koLMkGeKN1au-QuBE1OYGEGGfsJunVdpkRl0ym0=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Z2-FRp9L0tuSksC5dwq-_iQkj9TAWPgBZIYg-K-M7f5dHLWIgfdBZIvR8fhmm305sKGsCrKoef0dDinPuLN7iyAoDK4_G2dUc5VfXGI6iQhkIdb0JL0SbCbyU82wIReSV393qf-0W232o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3koZJz5QaDV-o_VmZUwX3InyVWXTwC9m9TLtkPpWCVjIx7vrar-fAjzPFnclHjfyEvv4dYgAxMbwyo8lwxRXZja-OZ_IYeBYqNbBaNnFf0om9lBsYzjMXA2BQ7fRehlM0D7r9mCVSd5Bvg=w300-h225-p-k-no"
akkommr,5,4 個月前,之前都是叫外送，真的每次都很好吃，菜色足份量也夠，中永和難得的好便當店，希望可以一直繼續維持。今天親自來店購買，店員也是十分親切，五星優評推推！,https://lh3.googleusercontent.com/grass-cs/ANxoTn3NPUIcQ3mD1nlB-K7-lvq47_l5Nj_RmF8s9aqKH9JRapaEAQhYhBsqceVUWVUYjBu7_506g9KK7cWSU8cPNbzH9mjXZSc0jxhPHEs1sG8k1FsUh4M_GjNLjibLA4QjU41lq3R5fGp8L1c=w600-h450-p-k-no
Ruby Lu,5,4 個月前,便當有分豪華跟經濟可以選擇，價格差10元，現在評論送紅燒肉,https://lh3.googleusercontent.com/grass-cs/ANxoTn2dGHkL3Q0Hcmv5SfPjvPnSFW_Pb3zxO4aIuHqWMEB5_ALUfmdgQuJ6Eii7K2E4Q5E69vx1ZvkjL1ZEU8z5kSun0hm-7JEyPzm5c8cE2FT_dREVriaE4wur86gZNcFbXxrGIpBkY2zuG6JS=w600-h450-p-k-no
黃思翰,5,2 個月前,住在永和40幾年了，最近看到新開的便當店就想來試試看感覺很好吃的樣子～,https://lh3.googleusercontent.com/grass-cs/ANxoTn1m7a0gz8k7E2YpatzBdhHAciK7SF4u1cfpeyPGr6-5ibf2jx2brnYpKn7FpRD1hpSZFnJP3x6aoImRq47jPrjv18XzYZiMJa1yXkDogbKYmG5F6QDYFWXl8xBptgv2teH_Ik4EhAKKpLa8=w600-h450-p-k-no
Edward Lei,5,4 個月前,菜色豐富，服務快速，傳說中非常好吃的便當，今天終於碰到對的時間可以買了,https://lh3.googleusercontent.com/grass-cs/ANxoTn0IJjTuVyUdBE31zS7SXM6uhgjmYK9GV9N6JG0k5fq_Q5Kfe-nHWz0NWSxpdscmXNjVs14BTf1mB14U6ntmdYiJEfiQunnCWHPBuq_elpL_5f_vOhNIUAWk50wC-JDDfFm8svyBiu8pd8so=w600-h450-p-k-no
舒焙,5,5 個月前,食物不油膩，也不像健康餐那樣味道比較淡，適合想吃介在兩者之間的人😋肉很好吃！ …,https://lh3.googleusercontent.com/grass-cs/ANxoTn3rGghZyj5Q0IVRTNnDGJ1JMsmolZz6D8fwU2FfcEP2A9OiM4EfbSHFMSY7tekFyBUGw35cjN54wF4YfugJZLJpy1Mwg2ES5D5M9acqqvKR9wzuFUurbGjBiolcmEczPINljnGD4Qtmi_Sf=w600-h450-p-k-no
陳苓,5,6 個月前,來買很多次了，每次放假都會想到這家便當店，即使走路來有點遠，但因為滿好吃的！還是會走來購買,https://lh3.googleusercontent.com/grass-cs/ANxoTn3CAAuxbp95vgh74oWA7NcXHw0nhI5p2mltN05eoXI6MtB06qNQNfwGXqviTrz70p3ZhKdyk9_7c0vZVLg6sjR9WzTSht8gjm9DH63Sy-tEwRPyhf4ZEfUkidtGCN7mIKW9QXcbfy9EPLk=w600-h450-p-k-no
Liu Medea,5,5 個月前,我超喜歡這間店家的餐點，已經是常客了，雞排好大好吃，以後會繼續光顧購買！,https://lh3.googleusercontent.com/grass-cs/ANxoTn3b5MebpS1CiwABmEF5adxGTEQ09aQqplgWzHhDKSTosCAh4j3z_TP7GSvPhXdZNHfymuwCdY_5PF4I3UPrOf82nzD8ZPVNHXAJbuJe9_8nogWc66OGrbUQqd_RYwWLsdVCwEmjIc9E_Mz-=w600-h450-p-k-no
