Username,Stars,Time,RawTime,Text,Images
Leeann Yen,2,2026-02-19,3 個月前,口味普通，飯有點多，菜的比例有點少，配菜有的冰的有的熱的，毛豆完全沒退冰，如以這樣的餐盒價位，精緻度不太到位。,https://lh3.googleusercontent.com/grass-cs/ANxoTn2UZJv3nCnmLQ488UAVhiSVa7gjibUI-69w3gEuVP39XHne2EzyonJZ2hKuUqGu6uizxB6mT-haOi6OnEqazdQa1ghWaIPpDB6597V6bz93y1ji8MCC9f_gwC0XAV1Psq7rmWdN35NDZE_9=w600-h450-p-k-no
CHANG WEI,4,2025-08-19,9 個月前,"位於台北金山南路上的「Lulu Lin 原型飯包」，是間主打健康「原型食材」的餐盒專賣店。經過好幾次，每次都忍不住想進去嚐一口，這次終於中午有機會前往用餐😜店家裝潢簡潔明亮，大片落地窗引自然光進入，讓空間乾淨又帶文青感。人潮絡繹不絕，可見其人氣不小🤨
我點了「雞蝦派對」，內容物包括主餐舒肥雞胸與蝦仁拌特調lulu醬，再加上五色蒸煮烤配菜搭配紫米飯。主菜鮮嫩入味、醬汁迷人，配菜精緻多樣又清爽健康，其中毛豆最令我驚艷😳原味甘甜而多汁，味道調得恰到好處。餐盒整體口感扎實豐富，充分展現「少油無加工品」的理念，吃完覺得飽足又清爽🤗","https://lh3.googleusercontent.com/grass-cs/ANxoTn2hgJoyNHtRpVd0Q1RlpPwS64EaNuHtb74OEPFAMIJDsgz2T1jSkjWi5pNq3NFnJFsaxRin7esBJGy1S6KKL7xjorBdns8rS4F3GqE8_u9pi5CXq_9z2U9Xxs7ptRH1nQ4uaahUZvC-XY4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2_IfE22lRCrLU457Wc3pSGMpvBiuL8dPhjxJoYZn_t-Zn8TDOulg-XJfkRbuwXliNInCmThDWyv1tUFTCrlZ67g3ZI3f_FjBdLTMl1QJjm_--G__2ECO7KUVnlsbp6szNlhwZuIRXxAn7u=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0EI46Y_Bevw_4R5d-1WnyK39IVNDnyE76CSTSsrPuWIc71c9OMtCCINATiFjgpCbQ7qwXBUfT_0Suo3dwnORYB0dfHm1urVRlSSKbWpqR_fx55CSK3lv_goLGIr4IjpK4sUrHWV9z8eSxP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1VKsggRtrW3bDO5erqdnoHiGPRePAhbJ63agwhXgGwNxulHjJDhGkurmRL4y-7dbDbtWSd55h5Y6imcgMIvZpWddpgElHKWS_CPxIEV1_KW_jksr9wzXQkusESWKhM5quxV5LeyEZF1KfI=w300-h225-p-k-no"
Shine Lin,5,2026-01-19,4 個月前,"鯛魚 $130

店家乾淨明亮、菜色豐富、蛋白質又很夠！
只可惜內用還是用外帶餐盒，希望店家可以更環保！",https://lh3.googleusercontent.com/grass-cs/ANxoTn05d87v8j9X7m7BBawnCLEcnQIN1xM3ayAbQc4Zc_gUUKRJXWOyEd7i0FR2bGMYMZd0AGL8h-blr-lqOCt5bxPH236PlWJm4_VhgI1xzy5p4sduf-onQbpa7jf5TbbW_um7sA04QYWNhAYz=w600-h450-p-k-no
Helena Peng,5,2025-10-19,7 個月前,大安區少見便宜好吃的健康餐 好讚😍 最喜歡lulu 雞！肉多而且醬的味道很特別✨⸜(*ˊᵕˋ* )⸝‬,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3Zp295w5Ug1IK-lVzY_j8s2cYrqMPGINI_xQ7a6jNgmWW0C5TJ6_nkQgHXGBk8wG0O09s3e8XhV8vvi9PwzcvUadPmIS8kNFfYwSgk5Scm7diyqqsMOPWftNYBMBMIgz37xK0fEkdYB0re=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2RKoaXcts9ppd2gOojdwiNY_-CFrT3NkHVVHnvs9xqnhvtPUr9u5oknW34_b753E7TlmiiLEckDyCLmyTMK36E6Kk9XcTd2H_-6srV_LLTciQPnFZ9WqyMnKEVhtgDHYzFNygcln9AGlGV=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2tBKIAsvHz2rJDnRMUKQQGUfKxxcFox4TriJO35ul-XHnwb7No5FqKg0VjOgRnNi4yf-8yxLpEUkG53Wm8xLxDk-gQ2NW3n1V2WpDDlWMWRc__T4cLv2bKF0xsaZE_CrcUi-Z2mtjk2YFP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn234OHkhKiIrFk3ODoS1I58jQFvC38Dp2uDWuxWinq-Qr1buuiL1p5zA0v6fGdQw6Pdj-gYutDgZAeBPxR2YdMOZfkRMC_Z4F_7iaxuEnShqagSQLhOwxt6puOyJt43b-MI8OaAJ4JZs2sC=w300-h225-p-k-no"
湯明珠,5,2026-02-19,上次編輯：3 個月前,"內用外帶的人潮，沒有受到單價微漲影響，還是不斷！
喜歡「luli lin 原型飯包」，有3間分店，專程到1號店金山店，內用再加外帶！

現金支付！
免受服務費！
自助取餐；內用餐畢、回收餐具！

🚗交通方便。店址在臺北市大安區金山南路二段147號1樓:距紅線東門捷運站，路程約10分鐘可到；多線公車到東門捷運站，步行約8分鐘可達。

🧑🏻‍🍳櫃檯受理點餐、收錢的服務人員只有1人，收完錢會向後面廚房點餐，客人等叫號再自助取餐。

🪑內用座位有20個座位，需要併桌，環境明亮、較3號店雙連店來得寬敞、一樣很乾淨，翻桌率很快。

⏰營業時間：週一至週五11:00-13:30
17:30-19:00
（週六、日公休）
有外送。
有提供免洗筷、衛生紙。

115.1.23.午餐（單價再各微漲10元）共530元，美味依舊：
內用
1.牛腱便當170元
2.菜飯便當110元
外帶
1.舒肥雞便當140元
2.菜飯便當110元：

🥢113.11.15.晚餐再回訪
現場內用2個便當、外帶2個便當，共510元:
1.菜飯便當100元：蔬菜量較多，也是一種健康選擇！
2.慢燉牛腱便當160元
3.lulu雞便當120元
3.嫩煎舒肥雞便當130元
健康、美味依舊。

🥢113.7.15.回訪晚餐（部分便當價格微漲5-10元，多了10號牛雞雙寶便當新菜色、145元👍）
今天點了4個便當，570元:
1.1號lulu雞便當120元:價格依舊，便當內容一樣好吃。
2.2號嫩煎舒肥雞胸便當130元:價格、便當內容沒變。
3.2個5號慢燉牛腱便當320元:1個便當160元，微漲10元❗️牛腱肉還是超級軟嫩好吃！
👍可以索取免費秘製橄欖油紅油，增加菜色好吃的層次，微辣香醇。

🥢113.4.17.晚餐
雙層便當，上層是五彩豐富的菜色，下層是紫米飯，養生又美味。大推！
今天內用點了2個便當，270元，吃完很喜歡，同樣再加外帶2個便當295元回家，共565元:
1.5號慢燉牛腱便當150元:燉得很軟爛帶重鹹的美國牛腱心2大塊；7種五彩清淡的配菜，再加半顆滷蛋，乾淨的食材，是個人非常喜歡的清爽口味。
2.1號lulu 雞便當120元:舒肥雞胸肉給得大方，加lulu特調醬；7樣配菜再加半顆滷蛋。
3.外帶8號去骨雞腿排便當145元:蒸烤的去骨雞腿排，少了油膩、鮮甜多汁；五色配菜是很健康的美味。
4.外帶6號牛蝦饗宴便當150元:1塊慢燉的美國牛腱心，3塊不小的蝦仁，特調lulu醬，配上紫米飯，健康兼顧美味。","https://lh3.googleusercontent.com/grass-cs/ANxoTn1yDoehp9RwSUENZrovRIWrA4KuT9Uz-r3YzyAhTCDUe5802oq77_G_hbMnc_51Bk8PMeCGfv4DCWL3QEZpSCvrKhORg2neqjYmddiR54zx_zVF2tVlyUADLEtHHeoSrYbBsVSa=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Y-1r3R3rg6bBVlLf86gjaFamafqR3lC0TAmdO6DJVccmfrAKorhXGqGta08h5CHjVr_sNYqK9m0xPncqiqG3xEWURvIzOEQi_GtWUsu9VoGdDbkN5n51nv7AhInACWgAzr_OG=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3JHf7EhoTMPYmOyedy6-MkiHL4VGWoy7LXAHR0Kp8x1-fvJvVNE71KJDK97Y3936CvRUC2uVJTL2L5VkFzl6RCQekFlXVETrw75UsciZX0cFrjNTmH22ud8XPJqCELSdQWftnEkw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3UkjwoRsel21uwEd_6EzZA7XlVQ_8GzYJd-z6tFBNtb_N_DY0e9WALCIDJrnIxcUuHPPSIzByuzAUkf8JKxA_RM1cuO0l_hmz2WAyZR6XU2MAWxYlNCmm8cTyoPtCLZSjPv31Q=w300-h225-p-k-no"
妙妙,1,2025-08-19,9 個月前,13:10到，只剩蝦跟牛可選，因為不吃牛也只能點蝦，吃一隻就覺得蝦子口感是泡過藥水的，再吃第二隻也是。剩下直接倒廚餘桶。$150的飯盒也不算便宜，真的覺得店家可以堅守好食材。,https://lh3.googleusercontent.com/grass-cs/ANxoTn2Eu4r5F9E4tmf7Hu3B1MFgztGT3fYrQVCwjb-ZEMeGTDBreHskXEr6eWuGCnck8Y2qVjj9-gr80fKny2f4R76Ow2HDux63SNkh0MHqTw6B3DZNZtN_H0r5-FSs1_Qz8u4BWe0RP1cHWCR4=w600-h450-p-k-no
發財貓貓 LV10,4,2024-05-19,2 年前,"LULU雞=8/10分
便當有兩層，上層是菜肉，
下層是紫米，出餐還算快，
雞肉有醬汁，味道是偏鹹，
甜味還不錯，還蠻下飯的，
副菜味道淡，但還蠻豐富，
輕食算好吃，比較有味道，
整體還不錯，貓會給八分。

去骨雞腿排=6/10分
味道是微鹹，口感是軟嫩，
副菜差不多，沒啥特別的，
雞肉有點乾，調味是很淡。

牛肉飯=7/10分
牛肉是軟嫩，口感很鬆軟，
味道是微鹹，調味是偏淡。

推薦:LULU雞>牛肉飯>雞腿排","https://lh3.googleusercontent.com/grass-cs/ANxoTn0t-YAV45yTh5Cd4rIzv1nNgr6xjwNEwvEz813mQxpqEH_LaYuXkX7KCyb-bMJHlNGauJ2DkaJCoGlmljM6ZkdbsXzSfcrztBZvxR_rNjjYEJhRUthAcRK2DHIbP57m5MLfJBQT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1NvbH8ZGhevgqniRBtF7JXnjnwctCv4CYIdPBCtqux-VNogAU8Og63SzTmtvWMkq_bSJzTVtDBBNYcglD9nc39a_TaGn0XLovlyQp0br7X7_FV7h43nUtDi41i0buoFlEDUaNk5Q=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Yrb84OItIisBAcSWzuTqHNoawPSETjq_vAQ-xyciIQVZcwTqiCprUizOr9JgpdUsFvZwIosHHUf0pdvUIemzDvj9gg4lOOAEcjZ-63UK5CnlH2hbZ1f7lUGtks0M_0FlfGkIv=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Mp9UfiOKg-dl5Q-w0ZmqMi6od7CxkZnREABl5ZlbdlW51p5-lWaEIXsVyzgaQYwMrvsSzF4S1QbGaGqvi973Iaoi69wYWUHB6MVnM2eQV-ndKzNSxHwxQgMjdDflnk8sw-RAK1Q=w300-h225-p-k-no"
夏夏,5,2025-06-19,11 個月前,都是原型食物，口味清淡！本身飯量就不少，還可以免費加飯，主食的話推薦lulu雞，肉量多而且調味不錯，鯛魚就偏少只有兩小片而且沒什麼味道，吃起來真的很健康,https://lh3.googleusercontent.com/grass-cs/ANxoTn36i9nWMf0i1_jbMrXJ8AB-z03WATTn0ZDNkMbVblLLcumf1mHDVrTcZsGDBCjFok21FSyTbOxsHelRzKuWfTDQraMXpHwpSd8TC2qaBamIbgU6o4ULX9smMTZcrxWGx-Cx66YkkhRE0Kk=w600-h450-p-k-no
Johnny Chen,5,2026-01-19,4 個月前,"幾乎每天運動後都會來買，飯盒內容物非常超值，特別是招牌Lulu雞肉量多好吃，滿滿的蛋白質，且搭配非常多樣化的青菜，營養滿滿！
如果選擇飯一半，會以青菜填補，覺得非常健康和超值！

Ps. 有次不小心打翻，店家說沒關係重做一個給我，覺得非常貼心，但也很不好意思，會繼續支持！",
PAUL1,4,2023-05-19,3 年前,蝦子調味的口感和視覺是最吸引人的，很像夏威夷莎拉的處理方式；肉的部份是類似魯的牛腱肉塊，取肉塊頭尾切片的當另一主菜，青菜份量給的很大方，比能x先生同價位餐點的還多更多，感覺很超值。可以台灣Pay喔～,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0LfyeI5vO7yK8AqF1T2kmdoyyNZu-Rao7OY41UWuOqaAdzSu1gOp2Bor-RNH81EhBiPb-IGQwFeeV3QDID8lQzkETiekdZ-ZqgyoXXD4ET1S0bZiEuS4zyqzWeckKv1WXXAJfn=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1wW-wsbW4Jk-_6MW14yZu0ZS3ZjiVEiuVTxJd6KJ24uKJbJol8UVJEQMNmfyPrPE3KgCZmHMSGOREnwTyT4taUH8h-HBMGoxqILn_XK6_CalnqNyRFkKehCp_Nbtt2I8zqZ5M=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1UUzSmz-d664tiJ39AFmeR76OpIlibe9xHiHPLAfrE85AymJw6OvaYCjK9txEBXqhDd-L6SlSfa3BQQtO2nCMfTzq2cyOGIJKUJMuVUO8BSm694f8zXTZMmee5SvVKPPE8oc2ozA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn18YnjnPjnVs1fqRwX1gwxG8hqGaIfUYm8R-vKyBV_0y0fPDTYnZh7s_ljfiMc62T-Pu75-RrRN7n10Cie2GUx_pHsQ1fkvIEzQ7xZ_2bLCrpqUwaCsiaAvrCPFFCHby65k3wI=w300-h225-p-k-no"
