Username,Stars,Time,Text,Images
Leeann Yen,2,3 個月前,口味普通，飯有點多，菜的比例有點少，配菜有的冰的有的熱的，毛豆完全沒退冰，如以這樣的餐盒價位，精緻度不太到位。,https://lh3.googleusercontent.com/grass-cs/ANxoTn1GX4q4UJby03FDnMxQik_jqQPONdSi-_ji9DR1fsXBbI_fFPSriZzG_LHJ1BUiipKc_OFLSH6ZzjHL_9-HB4JY8gYZtAGplY10qOsT0X9qraYFl-OeWKwqAyMDz0Bl1KW6hwChU4QRcqN4=w600-h450-p-k-no
CHANG WEI,4,9 個月前,位於台北金山南路上的「Lulu Lin 原型飯包」，是間主打健康「原型食材」的餐盒專賣店。經過好幾次，每次都忍不住想進去嚐一口，這次終於中午有機會前往用餐😜店家裝潢簡潔明亮，大片落地窗引自然光進入，讓空間乾淨又帶文青感。人潮絡繹不絕，可見其人氣不小🤨 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1VU7tUHtwMrQPba_tSHIgkQ1Pp3WYeZXvShuH6xYPZ24cq1gzFWnb-hK8mfJb0iIW39HXIgcHQZkgFzL1iIyzVvTA8rTHAvxrsoURZ1LqNrI-LVyWb9uzF9mu6BXCIIluMgkG4K3CSLtg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn30vqbB0Q21t2hNHTc5iRyD9Nium2GWg73OLokDjfa8t3VaqTnMWBAsPrNnGyq24e0--JuQskgp-dTrTxlqvhenNKNgzgktPBqT0H9O_dCQ6_vv6dfO8CNwQaT9Hnb-DMbF0wYVtAuMjow3=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1nebd5GH-nK_mvKyKZbq35pOmO2D_SiQ-Y5RZlUlsXzTT_CCk9ieBlHV6yYqW8zS3tUco_x2fNRhNtaU1V_JIZ6zv7okSOw7ZK1K2eM9YhB_5hZzmMNeBDtwNkiRHyFzgHNp7QCvkbo5n2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0TxMXMIy6ke3XX29Ddzzl12jE-zL8e_LO4U-GoZi6JPXzTKr7jJf_SuaWMP9WPVG8Z6bGE56bhvEJteOGkL0WTMJtveUMX_CxXK1mU6CGQ0ZxxwJB81VPCyvb0xfAsdh_W0gULG7yABwJC=w300-h225-p-k-no"
Shine Lin,5,4 個月前,"鯛魚 $130

店家乾淨明亮、菜色豐富、蛋白質又很夠！
只可惜內用還是用外帶餐盒，希望店家可以更環保！",https://lh3.googleusercontent.com/grass-cs/ANxoTn1JQhme5KrSuRSY20lOxHY3JMm3eNl-ysXHbkvHTTmQ7dNhqXBU81Rvx0KKB15MCarMsqXcsGeWG4DxgdmzalfjfFuCBoExxMXbmatE6UgIzNEHTfI4gLPQpx0WyIvoCPEWVX92OeKnFRKy=w600-h450-p-k-no
Helena Peng,5,7 個月前,大安區少見便宜好吃的健康餐 好讚😍 最喜歡lulu 雞！肉多而且醬的味道很特別✨⸜(*ˊᵕˋ* )⸝‬ …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1h0eHHfCFQH1Oei95BAvPkB9BLZgx3EjwgduB9jyf2l_HAMe1iaJLEEVUHU8YG8I4LMJ9LUzcZpp7wIL5Tni3jvDov3mObMwvXAFldANuZv-I8x1bY-0XUAeN9gyKUmKFVnfx8YJb8FlBu=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3L33Wi3FsvjA9khlw7tpXkZU_M9ZcJMtuXAjtja04riPQjmmOfsDV7eE6Qgtut5vAjikgtSjRn4MAIvVsAJB6lMOeSU3Yj8czm4tLsR_PbWkEwt2AugFu4VCCpjfJaG1oeME1_KfDN_0mv=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3d_ALu9WsdRkPoctJD6W3P7G_anyRQUFGZOR-syK72aTxUaY4-Fs8G9TWg1JhhmXIZYRZ4Y_Y44L0RZNyVzuM9Jy2Te1lbG2IhGktuIjFRcU4gTek1f686s7b_PgeEZ3d-SGyy4l3FswZ4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1JYy7rbkNoHAM_T8jaPEemcZ5GHYXnU1zL2oSILDIb5XpTelLvFSQB56nfyvYIX7tI1oIZap5hXK9na66CKcT3mmNECBKt4J-nVx2954o-kLNYJ774C-fRQSx5_EsjOlcxX0QliFGGy8rd=w300-h225-p-k-no"
湯明珠,5,上次編輯：3 個月前,"內用外帶的人潮，沒有受到單價微漲影響，還是不斷！
喜歡「luli lin 原型飯包」，有3間分店，專程到1號店金山店，內用再加外帶！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3fxUAsIO0PJWjcLlWvA8908V9FHc1o3QClLoK9ofFy8sOx4MaJSSWVMTE4ONqOM66wBzm0jOUxdBs3-P2L3h1FEAtq7ltA7hM_fZdugEmp6ilza9XJQi-2BOKs1ASqu0nvH6yf=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn38UCQGbO0XZpWqe4ZATkLWey1dJ0eaB2yOpImA2xHYbce5W5arwyiiOR2VImCwhKVVO_W8qxAgnH2Uo14vd92QEtRJtqC-18wt3OfzCWa_ExOrrM226D1sWev7sCWcTuSciDrv=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn34p5rtr6j5BYUQBnRhiRQyaxd6kXQIENjPZ2D_wy_YVIScKPxOugPLX0mmVCeLQxdWuAyaACVNvx4v_i4MN6ILvb-tB1Jx3E4lGn8PTQtpkRPfVc1hkxo57rJQ9Mcg2jUNZeEwOg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3kmgenhZGvPqyfSh8iIye5mNTOcWzsbDJJpr8Nha_uLVpiOAehovlHQRAb603pQX0Sp8etBMNACBYmPeIZJd7oKPmoVPWKiwYYggI3FVu8QMvTt9s1xhOujC-D1cGrxZ5SQW2Q=w300-h225-p-k-no"
妙妙,1,9 個月前,13:10到，只剩蝦跟牛可選，因為不吃牛也只能點蝦，吃一隻就覺得蝦子口感是泡過藥水的，再吃第二隻也是。剩下直接倒廚餘桶。$150的飯盒也不算便宜，真的覺得店家可以堅守好食材。,https://lh3.googleusercontent.com/grass-cs/ANxoTn2oadQm2IwwnRuhYVXdbAnUf6w0GnWrvUbuvPWfwmSSi2PzFdzs7u8CsHjZ0c6oyWyFEccSvtBYPK3Dl8SRHSkwOUvzb83LtkQA7wvLch7GvdvFBRuq5koLz_346CzNDsnxC8ORuV7p5onp=w600-h450-p-k-no
發財貓貓 LV10,4,2 年前,"LULU雞=8/10分
便當有兩層，上層是菜肉，
下層是紫米，出餐還算快， …","https://lh3.googleusercontent.com/grass-cs/ANxoTn355WHw-U6ObOhF5N82Cf8d6lxsewOqLAaBkRydB1Aceim7zHk4vj2B-br3JCgtChSjMBYfu6raZ-zYltS2isI_wC2T-YAsr64XhKUEHvGJCBPJR9FuoJl5rtV3b_F3IWoRRYcD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn050GahPz5mX439zMdeBztcRmdPDxM1OCqBbGIri9gMWwAX_4dK-UZVgTWtgyFi5NEOpv1f063U9RkYi1kuCIiYbxI1K7g7AqrIvfP2P3qUgepcs-p4NbSfkUTRepDFvngYBy8q2Q=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3XwEpdMH1o0xOZKbH_SvzkvhlRV74EFEHRSwCLKxL8XA09UXvpaCGK4RAsPr8c1mS7rX3S29RQzwERVVLb4YH-2HSKcn1wscClmFeDrguVIbZ0UT3st_x6FLHvaSdYt057BrOT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2KV_sTHa9ztMAtHDjXVxI6004214NI192kTC1KWGsFNeaXJEFB7ErHntO18IZ-rJbcpOqEHbDOLDrlSwOajraiWQ3TLBSbHuLl8yckn-JnU7Bj4tEAvitWv1oxwH1eHIr86TJjug=w300-h225-p-k-no"
夏夏,5,10 個月前,都是原型食物，口味清淡！本身飯量就不少，還可以免費加飯，主食的話推薦lulu雞，肉量多而且調味不錯，鯛魚就偏少只有兩小片而且沒什麼味道，吃起來真的很健康,https://lh3.googleusercontent.com/grass-cs/ANxoTn27C5bHLe0qBtL8sFKXYn38vIsyiheFRhPZR7W963hDWCnozwofHT46-SIDhkxEr9gn_FIeQwXhuZEWqZsv7tnsnvQhCnPVuGoEAUD0kLsNrzwSTlftBUmsQLFQZ2s8lFXFIvzY9m2kwXA=w600-h450-p-k-no
Johnny Chen,5,4 個月前,"幾乎每天運動後都會來買，飯盒內容物非常超值，特別是招牌Lulu雞肉量多好吃，滿滿的蛋白質，且搭配非常多樣化的青菜，營養滿滿！
如果選擇飯一半，會以青菜填補，覺得非常健康和超值！ …",
PAUL1,4,3 年前,蝦子調味的口感和視覺是最吸引人的，很像夏威夷莎拉的處理方式；肉的部份是類似魯的牛腱肉塊，取肉塊頭尾切片的當另一主菜，青菜份量給的很大方，比能x先生同價位餐點的還多更多，感覺很超值。可以台灣Pay喔～,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3gonjzlztXlqHJfySrXdaAWKkKxX7XbmmRIy_MVvtrMejHH8bshY5POnEXDFP_wkDXYh3CvmUzkulHoHxwHmnL4ag5ltHP1ErCaa6iKUOOpWvc94RLYBkTLsF3M1JhZllhgOAs=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2mMejjT4CIDIGFAFSjRBvvR4AFgpC5u79F06RYOKKvJnqPRBlP5MW7f1rx4kHSwr7EmNkA7HSsdMjA32fZaykqc9WuNR502IBbMMy3toNpGRN5WdKKI9_SXMekeQndCGnhpPY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2QShH3sHklY0w_t-gGLm6GgmhhW-V05IIRC0QOP4e2s3MEYFC4pZf0iHO7AlywYFCFWWKyDBPYbNFWaBzWf-ONvl4xtxBiTjKp5QucWC9QWbaytWW9gwMeR-jPEnsnGXH7OIPRlw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3oQB2IKJDlHzQ6yZ1TkBC1UPv5uKTzAhTJRqc-j5swdO9xhwjia0TFMDL04VGUZ7pDo2HvEbgrtcoQHxf3mc7_6sGSh4eTr-hiVz3JoRjeIPwxgnI9x-wsJUR3XmWl1_Ly7NI=w300-h225-p-k-no"
