Username,Stars,Time,Text,Images
Mark CHUANG,5,2 個月前,天啊❗️食物也太美味了、蛋白質補充到好、老闆人超好、超健談、聊天過程中、老闆的經營理念超好、更像是一場身心靈的對談、推薦大家來吃！剛運動完一次不小心點了兩份。薑黃優格雞腿還有焦糖腐皮卷。以後經過都要來一下。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn14cwvTxUG7dLoFSNlxWrZwQGH8n9yW8YRATInYINhmDdkwYsWYeZqtQz9DlfKMq0NQX5I9qGKYRxv1E5xfefvmuccK-udgJt93lSZQUaOBi5irr6CttqriP2HHyLQPt--uoqmBQOiNS33c=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0gShSXap3eK410ELUr4qerVHmbonp5jXv4bMEzPFEia4h24HVl756hIixSwIMBd6jcgdolWiWJqbHLiD12ihePwl4zClfCI1mHaKKEFf0cANUoLt2CF_aandQKFUIbGuiR7FLP9fmj1mKi=w300-h450-p-k-no"
高嘉駿,5,5 個月前,最近健身剛好要補充點高蛋白，再店長的推薦低脂低鹽低油的舒肥鮭魚很適合我，也同時補充了omega3太棒了。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1jZcGK5acC1J7ll-HTqicRoed-8LQiS_1kq3gNLXSMtWaEtQa1GfZHQGmWaRj43k5-TFSei6vfaZBjOiDHk2VimBulnDrx-tKyJpexkHjb9Sm1QKSR85IehOD3RpjqKr_3_nQPYT_2QGAy=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0AE1Z6vAcvo_wqqViYZEaOU3hwXs5mYkNBIFjKa7CG9sDY4RUxnbI16lWKf8wGE0V_CzkGV9WDKDVD-UYZo1fDVljhSqFYtyxRo9W_iSiHl-wvvZKifwAEdX4v2i2d5Fu_jse9FEkpyuc=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0ykRR7BwAVPGgUQVYv5-4gZVtTzmpWWsADRsVcA6J1zeh2XDA6eEHh3C-5v7IqLIInEMxvhC8eR9Fl6HHHaArhXnAxiF9sKoEvFRsGdBX5iRnHB8ZCYPFNiAkMzY-8J2Ifpp9ktSs_zu-u=w300-h225-p-k-no"
營養師教練世昕,5,10 個月前,"紫米飯不會軟爛的健康餐盒一律推！

目前北部有非常多的健康餐盒 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3SA5wp6Q06KjyjQj6yTUnzG21ixOfAmwwHdBJvyw_QfNU2-D_Cl9VlLGhwe3AESlQo6bPD2D-Kugnx9s4NUJZcmiZQGNXur2601xi9YI9jvnAaWcTwTJ6htFJwW7rZeyZLErxpr3bGzU8W=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3uhN08lUCH7DDDsNyBe_Y22i_-BdEGQOhC5_gxBu5bWVBYHT9xHJhP6ZLmQ1rFEiF16gkAP8Me7JlEPwQSUduuXW9bWTw7uPpwp3ThbYqQm1aM9Uvi3N9bL81Kra4T6kLSW-EdGSHhYQbs=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rr8DGTdDjK7i60Vwu_yIQxr2OHatr4ow-XIDz4VOSQGxiS-tvA3MN2WtlxGUUNWdVgCJ7ZmCwJv22we4L_uicd2Ts4m2Nx2uqBRio8A4BI1rPKH3zTh4GmaAcH2DTSd0hHsqFtkmch-7p=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn31ZPFlsOdl1mxnenoekRiKrsGEMw267dzMDCZQo4W7-d9SemkUvyHGsOX7pY5QyIl0WX20iMvPKh2bzD4RdTWUZxofVJf7APwgtl-_uHwZCNGXQtvXjT6exC9xZee1Tjry-lURjqVWrMI=w300-h225-p-k-no"
Jade Yen,4,6 個月前,早午餐一併解決，選擇最近的店，紫米飯不會軟爛，這間健康餐盒第一次吃，很清爽，沒有油膩感。現在也有五花豬或鹹豬肉的選項。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2xLwwqNvhxO3CAfR81vWaVzx5jD541_HupL2E4AOcXceZ0Ps5W5oiYZG7_R_Z8Hzz8umBvYAJfs2MiDw96g6VcIcST0mC0BrFBIXkbQVZoT_-xRCl6W-SfZJzdU7QdbmWpnToXO1jU4lil=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1sk_Dd5K3sLmw9BJOElUoCnLx2hF1YVF2hlH6gZ6j3oBZgdQ0TBWllpDVsEy46KOec6Jqkep2hMcA2XY_AAPqRtQ0e5p8RBV_nph8yCrmX_BHlY_uwxkPpqX4ZmWL8IQexf3LxEkDA9n1d=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0SKXLkY4VjispFx_9WUhFojdC0paTSRi_q4LB77YxroEJGY_0YrQdIWwM_FjVJa36mQkfWVJKVcLefmUusaJCoMPp41hXP6FYsvwgg4xVXVtf3UdxLYm8bOow2sAY2rGIUgpas4r2kf2Ut=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3JKMFDGzx0DKEWD6nUOR1Oicw1hft3H45F5uaiBV-Ck7waA7YOdwoSnonXUBShhloZAl8JY0buxxs5D0q4z9uGgaFJ8H-YNNXrOKfCkDRR3uFTFdc9E7IcOG-r9O3_DS_SElLoCzRjvNxf=w300-h225-p-k-no"
KUNDA,5,1 年前,內用體驗很棒！店內環境舒適，擺盤精美，讓人吃得開心又滿足。牛排熟度剛好，肉質軟嫩多汁，搭配烤時蔬、毛豆、地瓜、溏心蛋，營養均衡又有層次。特別喜歡搭配的醬料，不會過於負擔，讓整體風味更有提升。份量剛剛好，吃完有飽足感但不會太撐，很適合想健康飲食又不想犧牲美味的人。,https://lh3.googleusercontent.com/grass-cs/ANxoTn00Egz20_fVBINmYpl0ysCrgHmo3jfhHR7KeJCNbmba8FLkd7bkL-o2ctkBiW8MZo7QxaVAw2U4RtTvOaFFzkEmiezvhaxHiSovgWhIPoQrnnRDubsL2LgRx8z1cv0bCScc7ps=w600-h450-p-k-no
Leo Zheng,5,上次編輯：1 年前,"餵 WAY！— 健康又美味，讓人一吃就愛上！

終於找到一間健康又好吃的餐盒店！餵 WAY！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1gm1NZJc2MQmKvbGfato_v2rj6YiCnBIUSkLJmnAjRFPAibEHDqlzv91Y3zWMe5iQD7vBHT78K57vsjo-TxMHmwHgreIfwNoISBZonvKWhiNTs8P73yk7aVWVYpc8qBYF2CYay=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1eIluPSRJ4ARbjjaFMnBI0WzdYljTKAG0X20vWfiukIDcyKm7oZJrYWrxK-1andz3rl4Ji3hYflvJefb8V0-5ya-thPw9qolF8SIlt8dI76Y9UbQLN-gxmr6AGluWF7WRKnx2A=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1yVFauqF2BoJDPKOXwQ4TeMfq6ZT5HorlMlsV5qXKsL-8ZH8URZjOfw1BZ5tyztKQbDHZFBEp-uCV9Q39Q9glOTFa_8d9O38EMLD6EI0fpyvN0eXnEAlqlGwwpeZp3V1U8QhUkoQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1I04PXcummmj4ZOTdjuWa0uLnjYvqIvV-A1GHFoxQjytfn-dC5MPdVt1xpjsrEA99YvKeGF2R6dsx2X5GaMVRJq8IW-K_85OjpXDbNwJc9qB7RcAyt2xN8lk48As1ky6ClJ0A5=w300-h225-p-k-no"
范慧如,4,11 個月前,"由內用區，非常多人選擇外帶orUBER，店內只能現金支付or轉帳。份量很有飽足感，當成正餐吃完絕對不會餓。

*薑黃優格雞腿-飯換菜+30NT …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2XObLOP_vUyg-FErBLqexlwJHw1iWN9WzGRlwMGvp7Sbm7UDDFUigsbgcVCcYtqPJKYWA2tkRNAJLwO4vPqYOKkXj87UeRaJ79lqmnP0VPnkJnhKp7AAkdciRTa3Tt1ztzSlwo=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ApYEj6sB3tjPTWs-dUsKQHLUnhx-rQmnX9Jpp88wB9gyrMdHQTTZKzbitiuewc2ZhVAaenCsIBXsddPE6WJbWfpmoA4y4D4T5CFAkdPpQu-atZXXDjSeb4lEgVEY9d6a1UuRZcg=w300-h450-p-k-no"
Megamind Lin,5,1 年前,"吃得健康也可以很爽！
今天在店裡吃了一個雞腿便當，真的好讚！雞腿烤得剛剛好，外皮脆脆的、肉又多汁，配菜也很豐富，有蛋有地瓜還有很多菜。最爽的是可以把飯換成菜，吃起來比較沒負擔但又超有飽足感。內用空間舒服，店員也都超親切，整體感覺很棒，吃完心情直接變好！",https://lh3.googleusercontent.com/grass-cs/ANxoTn0duIiPR-8P3P4slzlRM4ZHxoCVqFhz5k4d0KjzsYeaoVqv0fornezKQ-qcESHmkDccauEt4hsn4aBHxtUaUxCjbwwmps9CeIwWWjDpf0CQfB7M9iJ_ktjvfRhHFXHAYH8rYmcH=w600-h450-p-k-no
mi mi,3,上次編輯：3 年前,"薑黃優格雞腿💰230❤️❤️❤️❤️🤍
雞腿份量足，有點薑黃香氣，皮不是酥的但是肉滿嫩的 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Ohj8B_Ntt498Zx1nL3v6XNDT4WJlYpPAc_sAM6MGaPaCZ37J6KmEl5bsScy0gICuRKDXgHNp4_uEItTkq9Z5PhyNEecxalmOlG4hJ61OqZF2cYCnntYAdv5I5VFb8Px7mg98=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1xH7FbcrOTcw9LsGsTZJSD3z93QahPZKYzXtpmU0IizQhvPcBXvernlRL27dbhf8USrFPkedhJUQD4gpprSm6gYhArWczVQ0X2zU-osuWqAeCIPHznpSMD57ID-OPWK5bS2LaE=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1yNOzCq6Lxm_KE5G7SAdtMcILOb6UUzB9kmin5sdEjk7fqQDGMkFU1PZE6NbKtbMDh7dMF5Ztd09YcxTr_iYkX7YEdlQ56OoUJW1BdFdv6szxBcDm4QKPfLJGDtVfHn2hCjDw3=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3bJ8E3krQNBIkyHoCqRJRxTnc0gAwq0vA_AdZI6Yw-BiTQ98Lb38G9KcaJAbE9Ba8iZkEKDk8VKrpHJwtVjUtiPjPb95koydOPLBu_lrEE5vCr-OJjhnDDDr2yjH_ncEJAu9IJyA=w300-h225-p-k-no"
鈺婷方,5,1 年前,"美味的健康餐盒，搭配豐富又均衡的蔬菜，經常先前1-20分鐘電話預訂外帶回家，最常點的是玫瑰鹽牛排。
有內用空間，不大但環境整潔舒適。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0kIc7NSwl1XYy8pNgzI3IlFHoVrPe_azkhSws6UulgOXdTbTImdU4jOJ8dWRLbKLPdzqTJ62ygqEDiSLq2QcO8624ojTg7-r9WpjBQS_pWBAn6gpbnBkcwpYsLm-qAN3PTACo=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0D_TFQ2UQT-DOxr6gKF4lLytvXT70rs6NY9Tug5Tq6ULYb3HrtrRilUU2layH_qKz6k7Qe79PWhR5jBdTVoIToTjHlBpDp-q5PiTFs0ucxZLwK7_-214Vwth4b86Cr9ZX3ZLP3Gw=w300-h450-p-k-no"
