Username,Stars,Time,Text,Images
Molly CHANG,5,7 個月前,"這是在離開金門街後還會一直記得的好味道
不論是老闆老闆娘超強的記憶力
還是食材新鮮健康的滋味 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1116SReWX52UEhR293UOW08QV7bHL17mjWkR0cWsGUlyUICtw0qT4PjhDGXIMFAG4pNBm1yjWJfp-Wc-TWJSyltkTEt0kuEzRdU8-6h0UzpgB3mOJVwMdCpIQ2uaFegehGLL-2mSzTw8La=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1AzQGA6FIv2FEn8kRaG_52wxN5fiwYfHVK4ZBIjcibD4yIEu4cV9sNVwwQ0YIWj-5bS4B0jYouOrz24_hY1QBw7VQBEhN4YftPlxMMxmws708IA2ydqPvcoiwgRnxUVv5PvDkGugyUKYA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3_aCiu7T1OvKRXhK4zQDKZkQ1ER9QDDDd-uZiFc8iL6BAlPQMJExiBg3xRTqpOpriJsBRd-YqQk96bop9Qhc3x2H4LK4FMy8fXGpAysbwXT-oDIY-wXJpLavn3XFEduGZV5vMxD6CRckQ=w300-h225-p-k-no"
Lo Ricky,5,7 個月前,"雞肉咖喱飯的餐點內容很豐富
有附檸檬水＆熱湯＆綠豆湯(共100元)",https://lh3.googleusercontent.com/grass-cs/ANxoTn3Z4lZm-vmKYudlH4ovcGzNGpIj18yNDbwPUm0v68_ZVotsDgTr21aWWx3IVHpBmqvqUOQPkjX-Kta11xiJooABmePLPANZnzRqA2m1m1Im8aW6ffIT4JGJHCbK769RMA5gGBhPnTbmmRub=w600-h450-p-k-no
Cathy Chao,5,上次編輯：2 年前,"誤打誤撞經過，看到門口貼的海報寫著蒸蔬菜覺得很特別就進門來了😂 主菜有魚有肉很多選擇，價位大概都落在100-120元，相當平價！

老闆娘十分親切熱情，選定座位就可以跟她說要吃什麼餐。先吃完再結帳就好！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3CFGrUOfZ7zzqRozuUToEA4Cw4Vn3XeqdF7UMpXQw0dPN3ojXOo9poMge30UHZs0fa2-h2mY4PPwEvTFDx6i57Nahb5mJ6HyNCOZNyttwRFMV67tWiPLjdzWB1Mt9IZPZ6_taEUg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2EGzTQy3ZZsEIXTv2mUiwHRmDxnd2iX8D6eakvO_V-ojyqgJ5YtkXSDWrW_taWNqp5fC3IO6fULiLJMIhm38UilLIx3Ts5EkeSjn4aHsPziOvbi8HBvSyGDaHEqJ0FCXlVUGcT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2gjAw5tQA0yr5XFOekXvxtdDjFBnVyju4C8tUMCcjaUFR56v3QueQtLoUJJRU3SkqsRrwFDA-D5YgN-R1GHRja8-uACiZO7YHnM0Jlkkuw8JDOz3AR5mvZYHfKuhrtXR10NXo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1FQyCYG0YifMTTmhVQW8s1tuIHbufgB0IrcYKdHRvq95_-TmIWSGgInSEbeU0CX0fPjeyCmceeiz9sBJuD3pNlBOSclpPqlYwxAv2qQvrw76V_dZ-wadXQkXIks6ZjDBmLbt-plQ=w300-h225-p-k-no"
kai,5,上次編輯：9 個月前,"醬燒鮭魚飯$150
直接口頭點餐，老闆親切，鮭魚用蒸的要等一會，第一次用餐，介紹中間青菜是蒸的沒調味，有沾醬可以沾，沾魚湯更讚，鮭魚軟嫩，魚刺有長有短，蔬菜健康，飯、湯跟綠豆湯都可以續","https://lh3.googleusercontent.com/grass-cs/ANxoTn0pBCCh3O4mxkKaL2oaji7_KG_bfO859jwIlBtC8UyE0wFEUB6GDmrKKliz7uqoDfkMVucCvQ5-7FAT9f1ude1Yg9TS8oMKG0H_3rRHmh3tSji1PiRKHwFq6paElo7VmosrDbpuS_qTWODj=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1MzVXUuxdvygRr9qnk0cNYQnDNyppapMUveHpOJbOaa6qaNwhkzyGc7guJR9GnJdomScO_6KL10EGzEEYC9c0cqzcf7PW_dZ54ZeCf4RAtSABjqmXpxDLo7H3wTrGNze2C6cB1nCeaiUXJ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1HUnZO8ujB70t4l_FQCQXKrM5w6MrrA3CTfx8yJamo0sKgiwIUH-GxqH2QkGQI7VJqZmN6d3RSISvsyVK9Ao-piRqAsKAlqVR1__NOdpPPu57KPwi1-gLbZ1KQHTxrkOoqFfEFAtjesO-2=w300-h225-p-k-no"
Steve L.,4,上次編輯：2 年前,"該店鄰近 捷運古亭站10分鐘步行路程、捷運台電大樓站不到5分鐘步行路程， 特色為食材保留原味整家店強調蒸料理、健康蔬食、新鮮食材主要以「蒸」為主。

之前路過點了👉「今日特餐$100(鐵板三層肉餐)」,含 湯、 檸檬水 和 綠豆湯， 味道不錯， 份量剛好惟白飯再多一點吃得更飽會更好😂。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1fjCOcW-qbGOdqILZ_TGavktiUfmHaGhjzavilTiAZXxDR5KcmhayMd_dDvTFI8dquwDPjAE0CVgnJA0g-CYm9_wmMGsDTcYeZ1rnEw_D4K5EJSaeHfYwmkQNY67E1lMm6ObF8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn34dhG_U1KzwYSDWN7ETZ5-2ZxJ4eFQNGuvQ-Cy1A7ltcxsksRKCtCjlE47NzkZxx2x1eI78L-7DqaIzJ1wIWi8YMa0xNVZUcInhjMHmsiEjIuSQX8qFcGK6_Tws2j0yByiLk6G=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ruwJQL2c4KSUrWnAB1IObppcZyDN5vxC0gBQyLAunUY3346iNfwSAtiBim_QBqWq-TXZRX4J08O_KPToIaK-uEnjP3KQM7BM5KMo_Ta2r0WipO5EZkVbUSraAOV8K4b5hMR6J=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1JZbCRA6J73ia7oQOg9Iezd5V4al8OgLYfEZrCOiAxbAYVK_T3yf00Kj7qATjEVoLv-QSsny5POF2X1dDB7yhdnGy4svqr-8DOcgYPovstT0hKCe1thQlEtXyYUecSPj_EXNj81A=w300-h225-p-k-no"
陳致亘,5,上次編輯：1 年前,"服務非常棒，擺盤精緻漂亮，家常的味道吃起來很舒服，食材種類多樣，感覺很健康。
飯和湯都可以續碗喔~~ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0qoaCEiZKW0ioJlNksfD1K5cw49Z-1p0PKO4JQ8ZqvR7_srD2wzGznZze3D2J4BwBhxWBNr2K-aYn_ZmCBpVAhpzMhBBXIhZMeCCQ7ZZCB7COCfdh_L7GgNKkfrYwylMxj-fqAEw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2NE2zqXYTxi057mqP77yZl3nf9OY5s5nVfPl57NQUNQ6R5d0KaddurLD4KGUrMxkd8Uf2cEi5xumjmB5y3xSb4Y96gSY9qg1rPaslPMF3DUFPBYbutpINboqY7mOT5K4J7xUm7pA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1tAq5Ik4iHQuQy_YyC9DplnlWLpBDBHSNiYhHhxNG4eRPz40CusmV5JbbS6Ire8rR0LE-apHMMz1jC38o_2zz4CQZbiN-VhzAWhYsxwAavNc8WkJX7BkIrR_ueSHKHIy2VwVAkmg=w300-h225-p-k-no"
杜宇,5,2 年前,"2023 / 06 / 20 初訪

⚠️內用為先點餐後結賬。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2_64EOnWUtLAxoCogFlsjbkXcbW5K2TzY-BIxTeKbOIxb_us9SzD5bDW_NLZ8U8j0n6RXlY7OSuEryy9lSa2lPBDKgNAQSzgD0vhQ3pMOQDp3rd6eF8OYkK25WNGUAmmKL-5o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0yDadY-uKARI4bj3etVdY4qlRGNBr5r_44EtOjBhNxiTguo-ytGNjdsEjCN27RepPaHcSc36c4jNjx1Ugm3CEW060_iuRI9q2rOjgWny2UHETfJhBJiiTV-N3AI6osYl5ovyq8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn11RzzQVi7eheBVLj1RfzZNCGRIf7MhMo7SfeAUJSLpOkTQseoLkE4FLiqtKwAcK-6kJrD9caiDZ8-Ryn7kJz78ectUVzTzhdENLKih0fKw7Z-OIEVgBWVinStmu_8bmH5LYPBZ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Y8aQceHyk6q0JxZwd9jrjadS25rs_FQ04Iug5OsjHUxjfqZoHa2PeUYBJk9s6rQ2x1Oea2pCN6fcMvYRp7ELdLwopn2jCzi52bSYK_pZrtB3SscTH6vC2fC1KmtmyV1BZHHJ-nw=w300-h225-p-k-no"
Marcus Yang,3,1 年前,紅燒牛腩$150，都是碎肉而且蠻硬的，很不推。湯的料很多還不錯，整體價格偏高。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3vtF9ShBCxSYOVrW2n_lKBmlJ9bbVdDocQmwLdcVa6i9txsboDphmjbgVFhCZW98JJvLfV5I4kBRvA_EZnYOOsbWEZF-L4SpTviKk9Ijrw0J3wsB6Fq5lklcvJprK0mB0wHr8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0i2iZneO8_Hg7O9bxwVXG5gq5L7sC5vuT_pqSkUlK_rZqsWGOL2MlnML5rN8sWphIphDRuQgIuvLeOHEl4vXbxW7xs0aMUVYfJAIyOuNRWldgmrvbvgsRTnk25QhmkfPttnmMMtA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3JvpEGzjNDmS7gtgC-CzAUBccwiEvig-FTRLRAIki1tKNnNc5SQCXmKqYWYZSTXgCUZzpN8q0_lqMVRL6mFGia0rjzeu3oUIsdW4oFYFpIfc_amZjuoI338o9Uwgd3pWtTEDSg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3pdlZtu0wFrn79zlDbj-xq6ambQE6f1CFupM3mQ4AhmzDW7_vbSnmogQOoUfY3fmws8DmqkKi63oRL0PVFcuHq724AeC47WtI_lD9Xk0kU6X2i83-5Y2Gw9_zLtRXshwMyA4m9NA=w300-h225-p-k-no"
Angel Lin,4,1 年前,座落於巷弄中的小店，強調餐點蔬菜是用蒸的喔，清清爽爽沒有負擔感，中午用餐客人不少要早點來喔。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0CQcyR7irYgAUnQzNK01feDeAJbATMGid3kc7viWIFdY4-z-_JQPGyQce0sJQDXDwDwSqjSLLv6nvyGYrMn_9SmZgKeHoXy6sfkBG2zUHXe_50g0nJl40dudcFjyXckhMaDL6m=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Evj1_ZpFEpv41oIpKJPeuA5KRV82zGP8P3KUTDZdM-Yop0xCkb9iNCyLVAkIsCfDxQMXe0kK0GwHXbVHRDnKAVodCeyYoMrxtwMLT5JA644eA6Fe14yc-Yu7dBZLtdCQ-3xLoGw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0TgFXq3X9cK0TADAhrv5d0EJ9GBqRHd6AnnVKp6oVaYDxV5WPt02bkFu4M-IIjQ7vAN2lOEnjy1YDDUSDm6Zsi_RMkoe4hiJh1x0neNUJKV8WAcMD7ZlKQ79xPactdLpYXBMiT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3m4HVXBj4nEHtmI_fHzdlfoQRgmcJIaqxYgPKmmpUIU_QAbLj7BtOn52QTC-n6rN7JRO7u9KjCJiGBcUxOke9mGwpqIiRO2olUgJhFIrMtPxObzSgBxr8z-SwN0ze0lfmzqL-E=w300-h225-p-k-no"
老王吃瓜,5,1 年前,主菜非常嫩Q 各個菜色跟小菜都很豐富，感覺是水煮的很健康，但還有配沙拉醬，所以吃起來也不會不夠味，整個健康口感又豐富，又很天然，加上湯品跟甜點，綠豆湯好喝！超級精緻又健康名副其實,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3jhtzvRS1rla7xpJZz_67-su5JMNYcGjfSvW3IY5dfjG5WG-KMTv3XTp7qUEC1mG1vxLD1ja7YjrzWqdXu1OHmKEXRqtTqhui70RLahpX-Fn30LORbOyxHZ_jTOy0tYYM6KZx-=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1oSs6DfZCBRUrmJ9jH0ZbJk0tenYXk34QX915bOixN8BFE3uE14eRLgChmiimB6aM5o1UEFVK5UWHpwHTxtXQL1eRHUdpVtg56qRgBM0RJiGJj7t2woP1UIX8Y2pk6E6hhglXP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0OLc6JjrRnA7Xuf_czHuKXWgGhCtdIMDZRzjkZfaMglEb6fC_cB50sSC7h2H6SfRld-KxKnclLO-CFbeJtrCMtv82M73b5jyOspGpiJCA70GPwOO9fM8R3WoSrYwo5HN_Pc2QBUg=w300-h225-p-k-no"
