Username,Stars,Time,RawTime,Text,Images
Molly CHANG,5,2025-09-19,8 個月前,"這是在離開金門街後還會一直記得的好味道
不論是老闆老闆娘超強的記憶力
還是食材新鮮健康的滋味

喜歡食物原味的人能在這裡獲得滿足😌
謝謝老闆一家用健康的方式照顧外食族的我
這五年多謝款待了！

已經吃到家常便飯所以忘記拍照，只好用筆記下來了😂
（老闆娘問怎麼畫了隔壁招牌，因為路癡如我是用金門街唯幾凸出的招牌在認路，大家千萬別走到藥局點餐啊😆）

IG: m.y.doodles","https://lh3.googleusercontent.com/grass-cs/ANxoTn2cE0r9By_Yp4ie9Ou5EUr9naTZZDB0roet5J1u2ygiV_67nc0g1q_3RNn4gHS5aPYKOALKj1R9Myue7MyNKCbLiN-5Y4qx_x8HLm58e_gY5IOo0WU-vo4IgGPKeSdQ6ZQ-mhYIoVXokV59=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3_wd86vQsweQiGupZ1Kt4tcXV0LCCg0l2-0evDsxIFRnPKvvv_yuR-x_dTgaR5G2jGMbx1zjQa5x-NI8xrvWvOw_wZH_oDV5dI2LnxWX56l4X0li1R6hxrIJG5MZw7hgvENjU2bQNQYHI=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3_f_pCSQ_hc2-5X7AmFBjzi_NpOiWlcdJcJ0JuVx2CQAMwlbU7gVE8KX13o93_6gD3EQG2ITtw1Du_fIrI0RX4Pum5uZ5HC4lDyoTPnAEaZxKqp4vAj7Ex2aBTtaJlxWtSmwS5sETIs6s=w300-h225-p-k-no"
Lo Ricky,5,2025-09-19,8 個月前,"雞肉咖喱飯的餐點內容很豐富
有附檸檬水＆熱湯＆綠豆湯(共100元)",https://lh3.googleusercontent.com/grass-cs/ANxoTn3rdQm1ezbuatb4xvQD-EJTJobPU7OicrO9qDdPHmCMQMYRPfIKaoaaWntLAsm0JYKhOQmK7VibwcgBkfLoHw5wut6ywEq6aY4LiMz-AYBk1yOAen55hhumUoprfL72fvXJPjegRTa71cL6=w600-h450-p-k-no
Cathy Chao,5,2024-05-19,上次編輯：2 年前,"誤打誤撞經過，看到門口貼的海報寫著蒸蔬菜覺得很特別就進門來了😂 主菜有魚有肉很多選擇，價位大概都落在100-120元，相當平價！

老闆娘十分親切熱情，選定座位就可以跟她說要吃什麼餐。先吃完再結帳就好！

💡 冷氣很涼，在店裡用餐很舒適，大推！

過程中不乏客人持續登門，感覺得出來都是回訪多次的老客人。（大部分都是點主菜是魚類🐟

今天選的是【 蔥油淋雞飯 】 $110

有附飯、蘿蔔湯、小菜、檸檬水、綠豆湯，以及如果怕蔬菜用蒸的不夠味，可另外沾的兩種醬料。

蔬菜盤有高麗菜、秋葵、南瓜、玉米、半顆蛋等，處理得相當乾淨，用蒸的很能夠吃出原本的鮮甜味❤️

雞肉相較之下比較普通，份量不多且有點乾癟，不過整體還是很棒！只是吃完就是剛剛好的飽，食量大的可能會吃不飽（飯、湯可以續）

總結是一家很用心的店，健康養生100分！

下次會想吃吃看魚類主餐！","https://lh3.googleusercontent.com/grass-cs/ANxoTn3P4wQwQ1-wx9cpiYwXu8oDjrrxikjA6uFqjcb_8D2ZhYpYGA3AiZ8nsPsJI-X7tQcKKakN15OP0QZcydkEo5_t29HaOq5AcHbkk4fINMZ1izww-I41rDIQ6pXOqq1F83HaF2WYEQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2B2wU7ChNjWikzRUgQ621ZT9qCaz976FrgbIdTBoMTKA9VpP5bmNoECAdAhW6FOKNxojJaFlZfIIGFhJI3mOx0j9b-Q7BQmg7q62uZpcdK7x5ksA51IN648OzW5vdDfi-ZyYzs=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn081IMnhG_QD5KeE16RrcV_b4LkL4cB0hNxPKdrt4PzO8p3OejP2FkIyiGaK1sl-hlpeJymHyVcKyo4hKYQ-3skN4g-_60OFrFKdWGcB-GiaJdwaCR0SEUzFyCO3_iLcEK-XTU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1vfGMvSNEqFkT8qGXd1bBW70405bpu50B9ow2-sMlB-ln6VH8b8uNbBp0N-yCKENzm29ABSHACo3UMTVnxA9Umoi8GSNEfefA3x4Q9_h4_-JGz4Se1MC0ltMlk0dRj6bPHybA_Ig=w300-h225-p-k-no"
kai,5,2025-07-19,上次編輯：10 個月前,"醬燒鮭魚飯$150
直接口頭點餐，老闆親切，鮭魚用蒸的要等一會，第一次用餐，介紹中間青菜是蒸的沒調味，有沾醬可以沾，沾魚湯更讚，鮭魚軟嫩，魚刺有長有短，蔬菜健康，飯、湯跟綠豆湯都可以續","https://lh3.googleusercontent.com/grass-cs/ANxoTn2AJE4EoGmUVvmmcLa4UQPKDV-3nl0IVhOJxmMZzeSrl9UjNPvlwReozS7fARsf-uudVAZ4k0ZiUUR8s8IviIuVfQuNcW0nsINtbajrQNWqRxGbkbxKZLPziRJXKt-slr0OtVQnE2OjS1ed=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1rbflh5-ilblfCv8jB14_OFTPvWhu2t3BrSkL8aud0HmEgqX8U2Fvu4dgpkFQDT9NfmmlkyRvpja_d7M1oOA8NS13qVq0F0UHxnolyhSetnDqPefG5JNZwbtJ3Hc4PmfPI9KC__S6X7o3w=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1xCyyzRYetRsbg1Qz5p7AwxT9TPvRMSIk-rt8ZN4Q9K3e2jANYhMFeKIaxhSQPURXjgeEAcNR-QqZJH1X3MY4Ov00TKeWnmEC6qKXwlUtxYiFtjbM1iSsrxBQ8pTJrGpG-eY7Hv1adVH6E=w300-h225-p-k-no"
Steve L.,4,2024-05-19,上次編輯：2 年前,"該店鄰近 捷運古亭站10分鐘步行路程、捷運台電大樓站不到5分鐘步行路程， 特色為食材保留原味整家店強調蒸料理、健康蔬食、新鮮食材主要以「蒸」為主。

之前路過點了👉「今日特餐$100(鐵板三層肉餐)」,含 湯、 檸檬水 和 綠豆湯， 味道不錯， 份量剛好惟白飯再多一點吃得更飽會更好😂。

後續他日再來用餐，今日特餐($100)為: 瓜仔豬肉飯，含湯、 檸檬水、 綠豆湯 和 蔥油淋雞飯($110)， 份量剛好 惟白飯再多一點吃得更飽會更好😂。

他日另外帶一紅燒肋排飯($100)便當， 感覺份量還好 含湯。

✨菜單:
=====

1) 時令鮮魚飯 $180
2) 醬燒鮭魚飯 $150

3) 清蒸鱈魚飯 $130
4) 紅燒牛腩飯 $130

5) 蒲燒秋刀魚 $120
6) 照燒雞腿飯 $120
7) 味噌鯖魚飯 $120

8) 古早味排骨飯 $110
👍9) 蔥油淋雞飯 $110

👍10) 紅燒肋排飯 $100
11) 咖哩雞肉飯 $100
12) 蒜泥白肉飯 $100

👍13) 今日特餐 $100：
A 鐵板三層肉餐,含 湯、 檸檬水 、綠豆湯
B 瓜仔豬肉飯，含湯、 檸檬水、 綠豆湯

14) 目黑雞腿飯 $120

15) 虱目魚肚飯 $150

16) 蒸蔬菜盤 $60

17) 糖心蛋 $15

🔔地址:100台北市中正區金門街8-1號
🔊營業時間:
星期一~星期五 11:30-13:30   17:30-19:30
星期六、日  休息","https://lh3.googleusercontent.com/grass-cs/ANxoTn3FGUKYu_Vd2Nm-pEtL_fnce3YLUlEolkkHxPz4SEq6X1xkSauw_xPspw5sQwsvsWfaShXjEyMKV_6CO5Ejilh-9U-JrZ7HkG59i4VfN7f6HACEFeHPCJ_zlQC8mqWiTvyIZJER=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2FOOBjFZrvspXlJ2lKzOQJysjH9rZy-js1UunDrQ0ghXJWLcWWVUFFsdRqNnQurj-Qjju2VsLWSH1MhdSR9J4hPuin0w5SYGY75v_kR4XNsxUIht5o4boWzmRYxKxdxm82PaLN=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Yi59x9BUfDBgFuf85VE93JjbJi3yUGPnsZNz1JXUEHQWC3Kx1KWvWiI5A6QuZykm6RfiAhWtrNtyWq2iH2tftNnnozEOmx_NBYc0li96SBKCYW1Lv5vYw5jCNGuXsFFvEQReX=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1RLngu7bLCkXZEx6FCke9TlTvCz3JVmN5qmfxqkWHizXGjqJGIEOnN2RBI-9Iz0qTVFVCCiWdq72TIObuybwfWJaleFBCh6Ws4GGitNib3SWmKMcjtuFKT7V04XKoqbLxo583olw=w300-h225-p-k-no"
陳致亘,5,2025-05-19,上次編輯：1 年前,"服務非常棒，擺盤精緻漂亮，家常的味道吃起來很舒服，食材種類多樣，感覺很健康。
飯和湯都可以續碗喔~~

咖哩雞肉飯100元
蔥油雞腿飯120元
排骨飯120元","https://lh3.googleusercontent.com/grass-cs/ANxoTn1YSXEfwg7St4ytPbBoa46IeUZ3W7dyz6cZUPRQT2RJT1xvR57Cf7NRCXVZ7wa05XXK5432J4XZrWiSrzzC5tmHVej8_dfgVz2WN_6dO5fEtgzk3O_3SPLPJKRE6uX5YKxqGQkx5Q=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0gXvmTn1vbKGJXMiaCJjT5lQeuebqF7n0CCDM9iZB3vIPtbRxsmVv08ZXIZGv7uUatLoatqLXVDgQeSkZNp6H2lmblVXXVrxSQtBv8GdpbgQEKR-cEhVy1wxTAJMsa8LAiWwNHdQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Jm3_Kq_SE3OQrSnRDWHtXM3kdh9BgBbWGEPXcyXRPWBozpib5etlr6yEqwnBkgnnAPk0BhVgqw5UukG4yqeSMfrrX7JvatSvD2joWFZQUERy8cM3nwe0FkstwlGim7unmFJhsjA=w300-h225-p-k-no"
杜宇,5,2024-05-19,2 年前,"2023 / 06 / 20 初訪

⚠️內用為先點餐後結賬。

晚餐時間前往，店裡面阿姨們的態度都非常好，而且很溫柔親切，遇到比較多人不能接受的食物時會先提前問你幫你做更換（比如今天配菜有苦瓜，阿姨就會先提前問你吃不吃苦瓜）店內氣氛非常溫馨，環境也乾淨衛生。

時令魚套餐 🐟 180元

今天的時令魚是鱸魚，處理的很乾淨非常好吃，只是因為是現蒸所以須要等待一些時間。蔬菜盤非常好吃，以清蒸的方式更吃得出蔬菜的品質之好，不用沾醬就能全數吃完很清爽。綠豆湯好喝不甜膩。配菜幫我從苦瓜換成油豆腐，也滷的非常好吃。","https://lh3.googleusercontent.com/grass-cs/ANxoTn3qNy97-Vwtsfof0yTr7oW4sLZOJwfmsV8wNMd_FQPvmAG3ulKzj7gvOda1pNaEzrhAi7quNeVW38zHejP27vg9xCN8IhVyWIphvkEKenwWSI5x2TnHFepgWEa9G-hxR5YAUIg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2rEntsfZD8PVCXbdTX8gt4s3XX_3PlOXIPkbTkQos13xH0vT0TA0KOzWRklNYUQj1Ag_DM88pAzkXEhaLoBLEMN0qh5Q3FpCQb0irGwlyFO02ICNe-LU5wGoO3-u76oIS7jUto=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0ZFCIAtMLOYhfEK_W_6dvy-ooYPsQFh6YIRFpreIYDbFTfyGV3KZmNuMPLov26HE6dqoQTbxq4bhyLBiSTlfzCFRQgE_qcnQoefL1kJWxRogDI8rSRcdIPgZ2aJPuaMybSp5C4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2bIux9H06cHzMgKu7d1wYldo1XnDvSxc1RzFeXYkd4zTfTEmtohNoQSjCutTFcFc_pPWWEWR5pL_IyGlsu6ripbVXAVawlemtZrWiK2WirqZXtai1l-h6hMCdi1uUnd1No1Ub28A=w300-h225-p-k-no"
Marcus Yang,3,2025-05-19,1 年前,紅燒牛腩$150，都是碎肉而且蠻硬的，很不推。湯的料很多還不錯，整體價格偏高。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1ohfGeEuiRghJItiAP0u2583Ra1IcVq5VfTwkS5koXfCPuILWIZl1yMZSVxV9uy8Ehmed1u1gjoNnH6hk7beaWsvw5majn3AvoiyKYpIpTEubaD3mb71e4Qh-NowIVXQbGmFY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2t6o7s-maTSgtgW8gtEsEqCzk2MrKtxQl5NpzhY74XTp1xtL1p-IxwAJHafRlCwFN5BQoDWodcm65mR2CYQoVHfWfQLix_E_kfFte1kfxjUHUo424Ry1_r5SRZakSN1F9TYsYWvQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0WqpoXcF4UZQU8z1xWSLRCBKVeiatkvuqr12JW9firpY91YXpyvX0_-i8KvIQrv4ObtU9kNoE46VS2IoDXn7dBN3-VTx9RjX2xRfuhwJuWpyj6fzVkpqqr9pXd5dT6Z8czNutO=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0M3gpjs0VUbXh7yXUBfl2XyD7hyP7Ot2caVSsZxsYH5tnvtWYPYBIlwWpo40ojd5Z1GWz0LcxDH5248uNSbRhH8_jdD76jM6R3IVVTJ83vGKkhPT9dCBoTNrt-CMkOq8D_otT-0A=w300-h225-p-k-no"
Angel Lin,4,2024-05-19,2 年前,座落於巷弄中的小店，強調餐點蔬菜是用蒸的喔，清清爽爽沒有負擔感，中午用餐客人不少要早點來喔。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZOAi9aKzV4VxsiUc1yWllkhA7qq7xLQGNgsekRnxSTXuFCeDBx1rMd_ddGCNo-MCRGTqYEocH8ebrPKvjEXPgdZ5JSL19gsd5DE0p-p1wZpiz-RjatoVrLq-s5dsZ6BNxP_Em=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1o-i2aTSA3A6r-uORxLwAudS25p_ldSCpHkyieoKBO_h-RPNeACTCgk2TKMQ-gO9a50N_b1nsXy5nXxpg4NHsRD2HbvbNzJ6W6AMW_8UM8Fv_m3kvBr-2Xnxlu3UTIvi1pyuEkNw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2FQgsSBROlH_KBH9-ylcf7Xdzifsu13VVfc9DJkVyM54Rwrl-8fTHJY2xcdDfQ3A-9zXPfEj-qXDXO7WMIZrBhtrlm3iqwD3C-cqsePEZ7fuaz9slCYDs-6Z4aku4lcNXdlmrw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Rsr3FSWWvdNI0vGms-tTIH_LKpk1sfAb_twcYnMxZUhDxMEVBFNap0NHdp_L6UtB3b5xL74Dy7xglDr3_HpstKvXR9r2x0jBCkCWQ-MWTgA2bPIy0zMzPhDp_6bnEvV0NLbXw=w300-h225-p-k-no"
老王吃瓜,5,2025-05-19,1 年前,主菜非常嫩Q 各個菜色跟小菜都很豐富，感覺是水煮的很健康，但還有配沙拉醬，所以吃起來也不會不夠味，整個健康口感又豐富，又很天然，加上湯品跟甜點，綠豆湯好喝！超級精緻又健康名副其實,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2U8J_jgXD6N0b49Oks83tpkAEML0TH5Uj9ltAEJCyopvRp1n3U6u0ym3hgvUMOpKFCRj0gpwjVxRIEdm2OuZzObTbjLhE7jIdSbSLMazFTrDTgIv1zOOjGKBemFXzJvHVPjYTz=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3RN6SymSHGUwIwB-YSZcrqbHCRt5CRDWEbSUKuyfHQKliX1gdh-gtSANPbocV7-6V0z4PGVOQsP7SswB4kmYigFZv_ruJYl_p0g2DQbwf9o-W5uqkk4aU-9AimDt-coGThyVbg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn36NC0YA4Rj5Pg5wUubaW_6rCxUoNVFXq01sz2VuP77jZWBRHRi8E3NQivatCAlcReII7_46zftrwjqbITD0NzZOcG4xKcd5sow7K_CrHnOU5wrkIL5IH7x7LlvU-1qCDnApjgj6g=w300-h225-p-k-no"
