」』』」」



ㄍUsername,Stars,Time,RawTime,Text,Images
JOJO PUPU,1,2025-05-19,1 年前,"用foodpanda訂了北海道奶蓋太妃糖奶茶
，結果送來的是紅茶，店家表示會補送一杯，但直到店家關了都沒有任何消息。
這種服務我給你六顆星不用謝
詐騙集團

更新
是有收到飲料
但今天上午11:20打算喝昨天同時訂的
茉莉茶凍綠時
發現只是普通的綠茶
並沒有任何茶凍
我這邊會附上發票明細與飲料標籤
當下喝的時候傻眼
你們的失誤有彌補沒錯
但不要第二杯也出狀況啊…

更新
第二杯很確定沒有茶凍
貼紙上產品與內容物相同都是綠茶沒錯
(喝光了都是綠茶)
你是需要我確實寫出什麼？
一杯是有茶凍一杯是沒有的？
不明白你要表示的意思

我一共點四杯
太妃糖奶茶奶蓋（有問題）
經典珍珠奶茶
蜂蜜蘋果紅
茉莉茶凍綠茶（有問題）

回覆收到退款又拿飲料問題
妳們20：16接到電話收到我飲料問題
承諾會補然後送來並且致電
（有留電話姓名）

結果等到你們店
21：00打烊都沒有任何電話通知
沒人打電話給我我會知道飲料來了嗎？
我當然是認為你們沒有處理
所以我當下馬上用熊貓投訴退款
並且在google寫上這則評論
想必您也是看到這則貼文後
於21:40致電給我解釋已經送達但未通知
（放在公寓樓下根本不知道）
事後會向熊貓取消退款

但做這件事情的時間點是你們根本沒通知
我才會認為需要利用平台退款
很簡單沒什麼動機
到是你們兩杯飲料都做錯還要反過來
用這種態度問我有甚麼動機？
請做好你們的飲料
可以自己看監視器
看員工做的當下到底有沒有放茶凍
我喝的時候確實沒有放只是單純的綠茶
就這樣","https://lh3.googleusercontent.com/grass-cs/ANxoTn2jkInzWQfJ4cJII7eOoRgi8GO1WU214E5qZ1VVC2YAOev6v0pdLjq_HQZeMu4-PW-AblzCnnl173LO1arpay-pxQzLJZ5-lI8T1Zyhud_bKEsU9DszhpFp1I09R53butRCz5_Z=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn13RQbRxJnIfav5yARnukIBSFg3QXOVOlG2DnUnMoVKj0u84vnqDa6mCCP4d4c-B-SQ6cLylXzu8LHjSE3echnNKpNDEXudcc6N82CQrPZ9tsLN2wpzTHycFrMGgx0wzsFDDwjhAQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ti8UuoeTKCj1yRcJopYkDpyLwAS606zhHKiU_oOB5BQpyUjHpnCiqWc4FIJm4fS528MPSBq4RK1_T6GVe3NLm6ZL9_dhSca0a7d1002gueB8FI5DkkR-gmepsGjQeSOUpTcXz=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn18zhpwVgtQiLyUlM0nHwvUovom1aWFOpIz9i0JE19zoSW1_tOtkuXFLyPWX0ceiNdt8OdRNHfMHYdmtAXYgTBtibEnLPnp1mSB_xQtSOIVJrwmfsC2f9nbKaUzm-lE65TfipXgiw=w300-h225-p-k-no"
Ace,1,2026-03-19,2 個月前,"速度慢就算了，還用騙的！
到店取餐時問需要多久？
店員回：要等一下下！
過了3分鐘……問大概要等多久？
店員回：在做你的單了(2杯)，5分鐘就好！
過了8分鐘……
請問我的單還沒好嗎？
店員回：抱歉，還沒好！因為現場客人比較多……
那我的單還要多久呢？
店員回：要10分鐘………………

為什麼一開始就不直說要等10分鐘以上呢？
為什麼要給承諾說在做你的單,5分鐘就好，結果還要再10分鐘呢？

請問外送員的時間不是時間要在現場等你？
誠實說要等幾分鐘很難嗎？",
林小金,5,2025-11-19,6 個月前,"點兩杯仙草凍奶茶微微
超級好喝，大推👍👍
老闆娘服務也很好
集點卡集起來💪",https://lh3.googleusercontent.com/grass-cs/ANxoTn3iGk4WQ3rEo5UQ7nXhjj7f6hAvWz8Sd3DMq-rfs0JCEbhDiiMq511YwVO_fjmRsR7SkCBNHD2XHkBoZbhWODnwi6aLnjVxtdXCAAx4yMjhXnjeCpHRS7gOljrGWgylbQzqVr7PgubP1aqM=w600-h450-p-k-no
xiaocheng lu,5,2025-09-19,8 個月前,半夜想喝飲料，點了一杯太妃糖紅茶，我是到店裡買的😊超～級～好～喝～推推推👍,https://lh3.googleusercontent.com/grass-cs/ANxoTn12yNNLsk46GPaRYyOk7ke8X2OqBZc4E8bZCntCs-2RWb2kY6v6_EyNpaJABSs-fxyDx89tPKPzvuT-hbQf4x8ST7TbwHU7tbc1BU1dM2tkpyaLyr_BLz1zRPujcEV2Gu8ZBGIhZxhSp_7M=w600-h450-p-k-no
soyu,3,2025-05-19,1 年前,南瓜奶蓋超驚艷，很喜歡那個肉桂香，3週喝了4次，結果奶蓋一次比一次薄，假日買更誇張，第2口就喝不太到奶蓋了，店家生意好後就開始省成本了嗎？一杯要70也是不便宜，覺得非常失望……🙂‍↕️,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2jsYxPtcMXL2U3e5zPOkTKzmIKSzRq9tO5BMvbcKFCECra1NFrMJp6AbAcVLCShVzx-Oh91TX9z_WO9-dGekCjPkMz5pPRx_bcM4AhTKTmZCCWl7zofAfoWEwEFtsi7lYeYfG-qQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1t48-IbVurNPdGQ2Nf4dZ2u6bui3QAO-MJArT-GR1tA2DkuOQzRnW4gYvf8q_H5vhlvoTmceSInZgzdPYzeZXRWq5btK39xSlyAWkM67goR3OOAPjgBbiJJSCyEf6GqLf81Z-0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1g2i_D9pYA2bgRb_m6QndLremQkwNDM5qTsH7dlv66tqGRMlsijoE7Yj3X58OttKXNlSXbGT5dMV8aBz6GJzmHhQhvqvwiBPki4FqJeWiWJP8_Xehjgze6B6ZmCU1UXdNreyR6=w300-h225-p-k-no"
歐陽亞倫,5,2025-09-19,8 個月前,"點了黑糖寒天鮮奶茶  太妃糖
寒天沒有想像中的好吃
太妃糖口味 1分甜剛剛好","https://lh3.googleusercontent.com/grass-cs/ANxoTn0zKXcC8dFMjTcdy_Ns78KDQWNzQ-3g6Vt0KispbphjKF8Kf3575KDcGM4lNfZVfwNXzNXWvq8D_HiTqiZZlpzgjef34ikQpiQIGDCh1mfrH_aYoBjU1wb1cEGicEzOsUN7SDBig54ugPl2=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn34cyYlq7AWdUV599ICGf6BlbaHbJfd2ldikoiAOxKtmt-GcwvVu6BuNDBMPeZu353Oql3SqihAPhfKXLs0Vsk4fMyQaZSKi5XF1DWafcntrQjbOm7W2EnPI2r44T6xp0CGb99pX18xFWw=w300-h450-p-k-no"
Melody Su,5,2025-05-19,1 年前,"Whatever Tea 有一種溫馨且歡迎的氛圍，非常適合喝杯飲料或和朋友聚聚。菜單上有許多推薦飲品，但真正讓它與眾不同的是可以自己創造飲品的選項！有各種茶底和配料可以選擇，你可以完全依照自己的喜好來定制飲品。而且，Logo上的貓咪吉祥物更增添了一份可愛感，讓整個體驗更加美好😸

強烈推薦大家來試試！😋","https://lh3.googleusercontent.com/grass-cs/ANxoTn2uTPKmacfmQwXoVh_BZrYHqvMdN0a3e3erp1vQdNJln5Dt4z-7ecqEDRY4nAvAJXPDgzHMnx-Q2gA0GGpcb_j31YKdx_eTV9L_hU6orOrScIvBS4sYfJ0T7hLE4JANaR0IR8VA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn00QFeKRK6d77lfCOggon8mPoyxbjfoe7OS76lDXOJAjYxFnSD4-bWKCY7mhrJx6Kri-EA26lOEtCPrBZ56eBgCDPO1uXfYut5V5MYQLhfShuwjOJInf9ZgkO5HJ9nQL9QWlksKMQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3tknGUpDfOsLNvgvHDuWjua5FQ5afHBqXXqif7ahlLRy-iNERi68y8pSUTfwWxq6xhLXqCb_Q1V8-R34hGZLV3aWS00FmCTNX4swrBzrJZpYxiRi30kiFYoBb3JQbFeeSQZZwr=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1RTi3FQtn5OtWzXTDWjKJG6QWqjaZmsPsn8rMniQ016lV9TAmvzqgExQ-rFpslCtykn0J0e7FGxW0hFw996XK7Z3idyEJUU47UQwei0rXbxykPOk1xcvusH9HXL9YojzHxH8l1=w300-h225-p-k-no"
莉雅,4,2025-05-19,1 年前,"可線上點餐，惟外送標準高，2.多公里需2000才免運。
店家很貼心奶蓋與茶分開包裝，還會附上挖杓，但奶蓋與飲料無法融合，需要分開吃，不然就是不要蓋上蓋子，直接就口喝，奶蓋本身好吃，是鹹奶蓋，茶順口，不苦澀。
帕瑪森起司奶蓋綠茶$65，無糖正常冰","https://lh3.googleusercontent.com/grass-cs/ANxoTn0G8-Wo2s8-IgT2P9-qHtp3QmBZpvi8X0OK0AIgLxLlc5Nt_KYJSvNdiwd39536jQVzdtBs8d4FLi_1xBflPcbGbfB09QuAbYh0B5wEbmG6MkmAq3aBC2LuDFBJuiv2WIAOwDyQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3uQt_OXMjxDW_6gCQSsQjo5dzuTSUuId9-DVTnY4qmrZy-3JZ_dozg8938OkrOPv1CeyzBjB7BZqpvhKWVSATUynd2D-A29Oy1hPlnz794AFhYhQ1y6STu4oz854JWbgJK9XgpCg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2z71S-zGPYP6FXiMO1NLL4Z0M9taOJpeOVbD5EL5Uw_V1zEJI4J0d38TT9Lz_u07tqzUA0Rshh3fH7f03msRLpcQ34o7_leXME2bAlLTTP_Gz7ssfu756fQyp54-FyM7PAMv7g=w300-h225-p-k-no"
nh,5,2026-01-19,4 個月前,"南非國寶茶真的是太好喝了！！！！
但可惜營業時間不固定，去之前要先看google地圖！",
Kate,5,2025-05-19,1 年前,"初次到訪Whatever Tea  點餐方式蠻特別
可以自選基底-配料（珍珠、奶蓋）+奶精或鮮奶
體驗自己調配飲料的感覺

個人認為奶蓋滿值得嘗試的 （可可奶蓋、鹹起司奶蓋都蠻推薦）

選擇障礙的人也可以直接選擇推薦配好的飲品
這次點餐的應該是闆娘
服務好好也很耐心跟我們介紹飲品

推薦大家有到東區的話可以來喝喝看喔！","https://lh3.googleusercontent.com/grass-cs/ANxoTn1bBgwumrKFgWtz79O7yBgE1xtMAOQs_Ohz5gSM9JRYPvbS5_oJ95uAiTG7Ofu2gbywxAAjYesdj8Mbu0Ycs9ujtzcgOrlTG4HY1modkn6KB8EWQRQ6WoZCTRL0_dPtR4Cv-GaP=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Tc-Vr0XM6cOIkrWHYUlL91Ey9_ffKje-dAIA4glb9PcaA2wKcXsktxKf60-EiGBRR97esLpXmeP-sg7SDyWOJuf7QUplceFKZllT3sO6zoAZ4E8WMLjdEzr3UckgBaFEZQb06=w300-h450-p-k-no"
