Username,Stars,Time,Text,Images
王停茹,4,3 個月前,"因為天冷關係，點了期間限定的芝麻粉粿，店員說此款可提供熱飲，於是就想說喝看看。粉粿黑糖味明顯，配料整體偏甜。芝麻牛奶喝起來香氣十足，芝麻味濃郁。點了無糖還是覺得有半糖的的甜度...當下喝一口卻發現是去冰的狀態，原本對第一次喝發發有非常大的期待，這樣初體驗有點失望...
點餐的店員很親切地介紹店內產品，甚至會詳細說明熱銷優格與優優的區別。 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn09JUNXpo79sENzjBYiwc7NlaMlYLGvWYKkrB3h55rMwNVxK5UrH3BGlht-o7fAUOOdPkiiLG5UtjVfqw8gunIGZRAKcZkA2kXhJwbGqrpZtEwxThtdyT5hEpBiplproPSzO2d1LXhO0yod=w600-h450-p-k-no
kidult,1,3 個月前,買過很多次優格都是冰沙狀的，今天全程咬到粗吸管可以吸起來的冰塊就算了，喝到最後居然還有大冰塊，感覺店員隨便攪兩下就給我了，還有買過兩次海鹽檸檬綠萱都沒加檸檬😅😅😅 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn3ga2WUlcoDAhe-wTfjS23IU1dDeEmvmUxTAQEi9pgkyouBz8CfHAJ7AkBEy5rLCZNRYgndP6pgAD2pMQnhY39A1bUe1VnMPWQ1nK2-J2WNqmhrHJGTwqF4d9XSxI_jyf7mTX0zQZ6tXr41=w600-h450-p-k-no
Arbay諺,5,5 個月前,"奇異鳥粉絲朝聖景點
還有提供選擇困難者
‘’優格盲盒79元‘’
我抽到阿華田優格～好喝","https://lh3.googleusercontent.com/grass-cs/ANxoTn22nUcPA0ZZqErk6dWg3OYyKGojKyVSWMe02aoDKEjaifNaLMbkJs6opGzUvG1oDM8F4uTtI3k5Q7Ht6Fsg-7pLtsvG7OcUfOzbcWDyezmFR3tM_k6iGjEX9xw_JU9mq0bQ9q6kZ9Xpjo6p=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0gvgITo48W-6iROXGRCoRYiib9_9KWqAps6sGZVxTJq_vgQeBNHxFhs7sfHtv_8gSJMHgGYteUR_8G2HVIow7oLhuetWbGXmBBxTMLTSaM9qb7AOUYG9Zm4Dmyg-focLmOW4niFquzibQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1nEUVmcKOEeq9ZAM_1vplTKkJitj6K_5O6YpmQbgM4eHDwyymdBTEdOrpFdFkoZkOUnmGInWTgVSswzVhsBbzNNYsJOqixGRhnyQLXJL-ufA5ZNFLdLrdUiRtuIML4QZ2tvnmz_EIa-SZH=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3XP88HI88V1y5-Mvf1s_w30mW7w3JsH2FcXydOifVMFYJnd8Y43U8SDouRm4sxjoB9mDWpB-xdyr-pOVfFB0oV6xuJ75YulpK4y9qlW15sXBT_vCJ9lVNuaHo-nnWPFYIEIjsicHh6Zq0=w300-h225-p-k-no"
Yt頻道:騏樂繞地球,5,3 個月前,1/25下午三點左右來買飲料～店員男的帥氣女的美麗～重點是又親切～,"https://lh3.googleusercontent.com/grass-cs/ANxoTn31e63IE9VFMk6k8cl8Ijgz_0g7ODnYi_lfnGBYA18TSA-ypu3VJNr9EpeHsOfbldgw5pTRacAylZRFUPQLdUcyH4OwoGb1mfxjafi4SAZ3v9O5S_JaCVatjf7D0sq4PHdl817wBM9WKUr7=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2yT_jwQYLjYJHKL17Lro4RaoJ6lD-AHh2R5L9EdofcFfT8rceddvoLRMKiO0U4r4MrQ0jEEmdgpHMDz0WfoIA5Bdz4zXxUXYxpQdvGOdn9MIobxyTyNMBlPFC6dkuM-XMrmDLFU5YELMLU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0fKCsmHUmcm-lMIK1yQzYsKotawstyxxh6L99XDlbvBbcX7haxnUpcoKeYU_1bENJC-m8lXKdh69qEQOYTmKdlGJapYmIZUI7H2RR53K__g3IKljso4dP-nXg6EnkGoiYZL4sgCLXrGgfR=w300-h225-p-k-no"
Amelie C,5,2 個月前,"莓果派對優格中杯95元
酸甜好喝","https://lh3.googleusercontent.com/grass-cs/ANxoTn311CVbRqnPSgAzWK-by0bVIF8zxW2X3iaFIySsoZPKZM9BdweFBe3Sjp1-E_XDGAQ3sYZXecPRIPxkRTcp4k7x7SU55k5k2T8c3q6XlY7hP_-g3_vTOTJG559wcKOkNPrInVb09KK1YM0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2AQpWVN9zzwBM-OAw2tSgQTfztGsli9xgKoNr2lgiWSshUWPOUvjnH-hm1PNRbrVtAKXE6ERIDFYw0VwuOrH1AOYR9OZvZ8VN7mcv69kW5arXzt-iaOaGAiSR0qOfBsrtSKRmPQ3qIEJyC=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0a9-LeFKQRLLribqZ_6LGX729Q31x2oov_IxYfZCgeclqNxWroKmn9zoWLikJ4WmE3sqCO2BTGkFhfCvVaXOg-glevp2XjPzS-kj0jK9kbjo0D3un8UUqSWq3aC2jgnA6pDz-KOTapsGVn=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1TCsZWc5y0mE--Sll6sl2wJ--HugKgxcfKrVdQqlEozpY6W0QIb5oTN-f7YEv8vUPPnXZg9Rju1BbjQrnzJA9O41Pubhm9A4HqEhhqKtDaprIrC_lFA6LIPc87ci8jxZer88B1P3au1lzM=w300-h225-p-k-no"
玫啊,4,2 個月前,"飲料整體是好喝、偏甜
店鋪裝飾很可愛","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Y4M-Vow0VxSlyca5rE8g8PY4ppVivCK31B54kP9Zgy4kZa4hsnZ7Gg5pzHe0_WxBmyMJNEWvauMCH9Ij8b53FzDx7RMCxoD-R5aeD0u4tfBL6RC0bB4REf7OaWdxxJIq2v4p84oGx5ps=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ogp0URA2d06_OGp5WtxyCfITjsw8kaFinhQMv2OzmxXsJyj-HYLZ939sXM6jwf7pFDZpxmneWoudmAW-iqN9wO07AuY-IfNTyx1El5Okprc25-59yOlW77aE2H1u9qCTnCRG5snmCqio=w300-h450-p-k-no"
jbmn100,5,1 年前,"發現不僅以優格好喝濃郁，中杯覺得意猶未盡，如果有大杯量會更好
穀物鮮奶茶有烘焙穀物炒熟的香氣，周邊奇異鳥也可愛，解渴的話挑無咖啡因的穀物鮮奶茶是不錯的選擇","https://lh3.googleusercontent.com/grass-cs/ANxoTn3504AzMlrD0PsXfGlu_J1ngte1YBKtoFSJdJzI4ZwQSHmFuTL_aHPVwFhBKyvPsc1BAmRVWUz2xq7IrKRFQd9rOfH7ixgvTUn6GbUCw99t-_iec_bKV983w-4BIDsh1hxzyR_8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0vRPVeu4Wxhg0g9O-vsR_a9qBnFqm4SDJ0I5xO1xnj7p0Uq3RZU7pmpHcoq9G7zR4q4HDQUbgAMcW9i41NZPu0PEIDUb73pNGRQ-pQTU4zHXCZ9VoaKUS3sLqBhpsAImEOPe4M=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn37gOcFhRpRrucpAxsxUODwZcV4OlArPZKKlN16DFigFovaqReBQMtYXU9N7Tme4414vUeVhTCWaVrXCNcMbOHZ0ujA-v2nIIfFmnjhutMRsqJZnXNr3Rg_2Zsq9UmQsi7wWWvWWg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2-onjrKeK7lpXIwrgQkCG3kGnVi1YB3o15gE9G0hNUAPlR35OPtTcRH5j7T4v7u9VspBEuWjsGt4PsgII2rAmIAdhBbghBio8v94ctMpGklWZkq7ca6aZKYAJHjVTeu1Lf1Cgq=w300-h225-p-k-no"
陳學楷,4,9 個月前,"飲料整體是好喝的
只是都偏甜
甚至微糖喝起來有半糖的感覺
但裝飾很可愛 氣氛也很好","https://lh3.googleusercontent.com/grass-cs/ANxoTn1b77rUUjLu3brRudJOG24hA9ur0MGTWDG5fJoCNOR4PXADrESrkmA4vOUqmtVeCj2EFFmsSAUbATzqqpxtuXO9KO6j8ddIXTHmL-4OqvGbTamoaaJDhsHCkasitezf2uG7NYj1ARpWZCU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3mNI8ZXUnYXNqA4VhX6OkvWXkem7ZVrj4sBxrvLEDLmhzcUR5UUWRme_59SLQTOkzAbZV2YwiwrwuG0rEK2edaAYQb-EQlluwGGqkOQIzqVAER3lNWanHO4hlxCuDIFufxaOnbWrsIPim1=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1fTkoAymPj5UyZP7GhnBVClJTaupwvIWrfrTRt1rjg8oT7L-2TBWR4dhTIEKoK13VEjontc-24xAvd3kwcRtZWck2c2qgCL4-e15RsDMXvTWQsZCdDkQqIu9A1NZoqiATP5o-HAuKOgqiA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1QdOFEIKFWcVwyzoPeL8nBm15WYfdhqVQpaofZC9Wgf7E65qxD0fncJKem32RIMSO2T2uesc1uBnwhi63ssgGMb3AM6DRgAyPdsWijnCH5FEabT9-mNCNv4aOOnJARfTuiIohtdx_5Iyg=w300-h225-p-k-no"
Candy Ho,5,6 個月前,跟著小孩喝不膩🫶🫶🫶服務人員態度親切👍👍👍飲料好喝🫰🫰🫰 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0mfLzC7-8_eM9u5qbfPcfVYPtj2KOwsMoK_6W-GFGYxkZ7X2whqsWo6ZEu7gF3mwmDNnyWBjiz92xVNXGnxPDeF-kJ_iL6GTOPj9_Gi28E6lJqfbvcuKfl78gt8mNDFSQx_2L_ufIYuKas=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn06gsEp7bu21tqfUIsnkSVHeHnHOp0gu6MkGSIgapMFrwnlniuQc-g7j5yHoRBjCaEo8PxwqKV5cdLbQF1CIbvdZCY_Sqdev22UvIzu_N_lfIPOeg-M1Fk4Vkh7bgZKUL23EEnGas7Vn5Tm=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3XCPEsNQZxnizcvLSDsEFTDnEzLw3hx-YWY-AjLUl3SPmpRlqVY_9RsMSwsVKLZpaMO-Ya0TCvUo81F-KZLgIfzn4DOVABf6hqsyoSoYF3Y9Mjyl4y5Pt7eBJNBf2Veqic1_WDlFzr6IoG=w300-h225-p-k-no"
YING YING HO,3,1 年前,"沒喝過，看主打Yogurt，買了杯喝，甜了，味道不如何？不知道如何形容，只能說廣告勝於飲料🤣

沒喝過，可以試一下💕 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3JBwnp56rK9VzYtLGDohrz1zVyXK5rbDEU0vVQ9tpw03oNs5GZHOOMOeTdOtEsWILFauM0YlPUdDNZqZ_OaDI-lZ2tXRMH3a471e666u28qDoev57c1szyRIUvImSVscadxBa-=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2VC8doVbvOP-sdjy8VsgcgVsgc9wMgj4Aw8Bwdlh9onTb7YkBFhrPH9XzicrwLY_Jv__g--cuyWQKnur1TsKWdsthDE4J1xb33oo88FeHanDXI5agufh7pAMOEPsiLoOPVy6qrSQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn08K1sdNFkLU-v3SMZ3qjTDcafZgKv3LCo2y2PwL3LAGigD5-WNtZKt28bZP96aO1vDCFUQXQvC768ARbPD0zn-xGKV43kHM9Rquo-5tNZhX-uqXpqi-vknB3D0iQiQKwMLI44=w300-h225-p-k-no"
