Username,Stars,Time,RawTime,Text,Images
王停茹,4,2026-02-19,3 個月前,"因為天冷關係，點了期間限定的芝麻粉粿，店員說此款可提供熱飲，於是就想說喝看看。粉粿黑糖味明顯，配料整體偏甜。芝麻牛奶喝起來香氣十足，芝麻味濃郁。點了無糖還是覺得有半糖的的甜度...當下喝一口卻發現是去冰的狀態，原本對第一次喝發發有非常大的期待，這樣初體驗有點失望...
點餐的店員很親切地介紹店內產品，甚至會詳細說明熱銷優格與優優的區別。
回訪指數:3.5顆☆
(應該會回訪其他門市喝看看熱銷品項。",https://lh3.googleusercontent.com/grass-cs/ANxoTn0WZD9Bbgk_4EPooV47AvaMBrWN8g8G6iCfNIvQOQvgZhdrW2mMADcxa6ZVoDcCaveka6zJfpYbES3H8kAS6Zl0__KOBHG1iWZCQaLfslENr_cUVX5r5qR3ep8wR_WcU_oJ1E4d6gsVJjgu=w600-h450-p-k-no
kidult,1,2026-02-19,3 個月前,買過很多次優格都是冰沙狀的，今天全程咬到粗吸管可以吸起來的冰塊就算了，喝到最後居然還有大冰塊，感覺店員隨便攪兩下就給我了，還有買過兩次海鹽檸檬綠萱都沒加檸檬😅😅😅 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn3E1SH7qfVC_zzmds6h-cXyqUCk3soM3wzusM7OxyX_O0uNKjlUPwXYySEt9c9CPKEP74WMce4BGf_ICJi-aK3a5M_ec5pxhdpyrxK3DNkdBkre7UNhOoOuJ3NXMm8gwCcJm0IvIcaxdOba=w600-h450-p-k-no
Arbay諺,5,2025-12-19,5 個月前,"奇異鳥粉絲朝聖景點
還有提供選擇困難者
‘’優格盲盒79元‘’
我抽到阿華田優格～好喝","https://lh3.googleusercontent.com/grass-cs/ANxoTn2DJX-EJTrHcBv9w-jE1S5xVJL9jjkiYoSWle6Givu5tFBkIPdXdOFwFAZY4t0pj866f_zbn_pOKKEYCIqtdkcijKRgqkRkh4qhffHvCaYt-FvLmZFgSOPUzlF-7bY181GqVv4VoW6oMKyq=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0K5RWcxcjuX4U-IzlDPXeYB77pQ-87SgUNui542xEdbAyZwBszbSKv5hfB-E01siX3U3hpeXgbGctBxb7ZlFT0a3Gb3pSMTZ6imsX2hZpq7xxROgvYM-CSHC0Hkp2Mpkt4E41mqE8Yn1A=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3vWHBZmBb1YUmlAzD7j0uXxl1tv4Qg2ovF_yhCPYKINELxy6sgwUNBYEVa4svQz6opXPKQ3Dt6vczDjxIffMVrxI8ibgtW_ZrRSDWmgoL5rgOy1l-iuCZHFK5aKo5XES7lrFHt0wptJwUR=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3TA5SEmysibgkZniZr8ME5w0VBtdExiPD5DdJdDUIwkU85GAbpe7CzOgrPX1tZp5e91irCZyTtiXt4yKG-sON7efX2hKBeyP7BqAvI3iF74Mxl7ZvxxLRGczbp9p6Umw0NXV7wQjvJe7o=w300-h225-p-k-no"
Yt頻道:騏樂繞地球,5,2026-02-19,3 個月前,1/25下午三點左右來買飲料～店員男的帥氣女的美麗～重點是又親切～,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1ZNvLsmT9K_57XBcLJ6q-rous366jUQx9eney5gmtrCQHiwR8Y0zPNMOFgsJIiMzxHOzg4Uf3ZSs80_clpwOKCEnuEJhdYP-tFh8TPAIPkoOLynWiYHGTqPHMgERMbWoEwxSKA96ezSBUF=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn15HhxvaRcMLqfDDPPfAo1p1IOFajr2L07WWbtCCV6sgT8ozIiKs-GEuARPsTwCS_nxzKeF0pBwAnURWVBX0CTkxA4zyy4vQxX2tGPfddINtJYNiPkX8lUhYPv8XtK6DcoLv6OWF0Rf95W2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2k-2bKngFIBLeDA5TioOqrGAe_3DlMqQc6RgumA2CQsvv3iDmSzNxHkAqvzg4D3GIbo5Sj7zgOh8_RkW_SfOs1PoM-BxLONrxJzCRJ5wlJE0-InXbUnlT7GTUHg4ywBiz4YleUqiN05vEU=w300-h225-p-k-no"
Amelie C,5,2026-03-19,2 個月前,"莓果派對優格中杯95元
酸甜好喝","https://lh3.googleusercontent.com/grass-cs/ANxoTn2NuyHe-fhXtZWYFaCJMqBx7R12xQEXY2qCbrHS9Aitt1U0bv6Ke02M2EDVt5Qr-Yl7FaoiwdQt4md4YgVfzJ0oK_j3fFv-mIU-41DCc_RQoXGi78O-RZodtqUxe5Df_McMj5TM9RZHyiA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1hQEBknqCcw2x9XtCtn3A0r1Kvo9wcGtz1uhTDaguGVOtAFOREIXr3d6mTgUZxm-C6zQ18ESytCMb9h1W3P-pEAU-6sipLkbWwqqIKIvUn6ybZjMmrRUc8PJWFNaxnHEsESGSVq41sHJnU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0TUBkveMGsygz_KPdfIWEoc9_gpDU0ljbLnxxseIPJQWkgB8q-PQEAX4EkpDPNy-Rdiyk9gz3pSqLHzIuBNnwmaKdaM2Iy5W1k5J6l9DvRjKR-HLixzz8MIwNk6Lk2LiRu4rNfYtGibZqL=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2f6bR_t942MI6gHhtN9c0sS0Iaj-aLxFDXxsmVBpcwPo84XwlRO-909gBYUwxCfV-MZtXc12_KYw0MVQX3wC-DaEcGG6hgzq-EixD86YLdZelDZ1cAW69qEfoWY0r0rvvOfa3a1-PmHAGF=w300-h225-p-k-no"
玫啊,4,2026-02-19,3 個月前,"飲料整體是好喝、偏甜
店鋪裝飾很可愛","https://lh3.googleusercontent.com/grass-cs/ANxoTn0vauu0j_0UnuVHIli-FrkPfEewtzG8Ivjt0uucmZrjzs1Itz0Z1A6ljYaX4EVNFLW7bvre19J5UHuUv5wPYSqq8auJGeJz1tT5RgT50xKqU_sEc7uiw0jvZJH6yHkMHM5y6icBGG1eHEQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Py_6p76tpmDls6an64gFi-CiWKIscVKRRdULWSyxefX4-K-bRJloISrM9FtdsW4wmQ8AhQXJjvKYUjVlnKa5xER8TsksejXB66ccKvTKArkWGBdpCk5y6_eWdx981uzzERNkSi0atbsY=w300-h450-p-k-no"
jbmn100,5,2025-05-19,1 年前,"發現不僅以優格好喝濃郁，中杯覺得意猶未盡，如果有大杯量會更好
穀物鮮奶茶有烘焙穀物炒熟的香氣，周邊奇異鳥也可愛，解渴的話挑無咖啡因的穀物鮮奶茶是不錯的選擇","https://lh3.googleusercontent.com/grass-cs/ANxoTn2Hji-J0uHxdKAhVwd02jzl0a8rYUAvPCsJmzWZVjsxR1g-A_Q63K4L4c9HLkHF8SAwR1lW8RseJMbBEqaijyKofzM009qh_vvso-_szTpcE41mmVAFtK83vSpl8H10-6shcp4A=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Otihagl-o3UGxliXw9cwqnpnMe457ga9jdFrjDdpw7wZIUYSKRIpadjS3cGY-fVTbOanH7g8aMCn4B5YKISTMhx7JwhfSFNrpcGtXEoU4TpFcIqH9EUo-p9h9EGH3tainL_ks=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0NTZPjaU99ZYpKELDGPL7YlSl2P1DuJrWLRhdnLkvrZmzK2YdbbAqZTT_z93qr2jfKCk-o2uLdAeIwHhlDJGuQq_hUysCyRFZjFK_kndYTcgpGCYqinAE4W4MO2HdncAiCsswHWw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Eoj7pFI89b9KAGq9pIikQi4mu2Ztt4jnT1xPbcf7SwPjI2Bmhww-aotqkKXT8xzzm6EC5nXT6f6lP_bHyFLHGC7knqgRFUVJjuhqsWfftLNkWzttXhJgM7rn4zNqF92EAUGn3=w300-h225-p-k-no"
陳學楷,4,2025-08-19,9 個月前,"飲料整體是好喝的
只是都偏甜
甚至微糖喝起來有半糖的感覺
但裝飾很可愛 氣氛也很好","https://lh3.googleusercontent.com/grass-cs/ANxoTn125zZ2wkBXTT_EeYU0PFMxBMVipTTSfgSFGPhsmhmsiM6iYvKJHZuEdwr2D9xXZVDXx5jDcU6a5eM2z8thdoz9jhay6LmacO0_qxGhxsNYD3wuSbRCu_rKg1JXOEud89m2QRK1Czeepak=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3JixF-emUydi2kN31gtAdmGRPoj0fzDznlftnSIAXy5BfErVQiQQeayMPaqDOzWRGGDoy86QUhTS4CV24DjFaB-InQ8mCWHRx2GNnIzmtSSaEw2wiHmp0qBBgrqDe4lH8q51CBGMLlPaw_=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0mxwsCKBl6QrprNmmx6goZG3pD7aqQ2KMkhuA21KAyWvNYk_i4m88d_Xrs4HEXosIXFD65cbTOCwQCGQYIPdkOv9UTLohi7s8QbqYtjCJsP6Ai-P3PU6XZxU9_Z8jA_0HsDuZOCxZbvjbH=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2BOzfn2DCPedj7vi2HoKHaOI00kt2aiYhVRgfzuPVa4eVSVYSU6BBeg97rPOpArsNYwBc2aITZurH6-rQynTSoNW8Jb1Tn5wqj_7MhNe4BGQEv79BG3dhdjONvIzuWIT4UT5nHuLI8v1A=w300-h225-p-k-no"
Candy Ho,5,2025-11-19,6 個月前,跟著小孩喝不膩🫶🫶🫶服務人員態度親切👍👍👍飲料好喝🫰🫰🫰,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2hzLofXc_rqf_2GPJT_Slk8JjMsqP_4KOmBw5mlZ8UukOpWxWgdQ4nw7Q4OEHu47fFP51qZpBWOdq3fjyCq_mzewc5OLZE9i_CMcAzT6lcyHfdwDyVOWTMjzWLTCFY-YTRtN0U3CD_2J2r=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1e--1ukpUhzsG94XlDruqOTCJ_84VhYOVmvcfPEweo3dbS0o-CoyiDJozH8PQxLeKY30UI1WjQXgudl1yOWGNjxK3lruw7ZsBgwjwqrjrBmMDCIvT2EGcaEWxP9-uSwbdAGB5X-E6XlRpF=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2itszilp4PrLKTMbJUWBQoT0yoBY9P5Fs8EuMGnZX-kDY_7vrlB1moNoyY9hJj4WEhKCyVJXGMNaZOFmBpBezuaytNT7HYB14Oic1qNDNZhkkDExFGYBJg3e55Nh3ZWWzA6Wlx_NQC0-pz=w300-h225-p-k-no"
YING YING HO,3,2025-05-19,1 年前,"沒喝過，看主打Yogurt，買了杯喝，甜了，味道不如何？不知道如何形容，只能說廣告勝於飲料🤣

沒喝過，可以試一下💕","https://lh3.googleusercontent.com/grass-cs/ANxoTn1B2lhV3yX_yUJb31N8wcWScrhtmJd_XpP68Ub6B3nTtE22NlqruaotOVAkTNG3OSzBGElwg2Qd2wYsu-Hp3yqEedU3JA_AVpYet_Mj5z5pK2EqXuKNa8tu8S6Zj2bjeMNPO2vz=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0yx6yXlV6es--W-bJPipmU87uSXfEHlQw3ABZBBe6keg8kHKmRblXZvw-QZPmClyW1MUMWNJpUunW1g3ZS-_ySrBUqOZ52bFdeUssp8BgcKo-MEYTFnXbJYYECk0-6Ilq3-WSu7A=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3GkJB2j_wxbuIzi-1AAVgrOKhNY0XtWfu-2RIWeE5DQ5ZmpHCQNxUEERPlfMB4U9Aa_3cuA6KyoU_YxlXg12zhTPSXvMZEflwwry-9BQGSLSOouVLkDCIMC5F0BomHGJwLAlg=w300-h225-p-k-no"
