Username,Stars,Time,RawTime,Text,Images
Fan Yi,5,2026-02-19,3 個月前,"店員介紹很親切～
實際到快九點還有營業喔！
有需要可以提前電話聯絡看看",https://lh3.googleusercontent.com/grass-cs/ANxoTn1-FkNekK4eImvQyoKJlGX9ae5IHy3tV1ahNL-_aaODvuKuI-OsddUrdHHVIDTt4uIhKgyoi2NnrAGR4Fwxyr8ylEX6wS5mG6T4I8c8Qyi2xoKLK9nD-clT1HytUNVM0IA7Af4niDUgUtYC=w600-h450-p-k-no
Ash,5,2026-03-19,2 個月前,"前身也是連鎖飲料店
現在有買五杯送一杯原茶活動～",https://lh3.googleusercontent.com/grass-cs/ANxoTn0pOK_vcO_S1FbcfSF1NqhPg5m4mqZ0QtyhTdeCqNE1tkyv8lQZ89hB-LNU98qDd01qPAZUFK89oSdMF-aWVPXNeWpoD3U6zmhEqtnG5YiuvYbDs-aLIFUJQfI1TvePB7Xkn8ZkQoiGoQo=w600-h450-p-k-no
帥ㄚ盛,5,2026-02-19,上次編輯：3 個月前,店員親切 價格實惠 東西好吃,https://lh3.googleusercontent.com/grass-cs/ANxoTn0jW91FhJLXPMH95y59a3k2MMAsslOKLVg-SrNU3vsvHVDPUn5UzEDQjusoY8XNqzyEzIOdjKOdscZciODRf7WBUJ57DjikGJFmbS5UzmnX5wt3yo182dT3Y9Kgl8h37JQ3VM6igvkK3rE=w600-h450-p-k-no
Lin Winnie,5,2026-02-19,3 個月前,"愛杏仁的不要錯過
杏仁奶蓋超級搭
好喝一直喝
一口氣就喝光了😍😍😍 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2teaFwaHXqx799K8_Y4m4H5PdNALPrSY-qZawP6SOzAVntfXZx5Ia8z_DlGBa-m6P0tSqrO13ST_JN0Ll4CRTV4OqKwS6oqzrLrrV0IrTh9Nt4svoNRD1491rYCzgH5OhguBZ8nrd_6eHk=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn33oOSf6vbauSKMaA2iKokeHw4DI6wEENiKsSck1TixPcEyAr_kOaJnLYChL_UEDyB1JQOVKQIUz0H5Zpkr1xc79ldg8CF3DA72yZ43us_FpmXQsH6cO5kpP7_jzTWrFBko4CFYSXXyizA=w300-h450-p-k-no"
銅鑼燒扛面紙,5,2026-02-19,3 個月前,不要以為地址是巷內喔！茶沐可是道道地地正大路邊的店面 老闆對茶的比例要求 10幾年手搖飲經驗 讓每一杯都是滿滿的黃金比例👍👍 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn20jEqmMlZMZrZww9LrAjEnhlRUIGrLyJu80c1TNDKielCes_aV-wISeOFuMvty0mtuUROqfvJJ7EdLF49HpIj0u-lfBcceTjMF91JilMOcj7vB7mO6XwVAjGBWcxS1lkf1lwxTwR1ofFyz=w600-h450-p-k-no
心彤,5,2026-02-19,3 個月前,"店員人很親切 熱情
飲料很好喝！可以常來",
yuan chao,5,2026-03-19,2 個月前,點了多多綠茶，口感香醇，酸甜交織，讓人一喝就停不下來，另外同事點的甘蔗青，2位不約而同都說好喝，還有奶香紅茶，茶香奶味互相襯托，真是讓人回味無窮。,
肖佳妮,5,2026-01-19,4 個月前,環境乾淨衛生，店員態度親切，奶茶物美價廉，已入口袋名單,
龍之波動波加曼愛好者,5,2026-01-19,4 個月前,"新開幕沒多久來嚐鮮
服務態度很好～
有機會會再光顧",
Vivi,5,2026-02-19,3 個月前,服務親切，珍珠很Q喔！超級好喝！,
