Username,Stars,Time,Text,Images
Fan Yi,5,2 個月前,"店員介紹很親切～
實際到快九點還有營業喔！
有需要可以提前電話聯絡看看",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Id4qT_XeYLtCTl9e6mHv88lcmZgNVgpVgI5gqs1xSgb4hfUf3-C79hEFGd5a7aCb7izhZ-u7agq4it9yeF1qDA7IKcToi3ogaGPrMoUDWa83gSbZKO_8g3P_aUzqVqMj_z7CQNeMu0soG=w600-h450-p-k-no
Ash,5,2 個月前,"前身也是連鎖飲料店
現在有買五杯送一杯原茶活動～",https://lh3.googleusercontent.com/grass-cs/ANxoTn1xSGxOEIYL1zsOCGdQIffooIZouj75i6jkORg56UtlIXg0AxDfSZ8O-JcHIQxmiEdIp6OCQXBynGp-B8ONlfne87BhCzuKswig4wYJPask-R7jqbVDZQcQiWpfrrBBB1ZxTKlelbYGnBg=w600-h450-p-k-no
帥ㄚ盛,5,上次編輯：2 個月前,店員親切 價格實惠 東西好吃,https://lh3.googleusercontent.com/grass-cs/ANxoTn3kHSGWbmEBzhdOjdPZiyJvkKT5PBpG_JJlUfD4kuwzwkUWFCb4WkQytSnHUQl5RN2w75K25XJjvUZa3mikK8njsEzbjiT_Pr9QgOras2uFbNcHPBxvcTzZZ5BKSaMUDTgHs1_0LXzJGxY=w600-h450-p-k-no
Lin Winnie,5,3 個月前,"愛杏仁的不要錯過
杏仁奶蓋超級搭
好喝一直喝
一口氣就喝光了😍😍😍 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3zYALyNV9J-AejekIHdHOvnJrW6usFE7cqzqgv-VAGQ1nxI-nOm7dt6x18XAjBROSME66U_eT0z34irwb-BK4YSddxcGcPl-jEEjHGLfD9ZUH5Rf7mONkPPFwnzGdmtAqjkeWfKW2m9GOp=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2asVhfDzAvbiMvk4_rzmvYksM0a1DQEtpS3T_HplD3YWkqUUtDgX-1RtrKv4G5Nhi6JJmzqLo8p1Ecnt3l40CTJYd5WyTSiUV-2rTSCp0tK7Asj9o474OaySFMILEE1AKcZ7a3vG3svGY=w300-h450-p-k-no"
銅鑼燒扛面紙,5,3 個月前,不要以為地址是巷內喔！茶沐可是道道地地正大路邊的店面 老闆對茶的比例要求 10幾年手搖飲經驗 讓每一杯都是滿滿的黃金比例👍👍 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn07WYrNxrHABy-yB5zGl0I_JnTpkKiimXzBM-mtO9DuMRs-HpAE9SrDkKQ3cguiOP-y5O5O25qeJ0jBfUAjM8G6b4vxmgdb5H6hzxWv0bxMXauQq0tA5W4zk_fmiwO9ZEZv4BQok_2xtHT4=w600-h450-p-k-no
心彤,5,3 個月前,"店員人很親切 熱情
飲料很好喝！可以常來",
yuan chao,5,2 個月前,點了多多綠茶，口感香醇，酸甜交織，讓人一喝就停不下來，另外同事點的甘蔗青，2位不約而同都說好喝，還有奶香紅茶，茶香奶味互相襯托，真是讓人回味無窮。,
肖佳妮,5,3 個月前,環境乾淨衛生，店員態度親切，奶茶物美價廉，已入口袋名單,
龍之波動波加曼愛好者,5,3 個月前,"新開幕沒多久來嚐鮮
服務態度很好～
有機會會再光顧",
Vivi,5,3 個月前,服務親切，珍珠很Q喔！超級好喝！,
米香,1,2 個月前,爛店  外送都做不出來了還在接現場客人  有沒有用腦在經營？？？,
咩咩,5,4 個月前,點了溫奶香紅茶2分甜，好喝,
陳冠碩,5,3 個月前,裡面聞起來很香，喝過一次很好喝,
Adam Lee,5,3 個月前,"飲料好喝
也便宜",
王郁淇,5,2 個月前,店面非常乾淨整潔！,
白米riceee,5,3 個月前,店員待客親切！,
Daniel Huang,4,4 個月前,甘蔗檸檬好喝,
林芷伃,5,3 個月前,茶飲不錯～,
王廷恩,5,3 個月前,服務態度很好,
黎氏紅絨,5,3 個月前,我很喜歡,
王玉貞,5,4 天前,好喝。服務好,
