Username,Stars,Time,RawTime,Text,Images
YAO YAO,5,2025-11-19,6 個月前,"這家店主打熟成紅茶，茶香濃郁，口感圓潤，完全不輸給其他手搖飲料店。

我特別推薦他們的「熟成紅茶」和「胭脂紅茶」。熟成紅茶的茶香濃郁，帶有微妙的果香，口感圓潤，讓人一口接一口。胭脂紅茶則是加入了蜜桃果香調的紅茶，香氣撲鼻，甜而不膩，喝起來非常清爽。

店內的裝潢簡約時尚，空間雖不大，但乾淨舒適，適合與朋友小聚。服務人員態度親切，點餐過程順暢。

總體而言，可不可熟成紅茶台北公館店提供高品質的茶飲，無論是茶香、口感還是服務，都讓人滿意。如果你是茶飲愛好者，這家店絕對值得一試！",https://lh3.googleusercontent.com/grass-cs/ANxoTn3dTodPPk-38xTH0yopWa0-3Vw0JE4AcGxLXWWx2FeWQrmLKQwXefM29Ornf27GYp1-yMTG9mfKYi0oTW98d8OIYVsQuHQA5xLBwDkfHl2viMrke24jEGWotDX_nL7MASTqwzPUTRmoY37w=w600-h450-p-k-no
Tashina Cho,1,2025-08-19,9 個月前,買了兩杯，一杯微糖一杯無糖，喝起來都跟有一點點甜的水一樣，完全沒穀也沒冬瓜味，超難喝！別家分店就不會這樣，太扯,https://lh3.googleusercontent.com/grass-cs/ANxoTn3c3CNRvuJiO7u8znnw0lLog6qFd9PT1W-e4OfKSfprHFZSY_wVrPyWvTMk127_W7lYROBGwDzSe-e6aUTtHUZniIHXO8wUHaGPkYzkgUlw5rBfq3L38dHgnzJFtfNnOFkHjAqwNgwNmkE7=w600-h450-p-k-no
李崧帆,4,2025-09-19,8 個月前,"第一次喝可不可，好喜歡喝胭脂奶茶。居然有水蜜桃的味道~~~~

接待的店員蠻隨性的！也不曉得，該說好還是不好？

如果以後沒客人時，可以多介紹產品，會更棒

整體而言，下次還會想購買",https://lh3.googleusercontent.com/grass-cs/ANxoTn1uHo5UiA_NByO-eQTLJ76i1r-7bvdzhRTeLGC52itxBpOrr5VjlL_CfIAZRH-FpDrTrgQCp-buaq-OLZwJKKMTllzpJWf5jjV_6ovqqcLcR0RDnNm7U6CYjiIEQAtj6UkWDQNS2cV0hw=w600-h450-p-k-no
花花,1,2026-01-19,4 個月前,"下午5:20詢問店員貴店焙茶品項是否還有在販售？店員回應態度極差、指著櫃檯說：那邊不是就有寫售完了？
不好意思(^^;; 你所謂有寫是一張大大售完的紙貼蓋住底下的文宣，誰知道到底是哪個品項售完了？",
BH,2,2026-01-19,4 個月前,"女店員講話黏音含糊，聽不懂她在講啥，客氣問她說什麼，態度不耐煩，沒人有必要忍受這種情緒，簡單點個飲料情緒一堆。
說話一次講清楚也不會想問妳第二遍，影響別人一整天心情，建議這種性格改作幕後工作。",
Orli,1,2026-01-19,4 個月前,跨年夜買的熟成歐蕾，請問是加了店員的眼淚跟外面的雨水嗎 怎麼那麼稀🥲從沒喝過這樣的可不可，太難過了… …,
Daridiridara Du,5,2023-05-19,3 年前,"朋友從南部來玩，推薦他們喝看看
熟成冷露，喝了愛上
還是喜歡無糖去冰，本身帶有冬瓜甜就不覺得澀位，而且價位也不貴，超級符合我們小資族😂

再附近逛完，後來又回家再買第二杯😁
這次也多點一杯熟成歐蕾
兩杯口感不同，各有特色
有興趣的人真的可以買來喝喝看👍
聽朋友說，南部要買有些地遠還不見得有
還是都市幸福方便。","https://lh3.googleusercontent.com/grass-cs/ANxoTn1UgEUZ10lcYHaZoDnnu7lOl_Bj4JNthBWEMr4Q3rxunt-bcUlFal_ouDxsxMy0gwd2IBkqU2bAFWDTSbrhOyR7rP00kiG5xUqiwlOqd2Ika0BCVXw0vmmctpWZ8LuhDIOCiE2v=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZaOJrEoOKAF3g_j4ucaEmtvCDrh_VYW9g-V5ZfsQuGleR5E7hQ8hCPQvsUUR2NkeO7REoYBIuN50-Nkc5JJyePCB4mOPUdR1qUikattSumvFCBdGYNo0LLwyhXB3fY5T93cT8VQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn23I2WWLnSH7TyaeJizKEZdbkyxxqvtNPXDkWRlkFtRmtVk6p05S5EJnme2Np5Ooal_pewShyXipRpUFj-OP0oE3JrHDoDEv7_SdFS_xpX6g2uoqbqQ1jz2FfjY8lYXdw8m-Fo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn24KzR5HC28ejA8gFRE4gKUaC-XSdf52iKOcrOVB-R-CMgZXUAZhwUESwjy3ZMZywkxfo1d63WoG88JSHmwh9hTuXLzzyWubqWHE9hTQdVqm9XqcVPW8TqJCohp2YU3v08-vsTUTA=w300-h225-p-k-no"
CHUN MEI TSAI (jennifer),4,2024-05-19,2 年前,路過看到有主打的鳳梨波登茶就想喝喝看，是不錯喝，但喝到越下面，鳳梨的渣有點粗有點會摩擦舌頭。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2iK-M48K6m9XkDmTKSIteUSnX3MRIBMHHonaWQvBURLKQNss0ZnpyDMO7cRh5HTv4SScfB-5rhG-KjtNTm6pC9TEE7i2RQMz40l-sDcpIw8PaxknJ6zAH-Y0rI-2jvmVSN49eeNw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2HQzlrN04gfo0vEo_mNhrYzzjY1uYwyqfQSJuu_D5Z0FVPWrCDCHHa0B8XA4ZUOHOCXrZv6-a7cuRdftozmA9chDqJcJW-xwpKRa3_Qv8TJPAds1ttWXQF0IpMTFsxkUula4R2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn371tv2Ges3kbTcif9FM9dYaScyRXT2ubayWW9U_E0g7UW9P3DqOTVzQ_Zs9isf0OvsZP4pQrJs-3iZIc_79uRfR6LWdLw9lReeaibZzgycqYP3-zTIB-LmtyI0b0fMehjpAPWsbQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0pcsTyEqPaJzv6fld9MAyi1DBxrt7amXn18rYJwVga74gBVJ7z7a2xJipM5IOrlEPOOWq2gmXxRrAIZRtBLf_q9K7jJfkfF5JyRGd1q-wUXYYZaMrhXZ-cnwsxn19VxPQqKwc=w300-h225-p-k-no"
Rita Lee (阿釘),3,2025-12-19,5 個月前,買了2杯飲料感覺都很淡，水好像很多，目前喝起來最不ok的一家,
林楷淳,1,2026-01-19,4 個月前,"熟成紅茶還能做成胭脂紅茶
店員用手機是無所謂 站前台就要有前台的警覺心 叫了還一臉不耐煩 內場還一臉看戲 真的不太行",
