Username,Stars,Time,Text,Images
Dennis Chen,1,5 個月前,"千萬不要點甘蔗青茶他的甘蔗根本就沒味道換了兩杯還是一樣。還說要加一點糖會比較有味道，這根本就不是加糖的問題。

如果去冰會比較小杯，那就直接講。 …",
貓月Nekotsuki,5,11 個月前,多多綠超好喝～連續喝了12天的多多綠5月1日店休斷掉了 今天喝兩杯～❤️,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0dQwJkxvts4xAthQk57Myv5IRzMcmem1YAu_ErQsV6b5pp9D-u3b1mrIz_aK5njKIKEIActN0gJxgE8mUHGVpRS16oq3jImexcaly5pY75hyxoqB6jmCo2OS18KpgxJcmw7Lku6A=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1WDQSssAMnMWFlvQPwezKQDliyDk1SzVcatFmwEi12CGSptknQuWrGyx3QqRw_IZhmUtVsRwshKTaPi2BnkxSmVqGmimDLxHt6M2-PrFQGgrvli02rsm2zwhyXGv-qhCYVx3Q7Zg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1iwJgwCacHgNUCj44syPepAie_H7PssvLNjk1ONYV39pEgHPIck0BBC_UjTGAFquISxYW9RxNxoEKgp2kuVxGbPw3-2K2UR2KJTNQ4os-adHso8bG-Uer1sJtx5RILkJNKx3rMRQ=w300-h225-p-k-no"
散播美食の卡,5,1 年前,"隱藏版好喝💗👍🏻
多元支付讚讚～ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3Njn4nQnpGkBec9wYyw9Q61noTQTxnSHsdlyE6oUB2EQEljbDOVjY8HANX63bPccB1WYOytwmM4gvWjSx95GP0J1RBVhRtM9fKtz7-Nl0csP_goaSQzc13QBjMgobfPuR88LAs=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0NvJKuzOFJmkA-a3Y9_XARVxm1u8UmN2aovSc7IMyGvpc603Hi6n5RYEkuEnJyfuZBEZ0F8UehEwgwTWKSEQng8xXF7GGqY-MHsyRV6t6b9bkEgUk2Yjf3rceGLpA0MS7lIGvW=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rO5yvjJtJvM5q5eGCKO_Uc9X63K7_59HYkJ8GkZs9vJmEzduqHrYuL9CT1VZwdhxDXrmpasJfOrWy-P7-VCTxLPc4JuGnYccuQ1dyge-Gy24t12DlBJF9FtAsPd4hci9VnsaqIQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1aIf1xf9j_b1gORLCmdhw_J_KAJuyJP0nMq84UzYpXJGmUrn9COx6m86xVy0lf2NP_k-QPbkCWbDLR-9cEYqnREg9liA2-jYS2c1uFvXBVLicICcS3a0mEUo870KkijJYbang5=w300-h225-p-k-no"
凱蒂貓,1,3 年前,"整間店只有一個工讀生，
讓大家等就算了😡
還給我隨便做？ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1u7icZlW8FMyfig_s2p8uSLBrHUoSbGkE1rDFBuluQkiiJcLWOFpWWLspy3_fIOUEX7FkYhmaudn5hpbjIPziqWpJn1PGn5dHQ3KR7UmmYO5A9zmu_DuYtyO7bLL-NRw68NMQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3IYjEtt2-kW3C2g4LoFO0cb5qPsO5bx2Hmd5UVCmB_85TyW8W6T4-hNJEdXel_zyqRXkob-AVBdbSDZCzxRI96m40daSn1WhSUf_atkw4Up8_LZUTVC1moRGoD-zp76TbFRMFG6w=w300-h450-p-k-no"
Wade Li,1,4 年前,快喝完才發現裡面有蟲跑進去⋯雖然我自己也沒注意到但希望之後能改善,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1LHECRALWbMXM502nW4gHYw-hqUkYAk2HMLz5xhW9AY-rdIsOf674RG947qDlRU8vU10NSZs0caVkzlNcxFyTqy3GezMYSc3VYg31-YWBPDTUllYQuPabbIxVOQY7Cew4mRXaj=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0V5j3sZpG-f-w91CiqPwYLoyCLOgQQiDzbWwnFknDvU13ayAFOVK44XZBlKgQbIMDmvH_mWzbCcvYWH-juYefYfMuPE0RvVCNLs6tOsBuOS5NIGEmE8nNdqrl6WP8FfDe2FPeFrQ=w300-h450-p-k-no"
C S,1,7 個月前,名至實歸的爛，尤其是基本應有的服務態度跟專業都不行，真的爛，大家別去，大雷！！,
羅宏威,1,8 個月前,"已經十點多快打烊了沒什麼客人
柳橙綠說無糖少冰還能做錯
看到外送員已經來了 也還沒做完外送單
嗯…好👌 …",
德進黃,5,7 個月前,2025 菜單，有新價格❤️❤️,https://lh3.googleusercontent.com/grass-cs/ANxoTn06TmLN6lun7v_MLLZJeHehLML2CqHhbAcfJTg50NrzeNfgqb1fOgvh0xADLe8iZVCjN70F9ujnLoaAcb8wfVXvb7AyluPQ055OTQpaxzFOaYEjbBRBzMoYrApt1sCySl11lTiG_qNcTHrS=w600-h450-p-k-no
徐國富,1,1 年前,"一開始收銀人員收費金額錯誤，要我再補差價，補價之後喝了飲料發現1/3杯的冰塊，馬上回去跟她反應，「我們已經在開始就說明只要幾塊冰，微糖，為何這麼多冰？」
工作態度不專心，收費錯誤，問了也沒有給正確的內容物
為何工作領薪水還草草了事！",
黃姵樺,1,1 年前,蜂蜜普洱有個怪味…在很多不同地方的清心買過蜂蜜普洱，第一次在這家買但也是第一次喝到這個味道，有點噁,
