Username,Stars,Time,RawTime,Text,Images
Dennis Chen,1,2025-12-19,5 個月前,"千萬不要點甘蔗青茶他的甘蔗根本就沒味道換了兩杯還是一樣。還說要加一點糖會比較有味道，這根本就不是加糖的問題。

如果去冰會比較小杯，那就直接講。

無論如何用聞的用喝的都沒有甘蔗的氣息，糟透！",
貓月Nekotsuki,5,2025-05-19,1 年前,多多綠超好喝～連續喝了12天的多多綠5月1日店休斷掉了 今天喝兩杯～❤️,"https://lh3.googleusercontent.com/grass-cs/ANxoTn39Aj8qqNI6ullvKmwmX7e9olEz4xBAi7uGGHmcLfHD8_AjhyC-7VnAIP9JDM2OOONSAX1XfIyCjcy5DTDhYZc0xY7dZy4ameKDvL0B89OEyVqqmCXkU5Ifpw48OZACHc1EW9MC0g=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn09AYcRpPFE8sEIl_bemSrKmtR76CIaRSfxKqMqQr97KxHdE6ZLLuQsnc-WPzvev2jCpzxtDwZ4pyQUjen6afpsnXgtvxItU2dtEJtEkmI16R59OR2luDYRdaPH8WvRd4bMbQ5_jg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2e8JuSXbXqktF6wwl4bOXpfK8A05rit5sMdacjPPJqCh319B18NGM23XLaKZMGdteuUTHoKWsuXkSJHPsnzDtZGT5BIOTDc7GSRLDNtE-qbXRFT7-7aXfq0C7OVLVD1DMC_xJxYw=w300-h225-p-k-no"
散播美食の卡,5,2025-05-19,1 年前,"隱藏版好喝💗👍🏻
多元支付讚讚～","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Knh6AUFMcKfnIXnmyzK80My0HX74Uhix9JkzaMrT_nWBIHAykqWtjIQbDQEjjrJX1pGKWZ_XThpOE3AiskfFXtJBpLD91YASw1rHubANTPlcp7vxfRbAslosobOoAXR1xXxaF=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2hoi7QXjeR7qmuahKZGNk4vjJ1AufQ8UIN-cDIwrACwwUs4jCMUsFK-2pegae4SS3jIsc6WHOOOTetqOmXUWrMl_tZSN86RaUPx-sle-ORkJPLXkIGy4BasTn6VWEdubp0grUs=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3cD2vOjkA4fIzggvsbS-usAZK5O6KYQDo5kCjjpvILuAvBZIsXxokL1qTKzVj9DT3b8ikNQSOmnEsDUfjHrjyaud4zW_UURhvYovEJNL_dEcSWs7Ft7pjxBbPkTWxegz5RNYmYfw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2kRuruHNhwheeZIb33bX6WasttjmKMeAZfKFgMjBt__jKzn9A4P8tJ7SLhApuzlAEjPis3FxvwMaqbTrQDtdyXW-i1tcn4Y0CCTphk5cgxK4xWz0Liit3vdzc3m1xNZxQmMF_v=w300-h225-p-k-no"
凱蒂貓,1,2023-05-19,3 年前,"整間店只有一個工讀生，
讓大家等就算了😡
還給我隨便做？
喝一杯珍珠綠茶，給我卡5、6次珍珠🤬
花錢找罪受！不再關顧！","https://lh3.googleusercontent.com/grass-cs/ANxoTn2h_RcFQ_CJVaSr1_4-CLX_MscNxUQTnDU4E-dT2BhYhXygvurG3WzYurzpNZk2bDHShtxwks4F21aSkCXlwVZw9QH3rNF60lwcfrWSyZ-Ln1ryfmA9sPEpaWT4QDNJ9CPwFJ4=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2M2FjnWUtWU6QF70KQRukIbiMz7UgFL2mc9uoxzIwEjTI8jc4bxpBQOl0fdZyd6nRMAJIhwdK6ydsoLKoD1C2FDYl2lr-YUtgBIOCLd-KhyTe53odjswMk1cex8g-vM8BwOBHt8A=w300-h450-p-k-no"
Wade Li,1,2022-05-19,4 年前,快喝完才發現裡面有蟲跑進去⋯雖然我自己也沒注意到但希望之後能改善,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1nR1kjzGzrVF4U5KugeMgV_Pyk0nxcHgcDXKlAnrYVFoIO7Go6EqCc34zfd3zHSAKmURPpNV6fw3QPrPQC64ivA4KkHPQWmnO23N1c9twAfPRufYqnagGjj2P6aEgGdYEnpSWY=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1OL2NCzsRopZDFgLrM8SEGksqPzg6IVgtjq2VuC1Z-9zsJUhKIHnzleS6SoTrCZzbs_kXg4AYKDiP3f2RKqaIOq0sr7J3xd4uKshV7u6gulk260GipYl-8X6C6phT9m2cwR_Q1Gg=w300-h450-p-k-no"
C S,1,2025-10-19,7 個月前,名至實歸的爛，尤其是基本應有的服務態度跟專業都不行，真的爛，大家別去，大雷！！,
羅宏威,1,2025-08-19,9 個月前,"已經十點多快打烊了沒什麼客人
柳橙綠說無糖少冰還能做錯
看到外送員已經來了 也還沒做完外送單
嗯…好👌 …",
德進黃,5,2025-10-19,7 個月前,2025 菜單，有新價格❤️❤️,https://lh3.googleusercontent.com/grass-cs/ANxoTn1dmUa_twnPO_QxBX712-H8xI0-sI6Q-9wG3_NS9qHQSxvmG2N8SGX8DnTpOdWox1dgfi7IKYulGm5Wbo4pnJLXRIr9-BCl-2xDgYKMgy9VCvQf3OhFtLft2sPgY_LLtvo_bjRBCFxyBDMB=w600-h450-p-k-no
徐國富,1,2025-05-19,1 年前,"一開始收銀人員收費金額錯誤，要我再補差價，補價之後喝了飲料發現1/3杯的冰塊，馬上回去跟她反應，「我們已經在開始就說明只要幾塊冰，微糖，為何這麼多冰？」
工作態度不專心，收費錯誤，問了也沒有給正確的內容物
為何工作領薪水還草草了事！",
黃姵樺,1,2025-05-19,1 年前,蜂蜜普洱有個怪味…在很多不同地方的清心買過蜂蜜普洱，第一次在這家買但也是第一次喝到這個味道，有點噁,
