Username,Stars,Time,Text,Images
于訏,4,2 個月前,"115年3月7日(六)
同事請喝飲料，芋頭鮮奶90元？
芋頭是顆粒狀口感偏硬，倒入瓶內查看芋頭容量約100cc，鮮奶容量約500cc，喝完有飽足感，就是價錢有一點小貴吧！","https://lh3.googleusercontent.com/grass-cs/ANxoTn11QM_zGX5pqHhcYI_TN5ffZzwjaQUJqM1-UqwdAe6AZ4VlUP-6XK1t3vjpVRzNwmrdGjWP3tRWSm-ZHKWyXk7EwnGk31-1X8Dl3vSryNWnZgJ8JWQtkjj_SY_kFp4nhXldnYygnH_pBD0=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1o9AaTtrXEDIhgmyAGRhc3qrPtatsaSStgFtCl2oa6gOwd36q53uN6-LVmmXOmSvbUJbYMcCw-44RWp6tdjpP_1KiwUdEsoBbYeDegVzO-rtiK3FFpWu9Fz2LomB8fHoBFO_RrJCRvB_NC=w300-h450-p-k-no"
中山里內,5,1 年前,剛剛點了7杯，剛好看到7/17-7/30買兩杯拿鐵送麥茶的活動，跟店員詢問並希望改單，那位「一加女店員」都沒有不悅，很有耐心的幫我刷推再重新點餐，非常感謝。因為常常這時候已經被白眼了，謝謝如此耐心對待🙏 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2b1gM-uP1tj-GxnfAOVxUn_n71o7mp0DXLPYabQxQqA9eYqoswplfZTGVo6Smo6p049pSdzVTFp5hrv_r6meBVubJsWVyB26pcFiqQm3IcKAir1nWBxnCoE5f_9rDqFKnBRq5w4g=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0-Jjpgh0z10vjRGd5OfPhXUw4qBuhyrfP_0qbRuIOE3-k-MQ76zxbs9GNyablaOeBf3RBy5UPa2UxEaWUj2Qm_g1l171im3n9JBIpN_GTo1J-ZhroVQt0r9ire_KkbvEwBfo0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1YTR0ibRcTxFTlCni4Mqz0Zs1M49SKad_jnhwbkWzjoMY53YWCNTqPUPztB7uwUvk6PuYLvIw5dkfXSh_NH40snODeYKR3G-Txwge_VQGXqAaG2XX4vle52YDmkzx5uXHnXZj0=w300-h225-p-k-no"
Lèvr【第10級在地嚮導】,5,1 年前,平日晚上來買麥茶拿鐵，兩位男店員服務滿分，笑容滿面親切有禮，是遇過數一數二服務好的迷客夏👍👍 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3njp7pHEbSzyxrxInRX5qwqzzmotoqLOwYMZbwxTSlNKpRj_1YKMQf3_KKFNV07egJDh2uMO1_6z5U1NvlG9oSwBi-OcDJZcRYyFTev3XPb92h5EVmZI6t2vk6vNodH3kFK1PG=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2GCw26VaEmS6k5kDcqx_IpeJWjuOEQQcxgC7tA9ukjL1k1-FpB0MH-mgXfblYMV6uXCQO_NMdS2uXskfxR_dcrfRSqIUW2FvyS3VuUwxZP3mhCSshCIyCQqmNt8cicdP18xLge=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn03FroahUd69Pl2SLzTYaIqcgEi1zneksA_PTXJFCfUaEYLUxd_LGYo7ZeqB28nXFZ3F5GqdWETlgCSctS4NLGu6VgAXUa1ecDP5dcOF7yHjAHL65w4cyhIDFumDqSIiHrD8nE5mQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0bWHzfzLKYVrqOyvi3h__QsHXeTbx-EUhCb1gGoKrGNUn_hFgKn8i91zFo1FPjFsW8Z7AUK1QGYGcxSmtLhrjwauL2_o74sMEH8_nYKRMjKkn8QReeCEU1B5WptSW7G5KdXac=w300-h225-p-k-no"
राखौँ कि तिमील,1,9 個月前,這家是少數喝過難喝的迷客夏，應該是看誰調的飲料吧，今天點了這杯75$的甘蔗青茶，喝起來就跟30$的青茶差不多，甘蔗菜市場一瓶100就有700毫升的原汁了，為什麼要偷料？,https://lh3.googleusercontent.com/grass-cs/ANxoTn3FYcHuZUZmvKiV92dZvNQx7bgheyd1UmxlryEf2Fy5jICzfOnV_cQbNf1-Ih7Zcjb3InKfDPuiqrO2YyKuYI4owp1kmGXk8i_frA9CZ4IJntdXMQKRfCkkMy6VbJgXEBlcCFyIOT5VhIz4=w600-h450-p-k-no
Dynαtós,1,1 年前,下班想說喝飲料，附近也沒什麼店家才選擇米客夏，點了紅茶拿鐵加焦糖布蕾，結果回家喝一半才發現是點了杯地雷唉！！！😫🤢到底🥲🥲很難不去想飲料還會有其他奇奇怪怪的東西嗎 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2odkWIPqYl2XSAb8wlv1nXICHLY2HoS4h9ivjvPJs8ftEczwX105AmXvXmvKD3e82cIApuDeuoCbH1Ie6E0qZx6L__x_Pt45UYajrttS_Zej6Piy9XLL_6d_-KaDUgiErLmzY=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1MV2M-UuDYoAzwaZZ6zT2pwjJgftSIjPJEYpYTqpf0D8utl1duxW-hyTT6G-oiaCluytbVONldTscznvLDR9qwCo_xnPF-mhaJ2XeIC4SbHX6Zh3a9bY7Je4dLmMzCbDYpZOHFrQ=w300-h450-p-k-no"
張詠翔,1,3 個月前,Meng 先生態度差的不得了，欠你錢還是怎樣，自己戴口罩講話講不清楚再大聲什麼？？？,
白少,1,4 個月前,男店員對女店員聊天聊的很開心，對客人點個飲料態度有夠不耐煩，帶給顧客不好的感受,
劉秉衡,1,8 個月前,"在隔壁上班，每天都來這買。 第一次遇到名牌寫meng的店員點餐，點餐時很有禮貌的跟他說了我需要的飲品，並且我要使用環保杯
他對我說一句話我沒聽到，我回他不好意思。
結果他突然朝著我用極度不耐煩而且很大聲的方式吼說蓋子麻煩，我嚇了一跳。然後遞給我取號單很冷的說了句「旁邊」 …",
W,1,10 個月前,"要不是喝過
差點以為這原本就這麼難喝
這是什麼創意料理還是稀釋80%的飲料嗎？ …",https://lh3.googleusercontent.com/grass-cs/ANxoTn2Q1ireM6BveNzg7JQKDKEeEzNduxz9ZwDA_9xZi3x2a90fOSwBS_pTxnLT3imsZsgWs0_DO-X4QUWxtB0UTD0E2sTR9PrcM9hC_6Y-elrEEglHMnqduqsNum8VHkaPEy13RyMQcw=w600-h450-p-k-no
球兒,1,8 個月前,看到櫃檯人員處理環保杯很粗糙，直接讓環保杯裡面的吸管放在桌上，接觸不乾淨的桌面 ，客人跟他說不要這樣放，就直接還給客人，也沒有擦一下....，這家的環境衛生需要加強...,
