Username,Stars,Time,Text,Images
chu,5,3 個月前,"通化街上新開的拉麵店
還有咖喱飯跟甜點
湯頭不死鹹、內用可以續麵 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2biTn-8wSrLfShi8j8Efl4Xr58g5tb6VA3JZh2yVwPd9Ri93AFBU6jTjecReroR-j8zAz8grhSW5ueOoUayxeZCZaVmtV0w3Gdz1uNy9w9t9T-FA0RoitX1MOqzqY4ipwt6QRm6RAHhwaI=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn36gC9j63LyTw7gZxcnzggtrGckVBf2gEBLFfGWeHgwWzeGFS1AjFe3t7oQqJGrer53F6JCajnveFZ2squSbskalaVNKG8oYObEQFfXOl5_ux5WJCsMEWwsE5U92FVvILIU59TTypZmeWlK=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3hAZSF8yNT5dErasitzNkTk1_EUvJOnocwX4BrYTS-jxV0R3UzF_jN2shP3I7bEZtVGfUEoeWdM3WkKqkB2ux3ZP8KtWhiwiLorwNTWbx6oGSSX_KehI6DWhMvQype_l2kSsfVBBnALMqa=w300-h225-p-k-no"
個人感覺,5,上次編輯：3 個月前,"餐點：
．這個價位有這水準還滿不錯
．可免費加一球麵 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn00dEs_yhkcDrt2eyDsWdjAIr9vRH0uNUCT7-A5v8ajOAi6xBm7kFemXEZ7RSJPgGY6Q8cBiJLt8_yCoIKY1Z_HYQaBUNvMOZgL181yEvucskvQW9hv8d6czMncHnc5sZR_TyAdCZFSTBFs=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0lb4Jwm7-UR6sJONp9V7q-ubHWFLYBDmPyWUS1ghLuamnUhIFv0YNxmtW-bV2vkzf8czry_wAeLQ38hGh7u8TAeKNlwDMSx0RhT0Hs3vzQGZjqLQ2Z6qgpc78QhYq6SXNzQZ7xtmGP4Yso=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1DH0bDGlwxT33yTyB3iGt0oTz88596IDmKJjTpBHYYdiZ68K7Dm5xbaCotuY_OWJcOKSjJlN8905fcgVeNUk24hdJJ-hH_OmSQuEd974Os2MiuSpqvDyyA-_uiq_m3bv45NxCLOgDVCUA=w300-h225-p-k-no"
Maggie Cheng,5,2 個月前,舒肥雞肉軟嫩好吃😋麵軟硬適中👍🏻雞白湯頭濃郁好喝、地獄則ok …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0sokC9tweE8-XsUbHHdiKQc9QOYl7k8cRf_QcznFTXOHbjYySHDjKt19lS9sFq_JsMZf32Sgb2vDuC2FyfZCtf8zEY8n9A96CKg0ehDUXqgx2RGGqrkqYXsOXRMpQ0dwjKQLC1PaJBIDA=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn08VJlGvVxSU4ne41QSRza3Mnw0ZI7mPcBgOjzBD0NDAaylLHlrqOU1skgERki-WiYZqM16XUsit8Lt_3R90AIyfp3ecpcc4_qL4qV49qNg39Ppqfr_I9PQWSNExV_Cm2USp2ijrKCBOuo7=w300-h450-p-k-no"
Lisa,5,3 個月前,"好吃的豬排咖喱飯，加50元就多一顆溏心蛋並可以甜點（豆花/仙草）無限續，推推～～
服務態度也很好～！","https://lh3.googleusercontent.com/grass-cs/ANxoTn2HJ1fhKbl46xa_9LWu1OMjjDXK7WBP6zlcrONNzWKjGDdzltVhEQWDiBElmmxSt97n1wsTnCoSqo8tB6pgjLYBdn4D_NdHbI2wrqKw08y_syr6bDnVA3ApvdgDOW8KgI9RMH9rdAshlwFB=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3TcMbtqWvITJrDJc_RM0YS0wNsWDI7MDwLOla15TLUorHhGI_Q9zBT43Z-epIe5qe4k-nb7khYAl9hPYyrKWhopZ_10ywFcJ8Jkz9RMI_Dnizcyg6GDgXQCFLN3PR8kZclNjBgxGVgve3N=w300-h450-p-k-no"
go2eat__,4,3 個月前,"🚇 信義安和站｜新店報報｜臨江街通化夜市美食

好呷拉麵 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2bM2Ib40TPIUxQVOJ1rZZKPohNU3NDC2MYXXvNCpKyBQ-sy7fnS6G6MpbWA6Gp5enmivQgfOfg7yccgM1RDO1ZPhOE1f49-8W38bUty9ERLSdyjSbNaMPV6GpfVTGWXl5GZatIP_3eXmrR=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2aojMl4unTZRIyJFgZahJGBwEoeX76CV4PVRVXLj_q54KSXBwTQ0YJfWe77jhElfPgaB5EyEwFeuM22d6B80BSiXQ4lqLOYVG_xw8euD05N4gwy70Gb6lBQ6qhZZ7VoHcs-n2kAnH0PjA5=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1881kpzlOnznXPQOm9zPYZ1lf2XumyP3bRshE1v9j2ZrTyOrmnBAQ99f_R_9GYMaEpZCyjsA9V3JAsMhFLpPVYbbANqeKn86OeDwqrzrqSrQ0r9w0yVQ6q_x7ryjtMbmkC9Yvig0amRcQV=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1yTzzaFU0M5ttFdH5i0-o6gK7ZgNpyv-8ygeEXcAPhqaGAyBzi3byp7OaOdxA6nP8IRrg5jyrvrY67sn00PACtQwRPziU9fnn7-VMs0oRtC6HFyIofJSwTERhUz7LWz7khvVht957IZSs-=w300-h225-p-k-no"
Henry Lin,5,3 個月前,新開幕的店，環境乾淨、品項多樣、自助點餐機也很方便！點的舒肥雞雞白豚骨拉麵湯頭相當濃郁，還有一整顆溏心蛋，好吃！,https://lh3.googleusercontent.com/grass-cs/ANxoTn34sM-ilhfeGXSpIWYommYMrPHGKkOV9QbZxZ9qFhD246CPq47aOijzRUMDqn_0xJVW1oQURqaMjXY_vG56yfLHcD1LFUGzlQkF1jLP1Le54BnjVZ8Vx8KP1qvJy3BkiO_XmR7JWTynqdE7=w600-h450-p-k-no
Vicky Su,5,3 個月前,"趁開幕活動來吃吃看
結果比想像中好吃好多
地獄豚骨拉麵-軟硬、鹹度都正中我下懷 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0k9RatURh0wXzIde96tqe6GDM5ObK3H1nhG17GIrzVEQNV5qI-6N_KNRD3lbY5LGq8xNUmIRGyqRfElQTfPobr5oqpQUwA9SlghA_JkwwsR6HFVf_s4S3Oa4nykg8iSDkEkx0rGHzpF1Gm=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Vq_nglMkDZz1iuU5uX3TgXJHEydx_szBNBfSGnr0H8TXzVs-JP8WPtcfCuDJvd2Kck7lZIHHwFXr9l2JJe5y4vBoDC4QFGuc7J1wWfhW3Xx1ZotEG7YXxiaBvBkYsZ6jHP029L9gq8g_h=w300-h450-p-k-no"
an Y,5,3 個月前,老板人很好 店內員工服務態度也很好 整體食物好吃 甜點方面也很🙆🏻‍♂️ 等待時間也不會很久 …,https://lh3.googleusercontent.com/grass-cs/ANxoTn11Gaaiba-1UQjWpcP_IJV4Bd5FDN2zyWK03ithV56d6oxYX6L3jIJfKTq7OkWSjj4JHncHCnkd2vJ-02WdJ-2ei_b8ECljrdgMtqqqpYnAML37msJJeAPKJIznHe56c1oFNZ04SGikZ228=w600-h450-p-k-no
Leo Chang,5,3 個月前,拉麵可續麵，加$30仙草豆花甜品吃到飽~,"https://lh3.googleusercontent.com/grass-cs/ANxoTn085sSTPi3HWXeOqqE_CHhLgl3v0eDeM4cDbQiox7OOkcFzqsxvk7_rhD5iOT1ZmsSH7CYQ5ss220pKEkDhfB9-XH0mxNJ7k8w1eIzmIohHnFBEMfm1Oou8qvwGMwz3qFZ5QGB74Mmc7MU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2IkX14WCmZcU8HvNW3NWWV39NreYbRSlCNaqOgr_-tc6HCZXTwjC2kDvGXZK9RNwkoeFVVMClLmSZj5oDvCWTX9D9bwQQcCTcJADFutZun2MZpZ3n8BO7Z3RT9Y8t0KE0wHpVj2sdoc4W0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn28uDzHYUfRwnNuJkgVxcJteLjGd0hLmVeYwqjIC62n3TD6kNTzZNcuBYbrQf8YVvI0Ob-MX_fmyYISBWk2_T44zXspUtUmMCi9uru8AUslH3vY9hN-gh_ZRrNJ2VZoZTlhJqOwLxnkDCrc=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0f5UV88bSeL7a6-39gwU4F5_cpiC84aQCcdCtctjrRDIRQ1qrhog3Lv7A-_YeL1sVmR5V0_USkfQdJ8CfpatvLfCi412wlcTI8rimptmhmcTXqIgPyC0asU0ZoG89CVsqB7GWGOu7SQxI=w300-h225-p-k-no"
林佳誼,5,3 個月前,"點松露叉燒拉麵（不要筍乾）
整體好吃，符合對於平價拉麵的期待
加30元甜點吧吃到飽，有豆花跟仙草 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn3HyGbOFmYncc8cNNaySiRluVZjgHr5-9JqLQ9Pxnx-kJMLYBqt3bkiy7W0fjLasZclhH3r2TPkibK4fbAGP48DQithq3qMErfYFRSzuUWXP8y7RcBjK3xXSXgONA-F2AYNYwtPBkeY5Kj_=w600-h450-p-k-no
