Username,Stars,Time,RawTime,Text,Images
Hsuan,5,2026-02-19,3 個月前,"通化街上新開的拉麵店
還有咖喱飯跟甜點
湯頭不死鹹、內用可以續麵
環境舒服
服務親切
可以來試試看👍🏾","https://lh3.googleusercontent.com/grass-cs/ANxoTn2zjm_In-dm3Eynr64kmOl1bVKutn387VwrEmLatQcdZnkhwPvHjWQ-atLR5GdulMGxZ_H0zhgSr7kqebUEPvyroZ9ThGWy8PQL-Bz18hWTY-4UQnPFf1OV887BL4f55fOLxSQujCj5CHh0=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3owEvSf-dCITcVMqh3e5xVogBJ8FY2gx3GeIUY10_-e7leP_Rk-x1Y527niGCL4oyZx82athyY6cHm_yLrL5DA4WBfSIelFAmVOpizIIcmvWTEC_UqZ7KORyjcqXCauBnjOyNvITp0-T3G=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0zAFqrQau4tSSNXOpeOnN3NR2nU52YmPUfjgSLSlfRA6SgRiv1yMQOR6QDXhfE1iGWNB3aBBAbsM8_bZonxPrs1Hf_FhHQndvyDRoIMKaJjc5bAKVBIVDAuh303YibdZwzrbur27yXkIft=w300-h225-p-k-no"
個人感覺,5,2026-02-19,上次編輯：3 個月前,"餐點：
．這個價位有這水準還滿不錯
．可免費加一球麵
．蛋竟然是整顆的耶
．豆花出乎意料之外的好吃
服務：
．店員態度很好
．會協助出來點餐及介紹

店員很可愛，介紹到某項餐點時說：就普通（自己這樣講真的好嗎）","https://lh3.googleusercontent.com/grass-cs/ANxoTn3mpS7dJNuWu29WW0w0Oy6_co4Bq55-1qv76AcOo-SUjas4k2PNN5iRm6LX96OcZOPySAlMinjvOWkWcvMsInP2I5seIvjhrCp5KvF-_ccVRblaxmiA5isI8KtDWT6bV208Dy5b7NUTBLdM=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2--1gtk20ae1e0vocs0CrAu9MJVTBC5E85LeuSLwtItn6wqVsW6y5T-MjwA260Cf8iLHQBIDFL1Cu3dGVsFQ9DG0w9EBEaf9vqeUiwcbu-S9uIJjrogkUOdB-kG5l8wW9LiiUipzTky2Jd=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2QvQ3_dyzfPCedQvjDFM7BDbYTdhXWrp4vhYQ6oLsxaOvLvYswCf2B-89zqnt3M53yZ7B_imS7agrBl_jVJMMQPwMmPDY5Lz7euFlh3wsTDfMDcyn677iaU5BqyxIa-eGAJNYLWH1LMHc=w300-h225-p-k-no"
Maggie Cheng,5,2026-03-19,2 個月前,舒肥雞肉軟嫩好吃😋麵軟硬適中👍🏻雞白湯頭濃郁好喝、地獄則ok,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2OjUHJjOj9UFDWzifJB_dKQNgEZmuIenIja7VDlDnY_KmJrdX6HcUg6bokW_-aR2XNrlT4qWSou6d6QEEq0rcaU_7inxlaZonDtyahbZU7TRvVCY3L8zYcb_CqJqbn5GqUDLrQMTUWVR8=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3TOXlxhzdlva9zWcgBWuDaDIosHepQnU_pGxAjH-K969GphOnhb4JdJ2xXWog3bHGKLeQjg_0XnoK_qiUf_AdtQHAQktUlDw1yMlWupqlZEXSHlADcITm1ZM_maRl-brFWofWToi55l8Ov=w300-h450-p-k-no"
Lisa,5,2026-02-19,3 個月前,"好吃的豬排咖喱飯，加50元就多一顆溏心蛋並可以甜點（豆花/仙草）無限續，推推～～
服務態度也很好～！","https://lh3.googleusercontent.com/grass-cs/ANxoTn17K28ny7fjYIMkDD4CU5YA5MaOQ-0hiokVirVVPekT_790qGmgeTwcEiYWsLO7pWbfpRR4JiaPmZ3049GCMkJBH344WWcvXIksA5aINO_apeYs-M6HhSlqpQAHSAjSJsx0i-yM9y4srXzW=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0mxxND2ueZPmbVRmyY6RWdMtgq-kBNJsVLeGjQYy3sCYKkiNrIkAQxgnyRDe59hsWrCJo6RfQwPXGw--ejn1L7rW0bQ1YcQVz56e5zeOmqOn-pQw8TMSSIGtuTVt903bu6D5MkJ7H1Sxol=w300-h450-p-k-no"
go2eat__,4,2026-02-19,3 個月前,"🚇 信義安和站｜新店報報｜臨江街通化夜市美食

好呷拉麵

▪️ 拉麵有筍乾，整顆溏心蛋和兩塊叉燒，以 CP 值來說算高，然味道較偏向家常
▪️ 鮮蝦水餃有完整蝦仁，咬下去會噴汁
▪️ 豆花吧台可無限續，有仙草、豆花和紅茶凍可自由搭配
▪️ 無服務費，內用Google打卡送豆花、Meta打卡可免費續麵

💰 價格底加：雞白湯豚骨拉麵（$165）、鮮蝦水餃（$39）
🏠 店家資訊：臺北市大安區通化街97號
🏠 分店資訊：台北市大安區師大路49巷12-1號（大安師大店）
🏠 分店資訊：台北市中正區汀州路三段124號（公館店）
🏠 分店資訊：新北市板橋區三民路二段203-3號（板橋店）
🕖 營業時間：平日11:30-14:00、17:30-22:30，週末11:30-22:30
💻 Google評論：4.9星/58篇","https://lh3.googleusercontent.com/grass-cs/ANxoTn3jTbhPoounD4dGbMj06YYM9rR6g2V2HwLjxzVVt1s1o4O1Qr-DhvG-vgXbUs5-UdRGJnP12LEdCoJF5oQ22sqFX-XDPjXEc66qfyq8lIinlH3tlxiIFZEu_em1STFDVtdpahO8jZBd0Uso=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0JybmpmhKmQYh6-nPKlLXVLWcdsjXlZaVkvQpPGg3tB-GnNdHqKvaF6Hd0KM1GLBWbZs90-aO0e6FeixCyNmJFkeBMHCzaN7o5HkGTmGQop7h0TDTzcbEpbWcTc6QnrO0ggRlylUwBTOSV=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3fchLrbIB8LZTwU3g2Vy4omtv_jjK1qzJM6TPzl3d6rmEQzwGLcIWnVNbu0v5JaBP6FS45vxtkaml6sqYf1U3VuFWvIKnuz7nsKuxENzez7ZWrA0083zz33ZFU0zDeuAwZfx1qtfit8BqD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ToBC42q4KBOp1wWtcN6e8OFF2sAlDLY8SgKu4UR6WzV9SkV6t9hfxFUxJP81rWyppWZAtwgXX7nGqDg3fmUSojvdPpYUNdxyzQD7x0xvY_zcvPO_y4DhvrVD4OM8cMut7cIZMwhOh-jwT=w300-h225-p-k-no"
Henry Lin,5,2026-02-19,3 個月前,新開幕的店，環境乾淨、品項多樣、自助點餐機也很方便！點的舒肥雞雞白豚骨拉麵湯頭相當濃郁，還有一整顆溏心蛋，好吃！,https://lh3.googleusercontent.com/grass-cs/ANxoTn1AWjFp8-XhEMaVevN8xmKzJHzYOcOgLr7g6Z3KPcAvEakwB7TajIiPa75lHZdi_mXE8YXkHsh0iV4tqjCmyD5HjHDvZsVGgDFYe5QlccSmzzs0e5kqt4MCbbDpm26HVASGktjzHowivt0_=w600-h450-p-k-no
Vicky Su,5,2026-02-19,3 個月前,"趁開幕活動來吃吃看
結果比想像中好吃好多
地獄豚骨拉麵-軟硬、鹹度都正中我下懷
辣度是一般的小辣而已，所以很唰嘴一下就吃完了
開幕活動還能免費續一坨麵！還有豆花甜點吃到飽！
重點是豆花根本也不配角，它很好吃～
只花了175元，根本cp值高到天花板","https://lh3.googleusercontent.com/grass-cs/ANxoTn0FgI19OCtJ0WZ7GAaqGsES1zSih2l-ZllbuoDABLYhO-3Bwsjy95HNUjt9zpI_bXh6_qnp0P_MRfGA2w9xO8uVrzs3XeJyNaf5Wedb6S7v9WGEb_xHTIvRMWeOfb2qI2Gz3gNMDXIX0MWw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1yUB6-pPguhbmqSsaNS29s-nsxT61dtNikp9jb_cR4XEnfqBSNcd5vwA5Rb50PrvDCdO4arOPcDvaVHTk5b1oULT32M5RtpsF0WUCKu6YfwN8SK7Wpz6M65SstWuuJNbIFFHFPKCO4WvM1=w300-h450-p-k-no"
an Y,5,2026-02-19,3 個月前,老板人很好 店內員工服務態度也很好 整體食物好吃 甜點方面也很🙆🏻‍♂️ 等待時間也不會很久,https://lh3.googleusercontent.com/grass-cs/ANxoTn1_jB50WYg7sUJL6ornMViOg2WRHjmqWN1WQeNqj791HmbXpGkwuyjvQwtlZBgvW1bGlKWB1rluLEPdajWY7mXcFHmz0YDECezbpjKNxP1Ef4lovBN0kaViQ-0XPchiOsD381a3piYWJKUL=w600-h450-p-k-no
Leo Chang,5,2026-02-19,3 個月前,拉麵可續麵，加$30仙草豆花甜品吃到飽~,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0ET0j_PdfZRHEBi-lsw47f1aIv9en3tqqd8yInDSFP9WesrQTS9b1_ukJJpMfCPU7qUA7mJQWPdqHi9Z1bdadnaTEMGbgM0K2r84gtlDV4RjuF4XODucSwhffPU6Ce3WQn6exh5N0nmzo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn26wDmQNSvoHleQed06L6ws_ipzGvUAKxaAP4U64HI8yo3SNVGQIrjb_tGLfDHuiJwPb1DgaTqsv3sUY3DPlq6XZIG64o_9-qaqfx2pXdeDcooPcyuoEdLlK50l4Hiu9XkEM5bS16c2uXbE=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Y_ZcliO79QJ3MRqW1rsj2v5rpzMmbNG8MaW5cCgNs0vxlquAzlQAOGfCtxcK8mErCQrXxVKHgapSUUloSuoFtSPIfX5GjrFxdXza_lplpnCDTD5sjILWuJ5AMN6wcJSkweQxc7aFvc1eB=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2urwq3xNY0r77kvUSo4UzyGPgNEQKm2u__s7vTd_zpJRmN_3ENTJgQDxnfts_TOM2I-tCRyIMzCGaZSzSydz2D_VfH0PM8kDTGNWq_ZDo7mdHM4lSK5E-cCYDVHPahUR_Njbya8FCzKeQ=w300-h225-p-k-no"
林佳誼,5,2026-02-19,3 個月前,"點松露叉燒拉麵（不要筍乾）
整體好吃，符合對於平價拉麵的期待
加30元甜點吧吃到飽，有豆花跟仙草

服務態度好，來的時候在播終極三國歌曲串燒，超級加分",https://lh3.googleusercontent.com/grass-cs/ANxoTn0Xa-1WOdTRuM-J72BgbDiHkDxuTa_wASsILckNPoHXdbUv0e5hRDfEuYeiDRGmMHTkDZD9ctG3eWJAIv0k0rHJ7M3LK19YZDVz6z4fqcAZu3r3QEJ8pHcpkLrwqN0nSlNrYILWfXJD1HHm=w600-h450-p-k-no
