Username,Stars,Time,Text,Images
Andy LIU,5,2 個月前,"價格實惠，好吃，可以推薦
現在拉麵隨便都要兩三百元，這家真的算是價格很實惠，而且味道很不錯。
今天點了 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3vAHviMWr6BrZJZz9kczi3MagsVc0o073JWh2d9-QFh5oe9-TA4r4misPQdpqykgNo1YoLncI3g9dasB0LwlpNcfisPW0loQmUqJzQqIULTXomZ4wgJ_P6poN2-a68kgnBPIh7M1eq2iM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3MmHdFf8xFg8zQjzAd4G1X_uOhIqkAXkCLwCqQyi8goH06Ay0Vpkacln6aRhTxg8qaDjvR6VpTuq6VBDLbGkAQV4Di9zetq7CHYH2D3Ff8Uv-ga5ecFjAoKjN9r3-HGKO_tYv33y9ThWIv=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn30Q8NZRP_OwkpY80yHz36dfJVR-l0rMVMqtPCLUQMjs23kfxVDxdNSyEeVXIQk8VoZt2GOSSQKbKNbfgHdUkQXtGRDrCmK3jiaLfQjGRd8cae9_WEtvuoDTqGxmRJUP8SqLKAo0rQs69o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn27lAgRb9yN19pNkFIX8WaQCaPpCV8XA-2SMjAMRS78SBmUXX7N4hwaF5EcY6MOwf5D7e-g2FQQ4niYhsNY8Oe01G5gVEqHBq4uKgebTuQf9bMtqjRw3pOa_TP2_FBb4p9it3JVB1EejMLO=w300-h225-p-k-no"
YuChen Chiang,4,2 個月前,"位於師大夜市內，
在小巷子當中，
拉麵整體還不錯吃， …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2ru69a-cpjlaSVnxGPJCdQUSmMLi1v3WPdzqhcLBwNbBhPV505nijYcDi0qJ9j86NpKwo_hqQMlKTju09vsUy7Lh2QKhZxHk1EKzq-C65hzqWPZqupp6TryVMB8Sk1JNtvqMcuQjRW_eiD=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn26Ev9KlXwsGhkJrKR1BVsQWjsK4AXFfRAtIsaGIZ7-GhzLMw5TTOPPzkjhQpJcHAbsjr-cQKz3VaxRDuTzs0FmWuwfXwAw68kn6jv1_I_lFKNK7j6wIJOiPmEqHVYV0pkMvUTCPUCxcCqX=w300-h450-p-k-no"
Chih Shan Chang,5,3 個月前,"🍜 拉麵本體｜誠意不只是「吃到飽」

先說重點：好呷不是靠「量」在撐場面。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Ab7GZRgUqTk54zr3IXtCkZ-tBBD59uj9YVebpD76jvO5WzmtuH7MOTGDAItC_AvpetH6Kh1-u3PD5BxOBbpyg0GGsLer4e1S1We6ScTiiGOJnhQnVbh5A-YyrLSbyK0kF8mywYTsyKrrq=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2or_QMcDDcGfxc_gcfKDKTinAUAjlNwdJ1KHpn30KT5qo3fqu7gn6AKdLTK95cShdDOGtuEG7WMdfVH2P4XLE1wEE-_eURUoWM7yWRcN0tCYaHvi2ucXYw_V_6y37bL51e7e3EbHDJG8Sg=w300-h450-p-k-no"
_ Ren,5,4 個月前,"20251209初訪
醬油拉麵_165元，麵體軟硬適中有嚼勁，湯頭順口，溏心蛋、筍乾、叉燒都很好吃😋
而且還可以免費加麵，可以吃粗飽 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0y1_PEID3OEM4M35GktJHs8MF8Ln1XCEEzvfVoyrPgBLtNBNjZ9mu7PP0iqn2bEy31mbi7Rs2sVw-fRNz9KtgVpc4O4dMRx7yotMmWjQPih6H8x4665zApEYSkbCYoFQPYSRwRLZn54y-w=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2JDKwweXK5khBWftjKxrQgKxhhzdVdtkiKn6datiARaG-yuqVyVpwYPnAY9hgACpImq-5UdSYEGQJbg7AJl02RTba9bkkq6TourT3Klwa5pCqUv8IhnjgS2CSycOT1a9KB4JIk9n0mCcw=w300-h450-p-k-no"
林小美,4,4 個月前,"位於師大商圈是新開的拉麵店，在門口用機器點餐，店內座位很多，加價可享甜品自助吧，蒜醬與辣椒在醬料區，建議可以加一些風味更佳（也可自行變成地獄拉麵，讚喔👍）。

我們的座位被安排在廚房出餐區旁第一桌，好處是廚房（備餐）清潔與流程一目了然，缺點是很像坐在廚房旁用餐。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0aV9mkcqYXQm5D9qceMetWGLbLSU4T3BtYlyoandfd5fhKrXs6f0xISmf6lGRyhJOO1IBeuJf4CTpa6ZhYgYQevC2dDG3XsNqjanSwgN18rj-FeBFmv8cLR57-3ZNi1VpJWieEzzG7nyI=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3QzQH6ahr64Orrsyzd69ub0WP4iDYTCLi4-K_HxuOwtC98McwYnno6e7QQ49_o8R8-4QCwypUI3tMwXeBLtg7-JOGfn6gGWAwQ6upjOObHFrfKwQPbXGL3xVjyen1_YzonuHkaRHGtNRmT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2fBiPkK12UmwTXiGsBmhIwbGbn7NFD5Ad9kIuZt0VpuDKWPc0sMQZ8VFKOIIsVhWJV8iqI19zIwMwJTE3Z95bOf0gUbSAKSrARN_AClqimHPnsB8DQT_KRPF1CoXdP6uaDiTIC3HMBubgY=w300-h225-p-k-no"
LUKE LU,5,5 個月前,"餐點湯頭都很不錯，就自助式可能還是需要有人幫忙解說對於第一次來的客人會比較方便，當然這是要在服務人員有空的情況下。
或許下次來我就比較駕輕就熟了！",https://lh3.googleusercontent.com/grass-cs/ANxoTn3t5cMgWCmtM4UNOaGxliWm0VYFqUsXeM5wht5wFEMkHmFWrAYvsadxkZpbMUc2v0Kw6ItPx2nnscHJTi6RNSSeIa5zkDZTW_Mbnunlw-B3gzzZYebmoP0IUwrqUQd4bkwWyK3rexfLkhpS=w600-h450-p-k-no
Cat Blood,5,3 個月前,"好呷拉麵，好呷！
拉麵上太快，來不及吃爽甜品，
環境乾淨， …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2NClFCThHMm5r2r9XP6yF8lGjW-EIi6reuhAL8-7WvovaBEC8x4EoGebFCiry5S7HofhslX9GhC0JdCEkTzYL8pQnOrXcX6jYDcKxVo55QH-6AqW5v0gWEIk4DnoK5ECVedq4n7j2Hpbw9=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1KlySlFhR0dPaAFIy_ZhQ7enZir1TIYeVWxDfhpEG8VSxYIgJp3ic2X9DzG497ltQux0Uu5ZlWwApgKmLznZjmIX7N0arNLNglRcSIBQhqMmB8_oQmuPK-RGM_bidYAoIXfaRNEmuraPEi=w300-h450-p-k-no"
家蓉,5,6 個月前,"隱藏版-青柚胡椒豚骨拉麵

一開始沒看到青柚胡椒本人 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1uUd2nHd7aJXYkPr5F5qgxK6YTHJmhnC4Jj-Q6qXu_WgPN37qavTOAAewed6KYxJN26epmsqEynDo8CmKWA1eYhIHZEA3ktmUMrBf5uEvDfUdGb1ucVx7seVlL-S5pPCZzEvzSibI606LT=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2eerRx6aip0dlijrl7kzDWB3aawM4aSRdQgc8Hn0Wv-z3dvaDDlLAIzka-kneTg488eX6VP81iKGSJzuTCCEXYEIRFsTbl8I3dloqi-ynAMoZkQiSlCIPf1Aa6CdtxjcDqmQfW6GMOC2iM=w300-h450-p-k-no"
J,5,3 個月前,"不抱期待隨便走進來吃個晚餐
結果一吃嚇到 很好吃欸
本來剛看到肥肥的叉燒有點後悔點這個 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn2_ombQJDTmCA6YUQZdC2Z3OwcsOCkmDvFPrDbEFtKWkvfpvIMpNeB-y_PjIxPUy2B3xXt47jLFT3zam3tYAW51EyWw-aPzxne81WiW3QMxsFFxgh0aWuFQI16xLsLy0yRTghaH9y2s0Kxr=w600-h450-p-k-no
Kohl Xi CHEN,4,4 個月前,"CP值很高的平價涼麵，叉燒會現場炙燒非常好吃，豚骨湯頭普通，但搭上豆花能解膩。
想要過過吃拉麵的癮但不想大失血的來這邊會是好答案。","https://lh3.googleusercontent.com/grass-cs/ANxoTn2MWxeiHCJe-k14P5VtTTD5rBtkL8CkHeFQ8yPMwcVKLWv4Se-rM5u76T-jeyO8FhJ8JGwFXlpxRw6MvuyZJqiBdmW14zYnIOq8fmblWs0kit8S7jw6Viyzi2RRKH0CeVj0nuViy6ExFKw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1PILTpLSW_CNS7FsWvaZNO6DR55OwysPnIXh630qCjr9m1_UxA_KzBFBgArlWDZSv_lUtBifHc2HD-TwffNPSsLXxlpMmzwkHmbadm7HgTnC0wjOCPMXg09-cYEb2gXlq4EUsDyrKbn1U=w300-h450-p-k-no"
