Username,Stars,Time,RawTime,Text,Images
Annie Chu,5,2026-03-19,2 個月前,"濃郁系拉麵愛好者應該會喜歡 🍜

這次點了黑蒜豚骨、一般豚骨，還有一碗叉燒飯。

黑蒜豚骨的蒜味真的很明顯，尾韻會有一點蒜辣感，但不會到刺激，平常吃微辣～小辣的人應該都能接受。蒜香控會懂那種後勁慢慢浮出來的感覺。

一般豚骨湯頭很濃郁，前面喝很爽，但吃到後面開始覺得偏鹹（我平常吃比較清淡），最後湯沒有喝完🥹

叉燒飯意外好吃，可以點👍🏻

用餐環境也加分。
兩個人被安排在四人桌很舒服，吧檯空間不會壓迫，廁所也很乾淨。

如果之後可以開放調整鹹淡，或是有不加木耳的選項，應該會更想再回訪。

整體來說，是好吃的濃郁派拉麵👍🏻👍🏻","https://lh3.googleusercontent.com/grass-cs/ANxoTn0hSgk_-1lerRKD5UANd6chcFG_6G-AjBHJNCtcpAOqVjFdMMmaovNg12neeosY8dfd2W5VC3GfnQpmI-y_K03qVq4YB7B6OlVRAeS0LtNjgtjvDrjfx5PlL5XuCYt9UrYTTxJVqNOqe9cs=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2RgBb-wwD7KVZVc34FHI4YJxi4rmNB3Sfoj4JbfnwINi4rjxkKPi0SD0HXu4QbTksNGbAAYD26q-ym6Qxw8RFbsuOop637BpC8xD3ZQDZo--fYt2hBtx0B9t6r3LtUsNYiIB8w--wjp2gB=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rFEoHM6EbsE_2hVDShlTyF37-EJk8_aYxgLjA9I-Yj6QunL1BpvPSadDRqFbucCDxWgiSvMyxEEyhbuJczub-GazadR04V1JPsSXQw9FJpGHlvJiz10pE_xy5PK0m-Y1QA6KrhtbC7R1P=w300-h225-p-k-no"
愛貓人士,5,2026-03-19,2 個月前,"先去買卷後再排隊，拉麵可以選配料跟特製紅醬是否要加，麵條是稍微偏硬是我喜歡的硬度，湯頭也不錯，肉也是處理的很好，叉燒飯就感覺還好
店裡環境維持的很好，也很舒服，椅子下面有置物籃可以放東西，倒水部分要自己去飲水機倒旁邊是沒有水壺的
如果有經過剛好要吃飯會再回訪的","https://lh3.googleusercontent.com/grass-cs/ANxoTn2CiCDdtCyMXrkQ0Na1bnoMA5RcZuJMWs7O9e-W5MDsuitHgKyv7NC5hz6WtNDFGQ9OF5M6Ock3sLMUOtJ2NZSZ0l4XoEI58eyePrePoXhJPKhkoJw4pdpb63-kdm60ao0kiXr4TNTeyFo6=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn24w8dcKhXfijHYRCA_JB1d1VgeUKERNYcgpKcJcWz538JMMt6EwFhSDzE1a6UpjdAm9uIWVlj0-M3kRLtkqzmH5mu9QWlifpOyFGAUXnD0bQNKXCcJJR9P75eXipWtJC85KFFlq4aU-onO=w300-h450-p-k-no"
jojo web,3,2026-03-19,2 個月前,"其實我想給3.5顆星但是沒有。如果沒有今天這些問題我想給4.5顆
態度我覺得很好，麵條也很好吃，只是吃到後面開始出現一根頭髮（不是我的，我頭髮很長）、然後咬東西咬到硬硬的很怕是什麼奇怪的東西結果是蛋殼，所以可能這兩點要再多注意一下。","https://lh3.googleusercontent.com/grass-cs/ANxoTn2U4yk3fEj6VrIkLqd9zcq1F5Ct1kupMl5dR0CXfx2xPJ8fo0D8DXWDANhyuxmuaalROYk_roO_rPOKkE3rsUVQtUSlieGkvQLn89qD919Ohr6UoN9cJP_EN7MUTeHZ1WZE7rKqwmvrORUn=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn15p3ViI2KOzSQt6kREIi1hYLAOUcinKmKey7P5geSC60mTUL04PkKnjbsE6-3ls1BTST9vnVcztwKULCB8uFjQeTUBAombhfLJZ0UMnGi7mPOfUvH2WxJGPY0LbWccpWmdVgSt-CUL7BQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1CGIBBE1KoepueiVUPDk_HiYcsZbP8QgL5POjJb6GyEX6i65IhjB3-xVu-r6QW9Q-t9TC6oc9DQYeTq9FlP95_VvRj1TpoLKopbpazeltMwlA0T2KJLty4TvGcwQTUY2SSOR1dXdMZk315=w300-h225-p-k-no"
New Chen,4,2026-02-19,3 個月前,"不大需要排隊的拉麵
裝潢漂亮 空間乾淨
水自取
現金付款

整體沒有太驚豔值得推薦的地方
不過一切中規中矩，蛋的部分我特別滿意

價格偏高 但考量已包含蛋+可加麵
有經過會再來，但不會特別來，也難以推薦朋友 畢竟安靜到不適合交談","https://lh3.googleusercontent.com/grass-cs/ANxoTn1gbiwrQ-3sn3lO87_UTpFSPsBhm4eRpgQqlWe8hWzH5BnUyEkpjyFDgnXpnp8dyompBeCy-DFjOTuZoRt58vKHwm3ekI-BwOUxjK3RU8ClhhnrXKr-j3X9zSG1Rmkux-a7Ck0-zhWkNls=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0LX_9K6zNON16U9DnvapjGrwxTEe28JvgSON-MqVWO2LXT20ChKxFsvTSakC4nuzfOkiNKtj9OVzw8zlVpO24o8-gtoAGjgKaHnBqPDlTyJaSlkUuLPwCNBhwk9JVJfwrMqkgfIFsenG5a=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3sELH6EPkzAy_ZFDpkF-SFF_MtB5yLc9pDp7RWg7f-i1cW_xrtZ6Nc59D5xOyTLLNWaNHY2KHayH6Get_1BrrgYit5p9mWkZBzRfRqJOq98m3YUFsy2ns5_Sm4dM7FymVzWRPQa21oOUBb=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2c9JLVxzHkxa8vxU8oqS2sQHzr7Fmicp4k0X5iUgmxg76DaM2Y7mdGIdqCsgJNMcPKpUTfsEB7PjvQBoKQUWxQ-ewQwrlvGNMktiRoymv2uYDYWhZLzP6997KMLbTYx3FVQ8AVmAWon4iD=w300-h225-p-k-no"
Ian H,2,2026-02-19,3 個月前,麵條完全沒Q彈感，鹽味雞湯拉麵的湯頭偏死鹹，喝起來完全不像是天然食物熬煮出來的味道，同行友人點豚骨拉麵但也喝不出來豬背脂味，總之完全不會想回訪，不懂為何評分這麼高。,https://lh3.googleusercontent.com/grass-cs/ANxoTn0dH-Yd9HD2jkgbRbVoiNN7GJ0iUH2QiHWA7NenctcydIXo0QYYJ2X6oD7ovBbZHxBojQ-GNRq8TVSXzYu8QR4az9Bn_c8CtOK2mhnFMGB30TpC-UtC5WEe5FRBecsZ6Jm9VxekFiWnfcI=w600-h450-p-k-no
葉蕙茹,4,2025-10-19,7 個月前,是家裝潢很嶄新的拉麵店，環境來說感覺有點台式（看看那個春聯）跟日式（有玄關區跟玻璃門元素）混合，整體店面很乾淨。點餐是使用點餐機操作。座位不算多，有吧檯桌，單人友善，感覺大家吃完就走不會多逗留，因此不太適合多人聚餐。這次兩人初造訪點了鹽味雞湯拉麵跟豚骨拉麵，湯頭上來說雞湯是清澈的那種，口味上偏台式雞湯，就是家裏媽媽會燉出來的那種。豚骨湯頭表現中規中矩，是可預期的味道。麵的話軟硬適中。溏心蛋給一整顆很大氣，吃起來很過癮；蔥花也給很多（現在蔥很貴）很棒。點了碗叉燒飯覺得味道很不錯，但是叉燒肉偏肥，若介意的人可能得避開。內用可免費加麵一次，直接跟店員說稍後就會另外用盤子裝，所以預期要加麵的人要先預留一點湯。整體來說湯頭/麵體/味道/環境都有中上水準，ＣＰ值高。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2odhTLdKugZHj1q1Cp4f7sDVCrNvzFcWaLDt6eXsiMlPM7XMGXVYOW5t9ZLrYNnvLX3s336rV_cQU1cnAS-W7Yp1hNst2QRnd4_yXSlkakXZBcxaUKw6Yshbt2zd5CCMQi5YiVDuVZidfV=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0HwZCcyCiuqh1TLWLW4PdNVfX7SGa51bii0nKqTGVh8HJ55ihBTitjZf22S6L3ZMvOMtV43MEiJ_ylWv8FVa-jZEa6GQBQeJHSRBtC2bav-UPDMiOlqI9OpewmYyrUl7Ibiyulmft_GyM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2qv3Ef9KTc2z5sLwY2wcVz7PIE8RPANePav1km2j-1q0JIbLa7M28HlUxP-dXs1vzmjFa0dRqcz3y9ConHDbSnUWwf0iK7XxFuc5EAuQr-LgWiEusIzjvssQn5aJJLc3g2xJ2HZxL7-R5u=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3JtLmmPdpq33lVhdrlXPtO4P0sZNWpNNoWBTU_psF7oqehjsjb3FEsH4qVfnULEzkjAuIriJlI_fS2fYHceM6iNu8ESLGZOyYd1vDrDQq2WkJn6jV2CdQ0MhJtvh6Gw0iPWYmWxbG34Z_o=w300-h225-p-k-no"
郭,4,2026-02-19,3 個月前,"拉麵旁那一圈的肉片有些膩口
挑簡單的品項可能更好吃
湯頭和麵體都很棒","https://lh3.googleusercontent.com/grass-cs/ANxoTn2NrnkhwQQizAtGzWgSc9wLCQdxVpX7-Kor0TanKdpTrv-evr77zSnYm3mjyuLWG0Py6JYHtytCr6bpkfN3c-24XSzB9BLrHZj9nEIc3f14hf6PcjciaNuwQPBfU1SkkUvnTC3hLPp803py=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0WFrwiVM6EfmC0-x2AMpL7GT2B6JeG3ZG08gewC3NbhL6IPUJq350J_K0QgSMRltiLS4kJW9Hl1Yz5Lp8_g93bZsMA2UvNDB1-T-oAS5TaaYZWcXAInL-nmDvZVQk3fU1_WqR_75x6_wvQ=w300-h450-p-k-no"
Nicole Chen,5,2025-10-19,7 個月前,"週五晚間前往用餐，自助點餐機只有一台，要略等待。建議在機台旁放個小桌方便客人暫放隨身包（看到好多組掏錢包掏得手忙腳亂）。只收現金，可刷載具。
本次吃鹽味拉麵、柚子鹽拉麵，清爽夠味！付溏心蛋。可免費加麵。
店家熱情親切，會留意客人用餐情況並給予關心。
整體消費經驗佳，推！","https://lh3.googleusercontent.com/grass-cs/ANxoTn3U76QreurRZpqvZsG7scwCT2Idmp-NXr_n4mWXSTOr1vv6E50Jbd_d002YE6KLP_RmU-8c4vbu6PS4-XkDFEZJcQJHIglEc4xAi4PL_hTPhTqTiU0c9X4Z9D1Xonb8ZyWWvT9HtZnghdV9=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0H6fA7ToGoxOVz-7liQTYQ_lr208mcZWXvjJjV1tXaEx6X2X4buGxFLeojU61k6Lk9hSBmvf48uujbKDzweCuf0Hj0nFz5RcdSKQ1MU-pt9CyMhagRwgO23L5JsSbJToT1e-8wdZPRLMYU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn32xOXMOqgQ1k01M9X-NY4piYXR9cO2j9ItWhPL4vyymVArhkJvB6GanMFLzrmyZMg-Bze8fohiKxv5ZDoLs6iNwujtpeqQxddSf7vn6aWQruvkPzkTXjR6ou3Z4NwRyGsh46eS4ZaqjBs3=w300-h225-p-k-no"
GoddardLiu,5,2025-10-19,7 個月前,下午四點多來吃拉麵，完全避開人潮，豚骨拉麵好吃，叉燒一流。氛圍不錯，音樂聲明顯，但不妨礙聊天。五點之後，用餐人群開始出現。使用日式點餐機，只收現金，還算簡單明瞭。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn33WPGvHw1XvZtdpUcM6LpOFfSKZLFNCnCvXA_JhpdZ-NSshJV__sa6r5uxwtIV9Yx6YzCpagN89NrwF3Vh8rodcoQY3mx4DF4GKDHsfKBAKCeIunofiY3s1rIOccKM2vZnEErqwidIJ8Ca=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn35__rZj1Nrng-y8eaju19bBSN1ogB_0g7dRMI8s3I54F-lv_VimXO4rOL40q-XAqxjtx4_tMSXz1nY0bwgslOma1Xdw3ncKMFmIGGvB_1intqvmcybHlzOND9HZ-R0BF4Mj2IocLtKBFoX=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3B3IWTwJJNLjfNVF3KXKjxomc1cWn_fL1UCaYzXptb66C2duXRou3vlYlg5MFE98TKTpHU_EDn7Pb1QZHhWmp8yfIrYwA9L8v0IJTUDqC-MZtYLMyQyycLhyP8lLsznIc6T1oGFq13IGhN=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2B1en9IA1_vTAxSm1Yf6xqvLBlL-xsw9FD_MNhEQUelC62rUitMaN__A6nfcsfhMt3dcZyHKki7YIBC7nz8gftIFsQobiBMzRSRZy0h7YjUAs5JbIHqBAFiXn6oxcPA-nEW_qAnGxay0n5=w300-h225-p-k-no"
Hsin T,3,2025-10-19,7 個月前,柚子拉麵普通好吃，湯頭順口但沒有特別的記憶點，麵條我有要求硬一點、大概是5分（喜歡有口感的會覺得不夠），舒肥雞肉三片、蠻嫩，總體來說表現普通，環境寬敞舒適。,https://lh3.googleusercontent.com/grass-cs/ANxoTn0cXMJ65UXm2J1k942ReNzRglzxSHanxM8K4NCoyukD4L5GSY9MAINclvskAudBk6UBX_O9KhvUb6nX-3iHSfq4j1heTQpiR9mEwuJodHncrsd6JX12QnyorjKxk0XLYhKZl59RgtDEloLk=w600-h450-p-k-no
張裴書,3,2025-12-19,5 個月前,"比想像中好吃，但這次沒辦法給太多的客觀評價（那時候太餓然後剛好有拉麵craving）不過整體來說環境乾淨整潔名亮、一碗吃得飽、還有小學生謝謝的小卡就覺得這間店至少不會是什麼很不好的店～

（第一次碰到鹽味居然放蘿蔔絲，檸檬沒什麼味道。）","https://lh3.googleusercontent.com/grass-cs/ANxoTn2mqNeFg5eZPQK4muG2H_w7rkJwoYyFpwM3fihqUSwWkDdf_pvzOJwG8QQyVnOUcfjzY4QEyc2hTL1Pm5IbKhTO-ajKzX8oRxkVyCBCRKep_O3VJABYw27n2s4Qa42vBxdjpKZKg3aWK5Zp=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1NLMaqEJ8dniXmWJQF9sq0K3yDnlIzqM7xgvMqt55FDAPEhkNDBJtfP__3nVLPU1aBn-P6NfUodn6tgeJwlA91pTjxozumZ2JCn8yNjKenlin_LQHcbWjmGc6ks2XGl5hueQtt-Hkj0vMK=w300-h450-p-k-no"
Shawn,5,2026-02-19,3 個月前,出餐速度快，機器點餐，麵好吃，叉燒飯就 叉燒飯🤣,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2G4XjAkp63JlCKrY-TczgpOMd3IEOU8LRxYxO089-ZQjxmQyG-Ez2mcIJsQjZEmtVFL311BsvarTjXaYiPvnEjcXaEBTRbrjc0NtGb4cI9CDHVCtqgQPeeodoyCoarC-JuBPj2YmvDedHv=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3X_aPzA_JWIS5_AZLmuz9DaRwaHl9oZGcLqcXsUnd8HAHV-I_P1VGakrJpHy6eWq4E-VF5u5CYv1C1QDFl4CSeXaO4yuL9iFzSEICLvJOOzW3I1tAGKD19SuPsI3WFY_Osku7Q8ud4LOoM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3jbsYHPiXF1n0mxTSYSZPzoGvB7HxGfKUv_ggxD6WbYuYTPJS9Gwp5DhimF-qLpEBFSEe_VD7QpsteX44xFgensZgTU8a4Iz6oYxMbTnrTTkrcFodJ8DukEKT1UFeROcr3GCnuI7AFYy_v=w300-h225-p-k-no"
Min-Kuan Wang,4,2025-10-19,7 個月前,鹽味拉麵：湯頭本身不夠深厚，尾韻略微死鹹。不過叉燒等配料都處理得不錯。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn17OPkF83nK9T6IvZHwRd95ELGLcgWREOmQ66HsUz76Yy3BNn752csynzDpp9KDuVFFCAEX86Dgiwu7aeMoh-m2zBKgcSYC3pOgl4rQ2JSLFxVzAVcMWvdIByR-qSBYbGL1-YC-Qbwi6kGg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn06Vdv-j5c4EUhyiJ79IfO_iV_a3lnkmROqZf8lQ6qZfbDQLHDfLKEMn4kF4oflKmP0n0SLHRw0BDBkyF9ImoSoUslPfxlN2UoMBtCi2wHTxB6T3NFEZQEMta17LkT9CJesMyltuz4b0bF6=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2HPeiXIdcxBnFk2Id4UzReMTheYukP8ek39waPPCaZ2H4M1rdPo8fV-Ac0RYfzN6j_qJaqmF9ncmXsA1aMhwsGUDzWBV-5Szx0Q4eqLuJaEqLqQ3p9iKQpDa6Uf3EZcTPZCex2Jdk-JMzk=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn22D37qaRqyYAj1D928aS9SRmqI7SsBvHYlIWZfpJ4N75GYxPgR24SzaMgxQEbJKOiapY1D7G2c-BMxiq6qm7a1h6xtIhxgWfLyalHhhIYzHJw1Mj7v1LIccJWda9Zd8h8mct04VWpmt7Q=w300-h225-p-k-no"
Psychopathic Crush,5,2025-07-19,10 個月前,"2025.07.09

平日下午兩點半來的，所以客人非常少。
位於捷運公館站3號出口附近，交通便利。廁所跟店內的環境都很乾淨。店內附有冰開水可自取。

點的是鹽味清湯拉麵，可跟店員要求麵硬/軟。湯頭非常清爽可口不過鹹，不需多加調味料就非常好喝。麵條細麵而我要求麵硬是真的很搭配。溏心蛋感覺有過熟一點點，但整體香氣風味還是很好。肉質軟嫩且調味恰當。

總而言之，除了麵屋德家的牛肝菌雞貝鹽風味拉麵以外，能讓我魂牽夢縈的必屬這家店的這個品項了，堪稱喜愛鹽味清湯系列的人們理想中的夢幻逸品。此品項甚至只要260元，想都不敢想這世上竟有如此好事，讓人將近凌晨3點也寢不成寐、胡言亂語，乃至寤寐思服、神魂顛倒，實在想不到除了曖昧時期會這樣思來覆去心上人以外，還有什麼時刻這麼振奮人心了……","https://lh3.googleusercontent.com/grass-cs/ANxoTn04olNu_Ppy4tTTsFSuAss9vz_4TxCfoymI50YDavejZK5D6vNRopUQrttXOI7FctRkkyGRMDHj4y1d5rW1uPu97Duenok6cGDsXZqYUMzxkEo-aNUJpOKHdVYK5zl7x3Ge_J_EelIqN6Nr=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn11mC_8wPZTpshmXO9ncm6GkdoETQ1agbEdHODM6tVMT7vFfZlm0In_aDIXGBg93EVLBAlc5GVKScKzFK79Dl9bxqC2IY80saBliN7YvUa-cniBMwHdG5kHTaZAvcULesslo2BbG3Y2Z8s=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2vj1u52osBMMxi7Q-vTvS02Z0HIrmYTkjttMSeZK4Fw-gP1VGU7gwqHou-cmb9x13jQCmNhp7R2gjMUWH5apcm7Ul9n53PFHgLIOajbigWWguj3pvPul71eawoYiLSIMSceigkbCKwxq4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2zK5hmsOgxf5lv3beHpKbtLFnvTFcJQ3BjE11gBXRvy_C9PSk1IIiH-bkAchiBwBIAY2hyGCJkNdRCO7kB5nwrqA5GocBgfHOwOfEqbaZEi9WuQabew-IBecsqUx-oatqAXx6jD2Jhhp7l=w300-h225-p-k-no"
