Username,Stars,Time,Text,Images
Annie Chu,5,2 個月前,"濃郁系拉麵愛好者應該會喜歡 🍜

這次點了黑蒜豚骨、一般豚骨，還有一碗叉燒飯。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2wMQ9hx0sQUA_3WkHGTxXCWgdcmNXit-1yVmOayI8gyL-DidgF1jFgvzy5VzpdhxY6eMnpxNF94FMHfniq1CcJVO3WitngJHOKYDrw6tcPoJCGdzvhxtzypCcabqJiRsn5q-j0LQS0Ts-W=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Dz7kC6zMM70ci9HjphuiJlnjsBhjaiWPfKWJ1FPqDrKoynZngThUPPOfXXZDtCuWCCHUPXidnpRvsUpo87j2ePWdA6tJsJI_4zbs3qyNDR_46-LTV1laHSGiOhyuhHRtltlf9h0JlveuO=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn08OduY3gUucU2NXi0knP_Ky2XPGrBOUq8TZF7vegLrX61ghHlQ-mYzONBTqAhEID31KOmdhKDdRujPhdRKpEoTKjur5H-oQ1DohaLoxo0gzqXgNoVWxGqEd8TaQE2bt9iFdPpC7aFMcaXR=w300-h225-p-k-no"
愛貓人士,5,2 個月前,"先去買卷後再排隊，拉麵可以選配料跟特製紅醬是否要加，麵條是稍微偏硬是我喜歡的硬度，湯頭也不錯，肉也是處理的很好，叉燒飯就感覺還好
店裡環境維持的很好，也很舒服，椅子下面有置物籃可以放東西，倒水部分要自己去飲水機倒旁邊是沒有水壺的
如果有經過剛好要吃飯會再回訪的","https://lh3.googleusercontent.com/grass-cs/ANxoTn3IxOSXAocUEW5--4TKSOd2fWJDpTWM-Ja02HbYKPzwDAG1Sm9KFQWDh_a-TpnhL_vLLd9yk__3ROBZEFXZr70vmicHCOQsVjVYu2y3KllClBVlDGVoayBj4G6nkiBUTfM-o2Q7ImV_Vv6J=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3S1X1vmoU9q1162hPqg5piCjIMv0nmuoGIz0rNg6kLfKjHQID46NsYQfz89B_wt45OI4kPszbgWcK8UVX-l-luxRTljAoHMj2O1qNGW7u4PrCRMlOrIhf89vnmH5m9PDu14ErVPqpGIs4b=w300-h450-p-k-no"
jojo web,3,1 個月前,"其實我想給3.5顆星但是沒有。如果沒有今天這些問題我想給4.5顆
態度我覺得很好，麵條也很好吃，只是吃到後面開始出現一根頭髮（不是我的，我頭髮很長）、然後咬東西咬到硬硬的很怕是什麼奇怪的東西結果是蛋殼，所以可能這兩點要再多注意一下。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Z0ayWmzm4_m6dKNiGQCU56dHSg9IIwzhDymIZsnljzK261RxXXbvSdPp3aJ1yobpCzuT4zONJRoypC171f5bDzWSVIeCfoQCo9b8elnAjaBDyWYEPUer8DD0H54aoyRy7b9EiQrKoQ0J-=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3RqlO1W7wILXu8WaTJsv2Q9uMQ0sj6pu7DOJtGzUuRMlVE6yoLIhM7D6xxOz_LlgbRKfU2pVbCKrzUfgvrSPpN1NcPvBMMtT9t6yl0a015wh6T88WQtr74KzND3NaBsBtiNmExyp22SOk=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1TPSXlVc4PsAZXVjEV4ISOqzTri5AZl6SmWyoI7dqQhUrEZTmugcLZ4p9I_dM0nWbcIlaFhsg9wy2f-rJ1PQMCv_YQ74yXYUBoadVCuFgq0pR-IyDagVrk28SOfgJ2F8oPqj1EOLHtRcFr=w300-h225-p-k-no"
New Chen,4,3 個月前,"不大需要排隊的拉麵
裝潢漂亮 空間乾淨
水自取 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0hjlDwYGdhA-GR9xRuTDPAT4g0fcE_NP_uduMMF68FSHlHUjp1HBbcIqh1mAaw1ZbOXQm9KBGxvp8t9Pg9OycFrykZ0TsEa3telDkPyFDma5nNw8bF_leXA1qFLneXyfh5c0AQSK-2xCA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0VrZCeI5PJ_Bga5490rD2H9-CslVEKlXZneJf3EdCj5rm3zu9Pf2N9bGV2jKMtxD1W5C94bVml0lndv9QKzwPzw08fw0oDexqnHk3tWFYOR3dNld6e-ekpK-LOJsVfHk8-J8orsr3MX_9w=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Os-2mk9PJsmnxtSbYM7-yC-annfHIq2kPEhN0GI1oAj57OsCyAMMAe7QaBsVK-wyYpqbSX1_fjt0R3mExdvlRksfFETuuoE4dXLm0o94bwZcXiAFpJ4VK8272YN3S2fBiB5Cp8TBArxwg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3inV6H2ooo0p5A_JuWUCucrHmlDB8viWwi2NbGEVeJA5M3lVIsO2z7eOFU0l6AWA4AGM3_8x9853Q3aPSryWUmyt1L8SHdEaQdpH-OdBNv6UX69MCRkMbrCSUeFZi5dYj52O27BUZ-fCZo=w300-h225-p-k-no"
Ian H,2,3 個月前,麵條完全沒Q彈感，鹽味雞湯拉麵的湯頭偏死鹹，喝起來完全不像是天然食物熬煮出來的味道，同行友人點豚骨拉麵但也喝不出來豬背脂味，總之完全不會想回訪，不懂為何評分這麼高。,https://lh3.googleusercontent.com/grass-cs/ANxoTn2Mdf5pcExIqBhBiaMEcbDWpqMn84Yn91nlJ35pOwJ0yjP2B8iPtYdEyrVFJP9WpAprxsSn5kZihqig6fMPBT1IW2FYw4U5ibS33S8efpnZbAgtTd8txvZj53xDoOTPgDlqfXKUzNfuvmg=w600-h450-p-k-no
葉蕙茹,4,7 個月前,是家裝潢很嶄新的拉麵店，環境來說感覺有點台式（看看那個春聯）跟日式（有玄關區跟玻璃門元素）混合，整體店面很乾淨。點餐是使用點餐機操作。座位不算多，有吧檯桌，單人友善，感覺大家吃完就走不會多逗留，因此不太適合多人聚餐。這次兩人初造訪點了鹽味雞湯拉麵跟豚骨拉麵，湯頭上來說雞湯是清澈的那種，口味上偏台式雞湯，就是家裏媽媽會燉出來的那種。豚骨湯頭表現中規中矩，是可預期的味道。麵的話軟硬適中。溏心蛋給一整顆很大氣，吃起來很過癮；蔥花也給很多（現在蔥很貴）很棒。點了碗叉燒飯覺得味道很不錯，但是叉燒肉偏肥，若介意的人可能得避開。內用可免費加麵一次，直接跟店員說稍後就會另外用盤子裝，所以預期要加麵的人要先預留一點湯。整體來說湯頭/麵體/味道/環境都有中上水準，ＣＰ值高。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1RKM8ZqlkkY4PTdqKlZkNew1m9W4-JtiXCuEEfgigO52THK7WMkrr1hfSqiblnbyuQ5WCZ5RI6D2_frSgRV3id5TMzpfyctTwTVIXSwN1tP9IVqiMmOCN5mwt3KOR-_3FBuTm1mV-AovPE=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rhOLPgJjllV83mAcuVtGNfmuKjwo2Ry40NqZ5zGeX7tARcUH63oBDq48Z0EWPPcXJGYSTVFKtVpG_-5Jt3NKV3GvgZQtLFd5BIIpgFen5-nqTWiHc2fS6JrWmCl7QyeWtIfICLtRIrGU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1hAUY9pVwFz6MXP8897Kntx4e3IIdj1yCCd9736bgUBPF9g7tpvUlQkW3fz4aQvYXOVVELsvtIDUmAvQac4kOwnZ7UZrj8jsrlAIXmIKyyqaWX0a1bMzpbUmfEi5nmxABB-enZqZl-0oxf=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0B9Ir39rCuAC3qdSLHpx4Tk1poCCPDpdaerolVMavV8gyZmtLjVdH2qgwb89Bi0FlpiHOcdlKFLYU2xd23e4jPkockSGxi9KjAYXaUu61584ayQQJ61lzL_EYUwnHxg81x-wjyKKjcI__P=w300-h225-p-k-no"
郭宇曈,4,3 個月前,"拉麵旁那一圈的肉片有些膩口
挑簡單的品項可能更好吃
湯頭和麵體都很棒","https://lh3.googleusercontent.com/grass-cs/ANxoTn0gBgUqB76WTKwxF0ljF7sgvM24t78XF-eliPxdegRjllRcBDtS9_ZBhg06moj1lCRr_mjvNPzQ57XmZgnoO0xSvtyg4QvinekkeJZTDgTdvcD9qQTGp9DW9u1KVgauML6_SYA4-6wbVuIE=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Sad0khzASmjOJIZjNU32C8ecfySMivpF4Ev1hq_IwF-jDFxRMGFeHFEIowTixRGQ7zwuUcmJ0YPy2fENFYitwyogv6XJUtLbFxfv3D-AKDmuiWGQhcNRgminiOdggyCx4PVWo37WOFxCm=w300-h450-p-k-no"
Nicole Chen,5,7 個月前,"週五晚間前往用餐，自助點餐機只有一台，要略等待。建議在機台旁放個小桌方便客人暫放隨身包（看到好多組掏錢包掏得手忙腳亂）。只收現金，可刷載具。
本次吃鹽味拉麵、柚子鹽拉麵，清爽夠味！付溏心蛋。可免費加麵。
店家熱情親切，會留意客人用餐情況並給予關心。
整體消費經驗佳，推！","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Fbn2PPJHqMntCYfdaSU9t9ncVSEy_c0Rf7xN7PzmtS9QdvbaXA7a09rAnciIHex3d_cpJKVSyS3GzT9O_6o85P8tM0wBIz0417EgbvAscSdg9VMJxWbHBzvrbXIxMyGwy0s312Aqp5wlV=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2OJ56K3xnSDW5NiwYzOGqPqJAQy-6VQyZ90LMbtkc8vdFlJ9xoJGQjkTcHP6QFwFeCvU3-u_lmg9Q6suhK1Tkjrm0yOKZl4ERFxoFZJjYy044YFqmUK6Emm2CVpyPNqmBtNNo0XG0lZzv0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2GXOduGmngvVLxQMNs2ycTLn73rdqKArKYIvbbAzv-cwBUCn5Vt27pJEQyLNHlGNRwszi299d9irOVcnKAndLQXwvcC1n7Lz4r-7TMUH5nUfyJC3TTxVgfPJFBfDeHWVCqjqbTNnnmcZM1=w300-h225-p-k-no"
GoddardLiu,5,7 個月前,下午四點多來吃拉麵，完全避開人潮，豚骨拉麵好吃，叉燒一流。氛圍不錯，音樂聲明顯，但不妨礙聊天。五點之後，用餐人群開始出現。使用日式點餐機，只收現金，還算簡單明瞭。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1kK61rZJxVrbdmyXZL2n8WTjPBV9TdAzqbQqChODxe6Zdb4SiKWhyudblUWEhWueq5_R3N1FhOAjv3_gmglbukwdlaQkaBOMUMt-QGZsOwRASovldJB1tvwRlhpDn2reH2JgKAE82GuGeb=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1E9jLclRXInR5vvufM7pPMCQ0uLUeCrdMhXRAbYxjSgNAz_rwL65ezxeZh6QqWunbz-9D9wtZv8Nh71hE9_gVlUZnd8Wu39dclZyMB5c9K78sRnXTYIDd1bLGsriRVOGlboPEu5lYO8UyP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0cnI7LmyVwOzHswjWEues44taXCCLNafLJl1iSo3LmlyHY-vGk47fqHsaaMJIg3E8ydi26ccBo9ctgWi2p3d-6qZ7NbAa1jbRa0Se9YlPGVxHDzoF2eoEdI0thDSVmQ5gXmucI5iJ8dPYD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0hJr8F4xu3y3fU-bj-_IFgf442-vSeJsVLzZFrXrbeltg7LG2-xP4YgLPQupngco88zsWsn0CZG_sBiPfma-yKfkZ1wq79UWerTDTVZcRZjTjOVWWU7oQx_wdkVfaZS7oIapEae_Ernp-G=w300-h225-p-k-no"
Hsin T,3,7 個月前,柚子拉麵普通好吃，湯頭順口但沒有特別的記憶點，麵條我有要求硬一點、大概是5分（喜歡有口感的會覺得不夠），舒肥雞肉三片、蠻嫩，總體來說表現普通，環境寬敞舒適。,https://lh3.googleusercontent.com/grass-cs/ANxoTn3O95L7uNOpub5L3P7wpSF1GPmoo7B9WjhoZSCbYwSSDYtsFwIdtDwhEuBGEUorEzLNNnvif2RUMlm8T1FY9j1qoRlLvaWD55VxioqUDCbheVQc9TKZvNaG7cWLc_jEPTAxAmQd7izochjo=w600-h450-p-k-no
