Username,Stars,Time,RawTime,Text,Images
17,5,2026-01-19,4 個月前,"這家店位置比較隱密，位於小巷弄中，建議跟著導航找一下。整體用餐體驗不錯，是會想回訪的店家。

特製豚骨拉麵：
屬於改良過的台日混血口味，豚骨湯頭溫潤順口，鹹度適中，是可以輕鬆把湯喝完、身體沒有負擔的類型，叉燒肉處理得當，口感軟嫩，食量大的人不用擔心，店內提供免費加麵一次的服務，非常佛心。

唐揚雞塊（大推）：
這道很建議點！麵衣走的是類似惡魔雞排的脆皮路線，外殼酥脆且鎖水效果極好，咬下去的瞬間要小心燙，豐沛的雞汁會直接在口中爆漿，肉質鮮嫩又帶有彈性，完全不輸外面的炸雞專賣店，個人非常喜歡。","https://lh3.googleusercontent.com/grass-cs/ANxoTn1M7ZSVleZdBjcxbGBKL16gpjyFZjd90SZcDqvoGsBhGlgiSg3tn6GpcpFeWSPjcuXusptg6JW63I-mKxyrwiEWWuKBZDJiHP1u9dwnkSX8ZRd_1V7-eHuSVJ1219XQ1BMHzaGuI2-acz4=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3I5B0DbiZ-31r9Jqt4jNdhrtXKuYTVdwB2zNgUHdqVEgXOYb1vN9OZTFBZWvoseeVTTeeMAIFsnStgAAYoayjl_vtPC1_b7ly3pDZ7ojQHRu_LTpHx7E-VHTa21zTJLOVqtQkHqjQ_31Ol=w300-h450-p-k-no"
hcheng,5,2025-10-19,7 個月前,蔬菜拉麵160元 菜非常多，超營養大碗還能續麵喝冬瓜茶，物超所值，同時有10多種電子支付，方便耶！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0JAgqrGnL6PlzB2crSd2nz63oE8ZfiggkyD3uZcyb06PPuRyERiAS4dba9VShz_mw-Yxi9rIYr9miQYeISYlPYVX72gowUCwGt7_Ntws8zi23xEQjlLl0nnPamrxZrMhdWij7wV54CB0RR=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3QUf8mm6Wn6cxavN4bxv4UmDr26fnB3sKZbSaR8BHTJsjON1-ig5SVRCaTD1CmTHo0S_qSQbGluLoNxmorLOU6j1_3FIxxRXlAfF8RWmYYqRP0ugfZtwYJcleVjy7gWNKB21hUC_qFe3BL=w300-h450-p-k-no"
侯柏琳,5,2025-12-19,5 個月前,"還可以啊😌
拉麵湯夠熱就先贏一半了😊","https://lh3.googleusercontent.com/grass-cs/ANxoTn2ECNWWJVgqSICBP08yeVotmoAJ_Y2kXP6NnDx3_wYKahDKupj7-LSIPcTttd7KMo_cpsuLWaG1_CtA-cbwtlF0r2t0RfJ8EKW82ElCCq484HrkuKHEdwN8Ixy12lObzmmhNs9I57iGjzsY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Xz27nq7hOChwaHE3XKqy3MZi48uD1x_LKpoDFUVZx9Uwlk8-k02NCgxoQziufPResaKT4ks16SAE6w_eQAFfSVGFmASSbe82k3QFoe7B1ROvwUbC6K2Wg7OhFwsMvVV6n85sCGxJzbZlT=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Qss0sBO0JfoSAA7PfoJlyvZBoR9Blnl-curnHzqXZKeRJ4q8tQjAAOLDWd7LRmd9IXNvCcB-6HYXLbR6Sb9v9Y2_fUBgslEMfwYnX_ks9KuQyVOZpbmSTQJdfkVBhHdMrJ6h_MbsLh2k=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1em3MChXSKOiJEhgLxFTiLvTG5aCH1ODPir69Oz9L_NPeJpg1Y764a-9iCgBGYn1mUShhTerasHYuSrTok9SXc5yANKH11C1IJVCzvmAmDL0Zg_k6JdS_K3gVqIAxGIDjkrNa-txTRGLY=w300-h225-p-k-no"
uglyway chen,5,2025-06-19,11 個月前,拉麵口味不錯，cp值很高，唐揚炸雞是用雞腿肉，很好吃，可樂餅也不錯。老闆服務很好，都輕聲細語的。推薦,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2_ZbFXzkACf3gvsj-9js2uj6NFMz2kogDBMTsYX2Gc34_PXP2lukn8ZopHRQ3VHqlH2RsJbnoFJhXx1RDcmyXWolmynHvBlQTBynHEO3fU0yVbuvrTdKHMwHZjV6x6c5ux0LnXQp1G10s=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn23CmVcRKsr4FpqxwznOk-jahWV6mog-amPUjdqn8iFA3aBORvVPuRzRpynAXit4J8_8Gj2bXRkStV6nrqXoBL4cOwe4ZWHQnSwYmsRvc_knwQ7H8t1p9L09NgcwvoJt80E1VYYwx6Tedz2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3PKLPJ8a6CPc7ggdttP3powk9EW93ijP_USqCw-0i-nfLivpOHIWHolVFORnkmQoi5RElyI1XoC4EY73mvEmcsp2p0azZhLYGY3VtU3mA98mNKHJgW_Zb9pkh_YbjdNXmFqJu-6EFlZaPn=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn022ljKloiNiXMeZ9TVk90-FoW5u1JQroX8t3rQX9A9FZUpldRfTINCZBSwF4yuGwwcxTy3oiVCJFpSRXkcNpxZIp7riktzkzHMWg5zsuXxg03bTQ_pY_lwBlVLZa--oa-PNuujRTfZ3HOQ=w300-h225-p-k-no"
葉儒驊,1,2025-09-19,8 個月前,"評分4.1？
一碗麵 台式拉麵 賣到一百多塊
玉米剛從罐頭倒出來的吧
切出來的蔥跟海帶看起來超不用心的啊
湯頭就是水加浮油嘛
喝起來沒有味道也沒有特色
叉燒你敢叫這叉燒

這樣賣一百多 評分4.1？ 認真的嗎？",https://lh3.googleusercontent.com/grass-cs/ANxoTn0BXtnuUunf18EH3FW8JRrXECCdf-nYn7Np_2UJQoPAsBhni5viPof8s61ryqKGEvvDenIJYxJywkkvab1ZkY9jiu-_8K6Z5JOTDo6k_yHw7FNBmyB1Hzynri9R7Tz3mxWcR0DT39QHjXV9=w600-h450-p-k-no
潘慶臻,2,2025-10-19,7 個月前,老闆娘很客氣，但除了叉燒以外都是冷凍預制的感覺，湯頭就是拉麵道風味，豬排很酥脆但明顯是冷凍早餐料，只能說吃粗飽跟很寬敞可以坐很久,https://lh3.googleusercontent.com/grass-cs/ANxoTn3fTm12DIzAimkVna7zyGWmZGzTUYnzyGtd-xKeWDHFadYPkceRAL9jmqBjGRJYMmKiwt0fdVpdIrMifQG7Y28ruzOmHXJsbG9AuclDdN9ZmEExB6cj1RkcMrnW9EMnkagCxRWtS1UGKQg=w600-h450-p-k-no
陳星佑,5,2025-05-19,1 年前,"東西好吃，桌子不大用餐環境稍微擠一點。
拉麵蒜味的好吃，可以免費加一球麵（共吃不可免費加，唐揚雞如評論所說的一樣，皮超級厚但沒有那種粉粉的感覺所以沒有到很難吃，裡面肉的部分蠻多汁的。
套餐的炸豬里肌就還好，中規中矩只是套餐的飲料我選的可樂竟然是飲料機的可樂一杯不是冰箱中的鐵鋁罐！
炒飯是好吃的，粒粒分明不濕黏，吃起來有鍋氣的那種焦香味！雖然要$155, 但它其實份量不小，是一般的1.5-2倍的份量，還有附一碗湯！","https://lh3.googleusercontent.com/grass-cs/ANxoTn2x1c3mr4M4SeBVCx7_ZV70AZQCgYSDUvVnXF0YWuj01w4evpA1JN1Kif4V74KQyRvwjGHgHAcdEAtkwEZ1NQ1RknnhPzhOHgVxpMcIaIZvvf2jZOQZ3Vlp3gwvetQz1B_P7uWg0w=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0q9BOimxm_B6L6vI2hckzsxQ27g5uYFS-4uB9sdSlaFT_v-B2zEuVhmElb7tzi08XDG-Asboqbx0PTUJnfeZaWtsx7foRxSsY_oV1vrgyBba5tHVJJbAwymH0YYXvZ0o8CdE32=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1MzRBJkUsrzoJ_nbisBPpP1Cb2m1jbmg84R4bsDQlT2FbCw6U9QdUAW6jnVIWoMSX24vC-2Ue4bOUvDOQh8n05SRIoSYsK7hS_yjzuwPDDr2DWiFt9jrT0XZ_LT_U_IpqNctPiXg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn10YOdJbbZqlui7qbXc-0suy_QU_tWfPEreowVzyo15uv5j5PnEzO2gFR5sMxAt9rna5n3Pw07vGbz2LjAVbDqOgka_70nLUHutKIy2ws6oEtElS5FF6QSSSh7US-WKVByP06qX=w300-h225-p-k-no"
劉書書,5,2026-01-19,4 個月前,中午時段沒什麼客人，老闆娘很熱情,"https://lh3.googleusercontent.com/grass-cs/ANxoTn29lCWRCUACWU1vjMl4brmv4ikRmEHZW5KOIGlNuGi1jaV26PoFClYbRnHA9PtI-R0Psy6J-e0v7pDoHrzme7uTVzr1jxKjMlFS_6PiXclxM_AJ2nqbuXsfhUZwEOriJDSr9uIW7j9M_X8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2fSCmAUEeeBh_tYIT6rqRHVfSfpvn2qsxGsXtuhYwYQiEzQGl6svq1bbKVgHbh2udO3XUQ7zMfwY0tfviCQjsKnZNI7_j5rNQODbzFK1ORKuMvTAQe-C1GEljGsrGSf-NB5jVFi3lg8iWy=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn18_VdJ48FbbPgNyXvhPs9oFXD2fAy9WIf2YUl12b3spwFD62o8DTZgePgV73hkDpDdN3oeEwwOjij-Fm9q1WN7VeEeKxiKH6UX8k0WR5dXDqZf2czzaF-rCO2szIpIZ3Wu-737tOY3g1oM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2W8uDy2YJmZ2RvwAz58Aur03XAZFCxAIC-iNqZPT3ITl0bWT2UXUprFaGxyg5GJUEArKY9jTvmoQNTwEqjmdJV5EYU84Ui1uZkPdYFDSu35AXb7-lFrUFQp6BhsYJnOe_CatVppePSR5HR=w300-h225-p-k-no"
JiaXinHong,1,2025-08-19,9 個月前,剛好吃到有點臭酸的炸蘿蔔乾，好像味道是臭酸，因為靠近打烊時間所以就算了，也沒特別去反應。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZPseB7zYGpOWAOcZnXjBvSCYsekbhfCXHjV6IdJa8ZKe8sHOoow60on0mab_oTJ26CudttDqlY0DhCFUd2EgHfY6sCRZNCvQZIqYv7-gqynsCXij2wWd7SU-7FfsqY84tHDStvodPCI1n=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3KiwZyL-ytH3ctaqp94u2REd9kUnKbISZhl3XY5b4uSkok4JCe5UqpMIe8ii_-Enr6T5xDHUTqdm-8KRecc3JVMH9lPbC4SuZAFJXChwx008L_pEFcXFGepL89BRQY41bs9x0lRN0R1r4u=w300-h450-p-k-no"
Linus Hsiao,5,2025-05-19,1 年前,久違的公館散策 下午在巷弄間隨意造訪的拉麵店，環境氛圍還不錯 餐點口味也可以 價位適中，有機會會再回訪,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0ZNOk9B9FfVB7skfDD8SnmCMtkhroc9_6b_PJjtvYJihoVb_PVycA6-gc3iI5ljc-OKkw4pLaUYUpFqwqmGcRnvH1G3o2x2IVUyAa1wnnXkzPkkCFg7tnj2IpEVjn7aTOLICh7=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1h-mHcuW4mknPvfDPMpdb75D8llDKv4Fn4xfH1k8JXdwfvvoghFOtkEOjEiaV8askNWgd1QHPjsoQI-NaV9xpmHqwK1x4mdBaldJNEQnWuxjqWguFKE9VbpAtsDOXRR6RHNZMXyw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0RCQTwgSIYEMkgKNBuRc4tpFj0wJELNn7NS97gdanPJwiE2aTiUh8zCRpuGmqzRHMLVKd5UjE-eGQv_57ZDkPeJedUjtxfZ2DFBVf767UbF_FMeVPwe-Fm_qPP3MQqGt1GnIg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn27f3yP_Gxh7Q5sRuCilgy3gBsX6q46rzSTfBgh7nhigTHhIByURqPRZ2VNoy6g-WlA4KCiH9FresO2J6w0tt-d9PRUszPHd0zPjJvK6vlW6KnIN9SEa-102z8hnkcCoee6v7Dy=w300-h225-p-k-no"
吉米,5,2025-05-19,1 年前,"因為隔壁pizza店沒廁所，
跑來這邊借廁所後想說乾脆吃一下，
那個什錦炒飯實在是驚人的好吃
粒粒分明又鍋氣十足，都忘了我是來拉麵店
強力推薦炒飯跟雞翅啊！！

意外地借了廁所點了拉麵，又意外的吃了拉麵改吃炒飯","https://lh3.googleusercontent.com/grass-cs/ANxoTn06QWIeXLN4ewutfhX5FzgJJfv9l7LJ1IImGqpTL0CZYes6-P9G28P2DxTDim9Z9-eIoSqSWjUa_nErVsXXWm9ElDj5O6FhTCX7jQJX0iG7sXfSSCyFaZtVpu0gBL4h3E4Db7l8Lw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3uJOoUjfFnMQ78wF-UDzor3Dwruf3ik6UVmbNcMzGFIh9JyARtIrTWapaCOycD0pHeszu4KQYA4YELINcBhytWiJxp5l5gy-SkV8v_rCSCGC9_HVo0l-hTW8KTyFijXoHengX2=w300-h450-p-k-no"
夏羽晞（MiNa）,3,2023-05-19,3 年前,"個人對於口味上很失望

學生時數常來~
認為這間麵不但好吃、且真材實料
又可以免費+麵、CP值極高

但這一次去吃感覺整個口味都不對...
不知道是換了老闆了還是？
湯感覺沒有熬過、單純粉下去泡
湯底很像是沖泡式拉麵的感覺...
麵條口感Q彈還可以

裝潢上還是記憶中的樣子
但客人卻空蕩蕩的一片
整間房子只有我一個客人
我進門大喊三剩老闆
他才願意出來接待我
但可能因為正在施工太吵
我不會怪你

因為老闆講話、待人很親切
在服務上沒甚麼大問題

但會一直推銷你點其餘的東西
就如同我一個人吃
他有3隻雞翅跟6隻雞翅的
身為一個老闆居然不會看情況做適當的推薦

一開始說可以點6隻雞翅
我說太多了... 我只我一個人吃
老闆接著說：那點三隻？

給人的感覺有點像是聲音不會強制推銷的感覺
人是親切的、但在推薦菜單的部分有待加強

還是需要先了解顧客的「需求」
以及最重要的「食量」
還有因為在公館的關係
學生偏多、若是一直推薦高單價小菜
可能會造成學生們的反感","https://lh3.googleusercontent.com/grass-cs/ANxoTn2B-_l2j1QehlONaiAxMHpOOd6K7ia-CmxF77xtBJ6kbg8H8uUDZZIpxV0s9zxAPbCrPqWYFrYBIRvwA9Y4RKU0auXhThJKxWg28eun_I-DjANTEYy-tUWcPR0Mjwm3APAhxSJ0Kg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0BUPsg4ekKxTobcvf9raYgMRti3GN88fXS4wtT1JRbpY7Q5P7Snq32CTOXpnGoxcr4cyziBalRXrjgbhWb6TtP4NJtjYFLRx1oBhCg139_k8xjIaS-RibK6FUGCc3okvQ-odmw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1i-SOZ2P66TYL0pJM2apLKay2zzI7EV2AbqDmAvI7ioFR5LvDIquXiOIu_itwwUR9ivDjpJYpPHFV5ylP09drzO0IiM8-nxpza7v_2A-KgaGN6ZYWMzqC464a9CVnq4XiBvq2vQA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2u-MeFuzfkEUJmvhSk0B5wKT576mxRIZ3XkIyJMwR7h3tM9F4F6dk92GELdsyS6IpbS7HGkxtk6lYpukVgA4qAXjHTVX7Ltc5dlru8HjKrro98bZrH02MBzIM_RFz00kQQTx6k=w300-h225-p-k-no"
Vic Wu,4,2025-08-19,9 個月前,"拉麵味道比較偏台式，所以比較淡一點，點了味噌跟醬油的叉燒拉麵，醬油的湯頭喝起來就像一般麵店的高湯，味噌稍微好一點但味道也不濃。
一開始吃原味有點小失望，直到加了七味粉發現根本是兩種不一樣的口味...建議吃完第一口後就可以加了",https://lh3.googleusercontent.com/grass-cs/ANxoTn1XF1T86rwDXYC20_IW0wBkriKLH6aRUBCZT7NuSWRLoHpQzf0fnKQhyO1avMejirC-XBEkf15gzGoKGaDDAVvqOGfOeqJ1UiHXBgDPy95oNmeCUjHdVxQ8DEK_575gInvzncX2UBqR92k=w600-h450-p-k-no
余冠萱,5,2025-05-19,1 年前,"愛吃午餐順便和女兒面交。
走進來時有點猶豫，但拉麵送上桌時看起來真是色香味濃，兒子的咖哩飯也很快就喝完了，值得推薦。","https://lh3.googleusercontent.com/grass-cs/ANxoTn3JLvQ8wGH80fL2YBI0Vi3KkLZha49R8ZO3d-MEhAE1P4K0FYwxVszIn1-PhTbef2OsyhQ0nsiVcaozSZbZkHi_7Lvdsuc9MDV10xVq3qdzPod4PF5uNqTkJZavetneiVTcTt4a=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3R0rQI095OpjmSolCKO7hwIo8UQGR2bzDPUadJ-Cm6GVt8ROpo7vBqev5KgzYzeWxrEQtUoFUPQrBghq46RufOppYKAfZ_xsmlFMijsrKDmKlYB4rml7USPx5vmWeyZ65qtiI9pg=w300-h450-p-k-no"
Robin Lee,3,2025-05-19,1 年前,"平價拉麵店，也提供各種飯類。
拉麵可加麵一次，份量蠻足夠的，但味噌湯頭很淡，吃起來就是台式拉麵的感覺，不太道地。
整體來說吃粗飽可以，想吃好吃的日式拉麵咖哩飯可能不適合。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0_pJRHOfKlkEiaFbjtiatxPE5EYiqPCSWRPJjFDMQxJtX6ZSMvDomiA0OFOLj39d0gXa6fxUCJB1ymsd_dCpRSjlFeOrV6pX9Zzr6aAPaWKEwSlTCjHncXvYDiLGDVn3HJyHR2=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0N4B4a9zFoLHCQtJR9L6YgSzIPN_V11fKRRPWE8NYamevBu-v-axhAWeluB3Evw8w00qwXmtvbo3rwlejKjzY2xaGa1gvXH8DxSFYS0YAkAymkFrb7VMJkY6_HG3S4jsqbXTQ5rg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rPoUZDXCOldBk_UZGbg-NaRHqGkP3xgwYweWmMFFPN6S4K867z54EzxqtXrFLuSLx4Lq6A9QgZLIdq8eSyzvmPLszbfsUbO7tRy-SfoY_PUiEtbJ-XFPFCV8ck0YjyLYGMy0x=w300-h225-p-k-no"
