Username,Stars,Time,RawTime,Text,Images
歐美加,5,2026-03-19,2 個月前,"外面有自助點餐機只收現金（可找零）人到齊才能入座
拉麵只有醬油與麻辣口味可客製化，內用麵可免費續，綠豆湯也免費享用。
店員會帶位，附廁所男女馬桶都有。
店內很小絕大機會會跟人併桌。
店員服務好，有置物籃。
我平常不喜歡說CP值，只是這樣價格與服務真的超值。","https://lh3.googleusercontent.com/grass-cs/ANxoTn2GUDaIj4mHD_gpqScMXsVlTyfR_Rv4eoFF9ORNgVvgL8-IYt--ac_lvZ3MGc4kP-tX-NisLmXlBqosuWlIH90a_o1dLVDG4Iz9MwsO_05-CoHguO-TMpbVMDeZcsAas3GPA2uq45xwmKc=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn13PzqaNywZftMBJVRVWQEJdpxDWOgHPhxAw09seuUu7oM36OCabXyHmayWKeB5N2YNVzetohjzw5q-ofBdFfjppwA7JHPaOTrWOCpCp2lTz2eUvO2A0ikuOChL7QiFTIivyKL5UJFWzJ0q=w300-h450-p-k-no"
湘湘,4,2026-02-19,3 個月前,"第一次吃小高拉麵價格實在很平價！
最便宜的是醬油豚骨拉麵，可以選擇麵的軟硬度及湯的鹹度～～個人覺得麵正常硬度、湯正常這組合就蠻好吃的🤍裡面有兩片叉燒肉、一顆溏心蛋及筍絲還有蔥。如果跟我一樣喜歡吃蔥，可以選蔥多吃起來超爽。
店餐時可以直接選一球麵、1.5球麵或2球麵，用餐到一半店員也會桌邊詢問要不要加麵。個人建議吃一半再加，不然先加麵的湯會偏少（湯不能加
店內還有供應綠豆湯，真的很推。
-
醬油豚骨拉麵$135","https://lh3.googleusercontent.com/grass-cs/ANxoTn24UG2Dn4mYZ2fs5C4laX_KbcYzBVfkTJEQRpZm6fBBNMX24zaEhRbm8gN1Xx1sSSo2dGQ8nLwSomvnbX6Zh8zp0Eyzv7gPZgcHg8esDsSAJsK21JUYjtMh2O3Sjla_lCIlprjwIQztOedt=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1xQOOR3LQk8CHT-6kku9RP4JTIe-pG4FWADVJ6jB5Z3O3jAZ3MYR6evbF4Yu9Q6eY7-YHOj-YhbO-s-6YdalYYuk3jhTEb62_zx6RKdSvZjObzztrAutopGRGJQZO-_AV6xIYp3dq4KSU=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3wJB4FjhtO5H-RDqzCejgdEK4ZiVVBRwwzSGIAF7AyzreHQ3xKkBhxt5zNqUFhlSuHKP0p1kUyaxPC4_5PV5RJwlosDiqyrbkdQKTg0wgcaTBXIwukHAbDkUqZi2oxHLqDr2DjbGX6z-mj=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1s_n5pS5NMHJd55vS7nzYhSWYkFeCz-BWEVdogFPwywFVwXIDAcGXqil3-h3VlYu5w8pZYSlB3Rv79J5c3AomFlY49Oe5_Xv6MTMYp704hzzYi5wH2CV274KkAaF7qextW-ZGvWtFwMMj_=w300-h225-p-k-no"
蔡坤霖,5,2026-03-19,2 個月前,"平價拉麵，可以客製化，有綠豆湯、麵無限吃到飽，湯又不膩，這能不來嗎？
CP值超高，讚！","https://lh3.googleusercontent.com/grass-cs/ANxoTn3KehF6zQkSjAtzt8-9WZnTGTPP5S43NJ8yIRGRxAYiRk9UX5Pr7av87FrQuxPFoS_KchQ-lnH_SlTqK9wQjX2fm5opOJXYOpchYQdY2w9InVcOBwEncq4E1PPkrRqf25JU3KenljnoonfI=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1no3y6h_oTYgqXjR60Da3za0sz96mGwak66d9mdqRWUD8nx8vb0dccG6yKlsHNrPlvpK7Yt4sT-_FvWQOedpbrql3gFAx6XKvSMLHRRl7f16ijmxrpyvz-d3bHtIUgnRshmQQlO6f782IC=w300-h450-p-k-no"
Wenny Yu,4,2025-12-19,5 個月前,"小高拉麵開來公館了！造福學生們的平價拉麵

雖然很平價，但以這樣的價位來說，食物真的很好吃！

一般份量有兩大片叉燒+一顆溏心蛋+無限續的拉麵條（可選硬度、鹹度）

內用有綠豆湯可以吃到飽（也有冰開水），點最便宜的醬油豚骨拉麵只要 $135，實在很划算！
—

補充：
1. 點餐方式：先在外面的「自助點餐機」點餐+付款（只能現金），然後等店員叫你的號碼。

2. 內用位置不多，印象有 1.2.4 人桌，尖峰時段要等 20 分鐘起跳。","https://lh3.googleusercontent.com/grass-cs/ANxoTn2Smjg2tWsx7KywO3nopadelIDbMIjz0bEzprGXzSjyuQ0E77L5mlHH8Cy8LALFuZC_4BAV2vOPcrNZgp24H0nsNZBgMSPXBggaOiXUzNH11BnbQlSYoiVguvLjdo7u_QupKtswQF41Huw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3bAg6jz5CYPg10Emxr4WqbmjxcXyHRcSvKLlTzMkWdxyvFD_DIYN52EUPjL__AQOSWDo2OZMAxp8ia37-HhQr81tusRcsM7YGk5uQ1HKo7ATFUfjGNKiQQGQpx8_tRRD487jrulAtZZ3wr=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2WDkdLIgIssfdZ-xohJN4Erxlt9XtEyeB1z2Fz7EPh234R6YDoJq1nP5eLeoFFaJaNdrRnK28yS1Y-TV9GSvYkW51S9ceh16ymNYEVYwJfDdddPWBbwYeGtfNic0h4-UTZc1q-tbz-m-T_=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0_qsiAgdkZP55AU1rlh8HjDbQYMGE7uba5QV58YXUhQ7NXOwawzdrEJft3VpSVLVk9WL3mgWZ0xQaqkMfMWf1q-uvWUXsQ9mJYooiL3nEakVe3Uw_RMlqxHy657GZkvepP3ij5rfdmqTY=w300-h225-p-k-no"
Aes,4,2025-11-19,6 個月前,"🗓️ 日期：2025/11/15 | 👤 二訪
🏷️ #深夜拉麵 #加麵無底洞  #解膩綠豆湯
────────────────────
🍽️ 餐點表現：湯濃麵勁但微脫鉤
這次點了豚骨拉麵搭配一倍鹹的湯頭。湯底本身確實展現了濃郁的乳化感，入口溫潤厚實。叉燒經過炙燒，上桌時那股焦香氣息極具侵略性，但口感卻中規中矩，少了一點在口中化開的驚喜，屬於「聞著比吃著香」的類型。
最讓人心情複雜的是麵條。選用的是偏粗的麵體，嚼勁十足，在齒間回彈的Q度令人滿意，但它有點太過「桀敖不馴」，需要花點時間吸附湯汁。導致加麵後常麵是麵、湯是湯，兩者在嘴裡有些貌合神離。建議善用桌上的蒜泥與辣油來進行二次搶救，或者如果你是抱著「無限加麵」的決心而來，湯頭鹹度請大膽往上調，否則吃到後來會稍顯乏味。
🤵 服務體驗：且戰且走的自助節奏
使用自助點餐機讓流程相當乾脆俐落，對於不想社交的人來說非常友善。最感人的是它營業到深夜23:30，這對夜貓子來說簡直是黑暗中的燈塔。不過即便到了晚上九點，門口依然有人排隊，證明了它的高人氣。唯一的小遺憾是這次用餐沒能喝到免費綠豆湯，少了一個完美的句點。
🏮 空間氛圍：緊湊的熱量補給站
店內空間屬於「寸土寸金」的類型，相當窄小。坐在位置上，幾乎是被迫專注於眼前的拉麵，因為與鄰座的距離讓你很難分心做其他事。這不是一個適合悠閒滑手機的環境，更像是一個大家默契十足、埋頭快速補充碳水化合物的戰鬥艙。
────────────────────
🏆 綜合評價：8/10 分
💬 點評：推薦給半夜突然想狂吃澱粉的大胃王；記得，若要加麵，湯頭鹹度請直接點滿，不要客氣。",https://lh3.googleusercontent.com/grass-cs/ANxoTn1xKCU04Pp1ZUo9oUw9LTDeNfqOqIKEi8W34OU8OULvgQKJgwP4LFClfdQYXY-Q1KXhuUhRFBCdn_LBjXRL5Si1nO-dVgAhLDN_itIicCE5zZvrdmHTgfWJiOWthTThmUkZmjg6I7WFRZot=w600-h450-p-k-no
何秉澤,4,2025-10-19,7 個月前,"假日下午17.10分內用，不用排隊，採用機器點餐付錢（可客製化），還有開發票

點完餐後拿著單子在外面等待店員叫號入座。
這家店的位子數感覺比永和的多，大部分為兩人桌，人多的話感覺有點擁擠，後方還有冰水及溫的綠豆湯可以取用（不會很甜）。

店內冷氣沒有很涼，因為店員也在室內煮麵，油煙味蠻重的，不過他們蠻貼心的，會主動問要不要加麵。

這家的筍乾不錯吃，特別大片。溏心蛋略顯普通，湯頭的部分沒有很鹹，需要加入蒜泥才夠味。
份量的話我點中的（一球半，覺得剛剛好，不夠的話還可以再加。）","https://lh3.googleusercontent.com/grass-cs/ANxoTn1PZLDKFab6yhHWGQi95XO9Ur76kUiO-XPAcD2q4l_a_fWJcAxTeoH_QhoHVGUa43ddQz1NCiDw0SmL8YncLfgC48oc5KDN1Pm7F7XtO9EgzyLOHpJ3Gc4kmLmS9hGRdkoNzPTvR_-3V9z6=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn136iVbEPRRYgRHU4RtU6H1oNWSAbwtfwGI5m-yXmX2Q7xlNjQp-btNxQhTvLY7smeYUsAR2wrZu0UZjdl6TOl0oH5IEiTLhZPeGtw0QYpOYyxJO1NpU2CYlw6_1RXpKx18NCbcoUWiAbzm=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0qF46xzBFCv6_RIROow3kB34FYfxymF7eaP8dtKehdWoDfJi4l1xcy8hVxchjurT21iehsxFiPyRnU80m4DI7MhhimxJ33m41_oSjdr2zkv9-SSqn-o1xFSzA8XEC7Ata_Wwh0-VTa87uD=w300-h225-p-k-no"
HB Yeah,5,2026-02-19,3 個月前,大碗滿足價格親民，有炙燒過的大片叉燒肉和香辣充足的筍絲。還有無限加麵的服務。非常滿足,"https://lh3.googleusercontent.com/grass-cs/ANxoTn00HbvPC8NfhsjJl7bLX44RcP0WEgdTy-DYCVKuEv6IickjdhJHeu0O2dR0yVdLW5ZzxLdi5KKXClIfWJLYb9AZlX0oYUTOj9wuRmnPRj2_IxAxXInmdbX50-TZdgB_Z31tynoeR7QF_BeV=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1BWMA2bzXPuxKLmgCr2cMWxvITB6VQX4Og_b98JALG4TOBjgYF0RIuDUHI-ekjVd44rPKukj880u-0VwT6_yQukH70AUkgt_OpkjBP7kw1E8RBivqLLmRlMQu_9G8onBkZbOLmPqECQAI=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2DN9BjvR_MfCbkoSWNCVHSj_Zt2Bp1UId_mtYm9M8IQSmuajTqV-BCdA6jR0xBT200UKM4PK7CA68MXl1erZUcoUK3bKjNez245ljTQv7U7kF2b5XVG266-vqWkfsbk-v6qRe2Dn8gq-s=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn027cabXzrh9LM__kaunrhtrtPpdpbHj8n4Whtfk_vlw9nRXABXC68FuNuA-_ggniLFXlV9UcW3H4_zdhTU94-QgEk8EmXClpU61RpQBOldsTgWwOVC29jvidGHx66VBLs66_qDrIMMK6o=w300-h225-p-k-no"
min hong,5,2026-01-19,4 個月前,第一次來到這間拉麵店用餐，這個價位跟份量真是出乎意料的高CP，除外之外更讓人驚喜的是口味上也完全不馬虎，店員雖然一邊在忙自己的工作之餘但其實會很細心的關心不同組的客人是否需要續麵，這個暖舉更是體現出了在這邊用餐的高附加價值，食物好，人熱情，價格親民，一下就吃光光了，心情真好😋,"https://lh3.googleusercontent.com/grass-cs/ANxoTn38q86UJyPucKNUn_DWBXP7X1i0ak169AYawl05-uCgmCoLfNTZ4tlwPSe6gsYrjWhF3hrlUocE2Af1AngIReZsrl6Z5UV3wOAeSjvbIs_uwZs8z37brRnhKcbE29f6JMTIw4zusgfeKgs=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1JklIog6wQEkl5oUUWR5FEKyynQjdf2F39ukSgZzd6s_DwhOJEd5KJBIOaRkVoKDTX2c14Hek9-dWxyLmQtCzTwfTER76H-ziyPnO8KohZINhfEq2RzzhMIRqc_VsPlQUP5HRmh06NzT6C=w300-h450-p-k-no"
FEI CHEN,4,2025-12-19,5 個月前,"開在公館很適合學生ㄉ拉麵
很貼心有觀察到我們東西較多給置物籃
然後麵可以選擇份量很好
不過我們10點晚上用餐就迷有綠豆湯了
下次再來！ദി ᷇ᵕ ᷆ )♡","https://lh3.googleusercontent.com/grass-cs/ANxoTn1krwIt_tXrwNfXDbESMqO4DqB5DhCMNGOpekpPKFLc6PiKUSRa2g2MbWO1348K0fCR1OTHim1Gy9r9XbNL5I4UU1bkMLHl3bRohOUsE4-Id_9762YjRgsXEJPznB9b1cZHcVmSgqEFJL2f=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3sWGhR74PXpfmBEzs7FCUzkVNh5qQ0hhLf7hzT5btFo-B6MYI1YnKx9P_yhPezq1N9vDTpqzEQzfyFFnHQRX83XtCKDt8EtzyYbhhzk1qFjG2gDZaFZMCPtYT8t2leely2in-u8RKG01g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1025pa1N-3M8e2jKcpicFt0sYaGBjnK9nYt2cAPRlhmkhgCQIXciQSM1frcDcxau1YYvJKY9uxOAnt1TAkwDIG-jRTtOECWzrksBk8OvmdFJexAQV190gGUVkUG4g_NC22snuwz_BLVE5O=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0YrKLCJ_WxfyjnwCIg0NqnvMNwdkSNy33ZPNymld77zMBL7w3pt1BzjRH6JfwP-DLn0sCq1cDZ7ETUG3vBT5y6jrfIP337Eboaf_NdgSAFF4IMt3dPvghWXC4WqCV0VZwCVdWOBdpyNZVq=w300-h225-p-k-no"
Arlen Yao,3,2026-02-19,3 個月前,知道小高拉麵很久，今天有機會在公館試試口味。首先是價格以拉麵來說算便宜的，又可以加麵（還好我沒加），店內環境一般，但這個價格只要乾淨就好了。拉麵本身湯頭還OK，但麵可以說完全沒味道，也掛不上湯汁，吃起來味如嚼蠟（還好我沒加麵！），只能靠蒜泥加點味道。叉燒口感還行，但除了炙燒部分有焦香味外，一樣沒什麼味道，比麵好一點。溏心蛋還行，蛋黃稍微熟了一點點。整體來說，不會再吃第二次。,https://lh3.googleusercontent.com/grass-cs/ANxoTn24IFXWrflmJh1tfbicAd1GB21iNoIMfRYxKwlRwK25SwgK_ufZbTpeiUh-zVrgZrJLXlUrJop7Fm3CPc1gD8SiPbe8Tu940mUxhdtsaL1YGJ0A2wS1IaCc401PudJxez4emOZ3-HCKJGA9=w600-h450-p-k-no
