Username,Stars,Time,Text,Images
歐美加,5,1 個月前,"外面有自助點餐機只收現金（可找零）人到齊才能入座
拉麵只有醬油與麻辣口味可客製化，內用麵可免費續，綠豆湯也免費享用。
店員會帶位，附廁所男女馬桶都有。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1-rDu4geB3Y7QRpqGG5m2A4q4UWbqPu_ZAF0np6HcBeVpvyi-FJyvDrzXvF6OqxwMCgK9akIR9LAw1bZEc4ZOdI91io5sGFKDGB8NU9WzDLmOg6KFy6t_Ns4ONglB6CLnHW0J0g1hugmM=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn21Yltfpiz1H4jwqEOiDqaFJO8IJ0VYIzMSqZbmfA9iDbeJeewEdvHAt4SySNooKT9hr08BvQEhXrP7ytjSFJF8Gv3B9negC1L_nWZc9N98ks-tEkchh89JMJ3i5BJ_8e1GEwi53vbhjfBh=w300-h450-p-k-no"
湘湘,4,3 個月前,"第一次吃小高拉麵價格實在很平價！
最便宜的是醬油豚骨拉麵，可以選擇麵的軟硬度及湯的鹹度～～個人覺得麵正常硬度、湯正常這組合就蠻好吃的🤍裡面有兩片叉燒肉、一顆溏心蛋及筍絲還有蔥。如果跟我一樣喜歡吃蔥，可以選蔥多吃起來超爽。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0OQK-BQJfINbcyhQH1M0qiURG_bn7GO7THbu6GtRol8N1T8qKwqloJS7iBOxvGLSCOXqd9rTaT3z0MhHjHNo2fowYcFtBxkxnHcCWO4qxdpw7FXPpznlZKziNoHA651RHmahmUl4KJFCBS=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1O81zrprhTppjZknHByC0jzPdhNBoXolQ9USuqDP8QU_bdsAs2QdtodTB1YGZndLWhD7KUETCHKrM-ng8Slt71FW3M9Cxj7X5CTG9mYlR5G6jRiU6gV4F7IEpqmNctqPQFwMzNriWIuVY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2-aW9sk9TyFB5XD8miGUWVDL3k_OWlCeCa0iUj4gmNPzGzrl0IrrOMtX70ounXFKqhrcXD5jHgquo-WDiiRSoinHoLtBeRPw4NrJPLFruY59HuGibtdEgvIHfYf-4r7MvMrQvZ4N2m6uj6=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2no7IBzHyOgJ1J9H4yurefDXfEqxMu3CpAkRmfygt7xyFIHzMISi8_znYGraJDfKCuQb_r-crUafrRr0zQGR8P8Zfhuro2UMQd8QisWoAbRkkYa9w2Kpl7MnjiyRlrU0bdeqk2fROUgH93=w300-h225-p-k-no"
蔡坤霖,5,1 個月前,"平價拉麵，可以客製化，有綠豆湯、麵無限吃到飽，湯又不膩，這能不來嗎？
CP值超高，讚！","https://lh3.googleusercontent.com/grass-cs/ANxoTn26E8779lhICYsreocHUtC9FKQXKCHHyB_YF7_l28nHhxS3GtE9rpPeIt7rAP4TXMQzEn0ub5uBv6YWbsEgHcB4It2QTfAhIqmHA08lb9e5OAi4PN9qbDN7vaQSHvasqy9d2rTMj_bw_QSt=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3prrWuxe6W9V8a071bFTxSfNSGvXwiIgf6bxwQ9sqM5jdAZ3IGLKEQ8COvrUk2kov23Inmh8i9d3xvMo43QKWzqqjXIzz5ONm2oHYJ9xGBAXcbRIzMot5ZBPgln3tJv7F_wVbvy99MhZ0U=w300-h450-p-k-no"
Wenny Yu,4,5 個月前,"小高拉麵開來公館了！造福學生們的平價拉麵

雖然很平價，但以這樣的價位來說，食物真的很好吃！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0JQQz8_-3nEakqmycuZPKkeC4s-FT6ToWr4BrWThdXedDnPdMHIHW36POwMizRNChcsGtLFZUBjrC3Y-iQyBEMk8F54-ZFA5KYzSYWHodMlscNY5119b7MNUJf4yic_ri1l8lqW88DzfE=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1r6RE-whFsgMvPf1ApSmceR7-e2n4bvlP2VEj7hKnaJ_io_GrKEvdxXkNXswxAATbT8Ia093z_ofUP1tWHXoLqIFmyi7DKjmSEEJnLbtJ4J8wycCSVXvATVHEn1UodeqcjEeiHS5i68a2d=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3U5ueYzsF0iCl6pF4zcYgdQjPVEwdxDeoGdK90t0k5jGaiSQHmfMqkZaAPc2ro9DA8AoUtydNSnWtKSCqs9SAGTOf0zVOEg8NyZ3w9_Q4QPyLuUv-ypFieDT5fO6YReu_1bWktrqp4u3M2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3guP_9XtNIMDVQMVl3M1Zzo5mX77yMj9pkMjFGsSAC9eo5vpVD8Tc9AZZLY5Wc6asLBkebvn1oydJhotvGYU_qGSzkmLyAp1kUGZMASKwRiXzPL5tzsCWH1wxeEUz4nPxjdcTFsCON6fw=w300-h225-p-k-no"
Aes,4,5 個月前,"🗓️ 日期：2025/11/15 | 👤 二訪
🏷️ #深夜拉麵 #加麵無底洞  #解膩綠豆湯
──────────────────── …",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Tle77iOSSg5XmuveAMhQGJCLRYJxeGdJ6NPO4VH81vMEGaEcfoN2kvp4LSYBwzAQRbp3IUXW6aCiI_XOdqSdKZhXG-gEmiLyQ6NW9Dm6lTtYpZOayXfja4pxlIo7Zj7wgw_g4sun0Xn1x=w600-h450-p-k-no
何秉澤,4,6 個月前,"假日下午17.10分內用，不用排隊，採用機器點餐付錢（可客製化），還有開發票

點完餐後拿著單子在外面等待店員叫號入座。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1q6QzOF7VfvABs7iOJeFibAzatGhDbhNCWTu6mxmK8LiH3RkLz_2Zi7FOEIQhu0JDQi442-Am95LVdPB8jVWeuPYYf4xamW9q6tP2a7vWyo7o3io-wy-aolw77uiYOsHMcnzXGw59HjQs1=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1bxGsH7L_PItGNixGXdAhy06Q7Nk7bZ0TpdnvwFqtUOssJMEw0Es1FQpIP4sOhIdREyaui2IgTvhHcepdQfqzcSk9P6Unub3wUf-qgUsAvztDp4Q3wV1N3NtDT9A1adc75kWDd0ZZn6gFQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2-Qrk2ogAPAzBa0BvBDvU1OFjryEOgurS4yx-04QTL5m1TTRKelFUhQNQ1y1bYfeRC40Gli7Bg440ZB39oL-0Si0wi3jt9scgd8nOiiFzy5zdFc329Cul6g00f85x-geCe69Mc0Qoy6oY4=w300-h225-p-k-no"
HB Yeah,5,2 個月前,大碗滿足價格親民，有炙燒過的大片叉燒肉和香辣充足的筍絲。還有無限加麵的服務。非常滿足,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0rI1LaztB2FR39LdyMnsirpayVRsu-vfZc3Pc1xhxN12w7Ys4n56_RGHHzSQ09aDyWsyXU2SIvbfauMYSTvee4Xh742EnMSvf0QooGgRs2XULSCQEjNGpNKod4bC6booFzrKotHinraogf=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3kqwb5cKvr3AMM0_wLHsMsL24e33aVTqIMX4Pb-BzqEzXkzd-CvWXQG15CAvXNyx-nNufKAsZtLZOLm6CbRHeYlVYFHTDVi0mR4PNlXSD_xakRViO_5OOBawBl6hnGgD-3oRf4AqL2sSg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ZQViN9RAri9K3si0ex8uoVpgH3W9yGxP7nZGXFS35IZ985BEcwk7fvhUm4IrETE5ISY7-8TZT-fcIlKohnxX3nFhLWBkEpTeq2xVpsZLZigD7WINNHNPcSkJAR4EnjxFXahRRwC81YII=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0SCyiBf7c_Q8w_9_HHPdK-jlglwaMvhN-knLBCouJwXlOkEsuaIT-HbKdJ8AGEbIAKzWRdqloIUJAt3e3zhvL5EV5kz_JCsXRFS3zXODuCiIjDXVe79---Rw3C0SkZJxD8xAFKV9ZlZcQ=w300-h225-p-k-no"
min hong,5,3 個月前,第一次來到這間拉麵店用餐，這個價位跟份量真是出乎意料的高CP，除外之外更讓人驚喜的是口味上也完全不馬虎，店員雖然一邊在忙自己的工作之餘但其實會很細心的關心不同組的客人是否需要續麵，這個暖舉更是體現出了在這邊用餐的高附加價值，食物好，人熱情，價格親民，一下就吃光光了，心情真好😋 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3j4Jq-xqbMjAxMZp6JE_Y8-QQwfGFfMHJ_voDazz4OmbGCyR590tayvzeJjC6ufXWPd5UHle-1lbHIdrmJt6YJWWGsV_93zIvTMQmuXSUWvn9m7dB2bXza-F5Tu8SG0HEt5-s1MFBIw9M=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1zuAnKpbNlgbvdSGttw31EBsffo5pBqKqGezhkXtHeUwFWW5AuTmDsdVheP9FATV4_eKY4Qpu6WTKcMKF2i50_nDKr7XMJAjRPhGGZhz1XjMoRPP3Wxs7U21ZZsTStrFUgawjQDYDYZm9h=w300-h450-p-k-no"
FEI CHEN,4,4 個月前,"開在公館很適合學生ㄉ拉麵
很貼心有觀察到我們東西較多給置物籃
然後麵可以選擇份量很好 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1oObDBAy6CRvJaTMe57RIf8zthIeqw4gkmPmvx8LOPuer179O3xKYMq8adjoNAmot1eZz8Ha_3vR2nH15G0LLJrblTdoyIzxnuid-8ORBecYDfg8JZs5qg809pOtlMW-uJV6begYA1aTls=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2bN8ixkoxT3BPOcQHZbtP6JvyBXRt_9PvO46kHrao9PfAQ0e1DIW7YhnLkwGqAFQkxyS8aYjxUn4uhx2mZ5xzTY6IUgx9zPuNuJgAOfSYQySfXNh0VuvtSpYUHB-i_HR7srRL4HFv2Unc=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1P1TuyjSKU9I5jf8PCIEt0vZ88NEcdjIw-wMCYm1LaR5JoXJPrg1BC2imYvRQEDvUlKV3FP1tz6Ig6maSJt3cvV9sKe5Ct8_bfwaiYW8WBlwxjUO2tkbZNokEHsm1bgZii6WlHFr5qoldv=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2DtHHQFRVKRnYgb6H0NwmbxE__dkWOaCHuwwzwnWuNqsh4q9UQq5y_hgTYe3OghLhKKu1Hcmd4UksUIuvI6jyw5B6IoZTiWQ03QSLfcv3LF7RBwYUt53c6ryJZgab2Tpe8naUFv2HR1XNI=w300-h225-p-k-no"
Arlen Yao,3,3 個月前,知道小高拉麵很久，今天有機會在公館試試口味。首先是價格以拉麵來說算便宜的，又可以加麵（還好我沒加），店內環境一般，但這個價格只要乾淨就好了。拉麵本身湯頭還OK，但麵可以說完全沒味道，也掛不上湯汁，吃起來味如嚼蠟（還好我沒加麵！），只能靠蒜泥加點味道。叉燒口感還行，但除了炙燒部分有焦香味外，一樣沒什麼味道，比麵好一點。溏心蛋還行，蛋黃稍微熟了一點點。整體來說，不會再吃第二次。,https://lh3.googleusercontent.com/grass-cs/ANxoTn0NsXwaFniP7-eHKUrDJ_JDi4nn1hgq3Ldqu_C7TosYp22ZqLr-JnFpvYz9ruBiQ-DAyGuq5sQuBHJoIfgOrLe7n8f1CV7MQLFCcPZrUiZTgIrFybC9OQNpPsnnKlPPFpD-VYwNGMYtqJg7=w600-h450-p-k-no
