Username,Stars,Time,Text,Images
Jason Wang,5,2 個月前,"黃金雞湯拉麵（雞）很好吃！大推
肉很多塊不會柴、吸滿湯汁超級香😍 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn30lsMBQ_yb2hueeBXcHCLZGN9VmvggXLg6jWYu15i4txW3HB_WakbWlVRAFylNV3OsguHcAW30Ns_-BokhMi__pcRRJfSWUAgjKWPPdH-b-6Pr1FOFieZD-ZqXaMa6-fA2g0P8Xf2uljAO=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0sg0mfBwXaIcPvUaAkLotB3uT-1HSZT9bRZvGjByhn6xpQvhJhAKqq42V-Jr_V-lQnn6YBOsvH0PAnRhE0vwtdkO1ypYZND-W6GQMzqAfh1GlUa_R34TbSZwSnlHL2c05Wo6Sug6a07bmP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1mXVt5P2lWtDcNvBcv1fR05vUOn8btCOohOhDEm3gOJxMmVK5eoFth864MkxwxbccahuOR670d9PeqD7b29nuzsMa3lMyYfvA1cMxWUXJ2Y8TwKFchhvkAt6txK47tewjKLhrt2pUEnPA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0K43wJjDJdbp0VJteTM5D67KR625e8Ah8PNcqEnwk2xd29dwD0ngS5KsxZCjg0UaFBuGTwhl7XOWaxCIakebUKJsbriOclTvo5Wdl13eazzs8kv4UGsGSlodVX_yGjVF-pQoQ7u6m4UYM=w300-h225-p-k-no"
Min,3,2 個月前,氣氛蠻好的拉麵店，但拉麵覺得就表現普通，看評價覺得整體而言好像過譽了，但從接待的服務生和廚師服務態度都很好，不會因為很忙就不耐煩，店內氣氛也佈置得很好，個人覺得不用特別排隊等待來吃的拉麵！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn26SMePNXCrm0cGsc3aKbvtwvuKfYvAuzTzbIeIRBBblMXunK-0_wWzF_9SMNL9jxOtXCiRn4wzENqTOQgf-mbSqU3TIOODeEGt-HwsDu-Q521J0M3Rc9iU9ytP4g9l3CylTmPyXxS1I0t6=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2cNuECsHV27e3rA48-vnAMd83VILvwph7bxmmvhgklSTORCsnn0rWO-8Z9NtO6lPv2Q72_kxWS3j8gX9iO9bNAijz1X5r6ZuYVU277NxKCAwIsqTWGCedW_GIdaQksUf4gXaSrpNE4jg8=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0LGaAjAjN-kcP5cqlCKkmk2FLpMGeg3e9jRUs8DOu1LID2-1MIz806Aq_NH72fNBx1Q4mhBuoLkeOvtgb7uygArmSl3p3K5zgOWSyTIkdqtj7Dyiy2Ue4HiHuCR3AdpnrvHBHOAKnV7dcF=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0UXKHvHYeOptlvsjYqz0ppgH-pKVy_F27dT_piUAB9zLGEyROimtfaMmRdxgn3XIuhhLVHwaMifgEPNxe5lMBT93rtwRSsrnt9f5E6l4w0COOAXOIzsqejippPNXytyikGC1XKa91OTuU=w300-h225-p-k-no"
Michael Huang (Michael Hwang),5,3 個月前,"放在口袋名單的拉麵店～
看到不用排很久，就趕快進店等待入座。店員們都很親切的招呼，看到冰水不夠就趕快補，也會詢問口味習不習慣，可在加辣 或是 清湯。
拉麵也真的符合期待，覺得很好吃。湯頭、叉燒都很美味😋 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2pmlhJi7KgACUUTboYoSEyFa_UP383unqeid5pSX7EkhBIpxEx1O7dXoL6Rpt5hFbs7xdjF6V1sed6vyddEJ5oQLZks1BYDNXTjQ5LRh1VsiuBqix85Evo8siNlWgY9hnO37u0idiTF_D4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1iZn_e5nIFUnvH4TpTfaj88Xvm0XXlFoNUQrV303gmSvK2ihcibd7jfILqupriIjvBUEd3PM6ia4rvX85dLfwFHdNwG0qHcSaFjH2UWmoPbymebACR1UMbHMgMFglIZ9NWv-SxBJbOdzxw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2C0kF6-ihxt3mdmc818zTQPDISQyZTDi53MRyIS7mmJP_HucI-x_-hjThst1piuExh1nr35AKIlrE9EnuZuXxbnB7b9TYTpjuZ0faHt8br5I-B5FuscIlWzmQeXTfauHHzPXVP61zizic=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn11ni3bOPrb_5AFVWiYp-l7oWFt-JopXl70Tm2L1XHex0YNYxW4BhGTtv5rQR8OqMZ02HN4sZR4IPzBQG0gt1GMBPt17b_lhcsOleW4z5Twylghcm_NBwbj7XLWEPRSwZhtGaI5hU0mMAEo=w300-h225-p-k-no"
Gemma,4,4 個月前,"常常用餐尖峰時間經過都是滿滿的排隊人潮，但店內的座位量來看應該不會等到太久。
使用點餐機來點餐付款很方便，且出餐蠻快。
店內整潔明亮，用餐環境很舒服，醬料區及廁所都很乾淨👍🏾 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2nL37eMeRkM0YvyUraJfXXfybpaN7PNwQRJL9lN22YfqDXpvaW8m_MMu38bx9z14D7oPXi-DawN2ZH9h5swMqaaYu6I5UVFTQHbKnLIEIIwm7w74QI0Iv0-Ef84QhDfDFd4Pb29jFKtqRm=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0MmbyDsy1OzV-IbOzM8fiLNUjVQXzorSCNYjSW0fJxOs7yFoqVvTZ2X3MmOTgjpYZIlca7V5SlWRtCCvy17pggxpc0PCKjNikEOzg_1dxazr77WoJvQw6xN-I3jRNBGBQ7vC_RCqqibZU-=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0KddeQw7O2rYE2uTBiUN5kFJMhFtzZF4bVK_wN8qHDs-hCKCCHFzekNxb2HKqyboYN9tDRrUsSlJ45GNrcRMbTWeItbU410YZNmObCh1aimjHJpzj3CzdvO_NohpBF-Rz4P3mC8P_1GRLy=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1W80b9bMqmlhMBPjiwmsG7BCMUWenmRTw6o81D_VcKQqDYqja_SLNWAeqC9kKNBs8lXCmEL9DhhV8zxjg72wt_QLoyVHM3mOVzt70LvPRcfAPAR-TMW2Bi1dxsuwnLGC7hgShzR1aBKJU=w300-h225-p-k-no"
Yung Chih Hsu,5,3 個月前,"維持隱家一致水準
麵條讚 肉肉好吃
加點 叉燒拼盤 很過癮 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1KYMNk7Atjic9cIL2wclMTTV1wUfo-ru8E9hwI8UBMGRbOn7EWMgHn6HwiG4k2vyuf34zTyZzPLvPNV8ycdFT0YlJdjG1ykxKbv-nml5Gsx97PQa4NhiihqjZzS232wj-xO6CdbGxQfaM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2S1983XpfN7JUeoJgIVIKSvS78IPwo_Pe-j-r4vQMdiHn0uGrPPLkOHNjPKoSFupgnplfSFU5P8czf9r5JuA3JqDJ1uHOVyITEBGbYFukxyJcAHxD81VHagxxFo_LPkDKaoyJ2D8aLa2o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3KUtHwqA4-zkNpDbUEv8LeUlofadSk_pcvoOqEq-9IlWTkEljQ-NBYCLNdEEvYwODh_Eo3bzlPpK4qnpGHWKKgsIg_L_aEolzb-Gk9LNIWfDgoF8sTsCBBgFSROJpnq-_icYi9ykw-P8Pw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0UK2wL5KyFsEIFV75WSWf8aRmS7H-l_4Dn3drF6bupwKluk1CYJMDGQzkQcUBWTRIFgtBBKLtx0HljoxJZOp-W1Tl2k7wYmUOhljpjivHeJp2LVI_FbTuYTZg4rM2-BLFKrsPtoSQqkzw=w300-h225-p-k-no"
這一週我們,5,3 個月前,經過3年，總是大排長龍，終於某天下午5點經過，可以進去排隊，太開心，當然衝進去，點餐機點餐，吧台座位，可以看到他們內場的忙碌，拉麵上來，吃第一口就喜歡，感覺像在京都吃到的味道，值得排隊，雖長但很快。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0fu_GO-sa1gbZ7L7Ufx6ei0K-RAouE5sLGXm6otE4KGj34idFhppF53DIDO_-RtMsAGFneCLp_fzy6JQqZcztHdkuwBMUa_4Lu-ELDmFRmh22M6MzM-Xn95YSpZCG0aOQ-y78kN_v74yaf=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0HqXvIWEfBmrOmKMOxW41JglgVjqPF3LFf6c92lB-2c0zBtyOZJM8mU2SlgE63S5Jbp_zb8Q_d-jcwN9Ze0SMYvFIQ4dHui9vdIRwNYCZSpml__1UDvsV-nmV071ZMi2IaDqqExEoe1Mox=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0wdVAa_FYAJ4hHKFYWPBTorKAhxCeBfEQs9NUCneO9kNhIucs5fzOqaP9xixcqCOTlzqzsRgkFOhA4ylKdStiGRm3yqh0WxmvxA70Ud1E7QsUU5r7QVN_rGjJtsL8qvTAnnYXuUMROeU8O=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2YDWnKoRCDOtekXaR_CnvdVJjrT0M211yLcxBVZaQB7oOkGLFQpwywoUKIT0Vr7B3xjo_fZ0Hi1umh_XuzpMmY9cGIWkUMCFx6uEcVpsxMVsKaMtfYnRoRjMRaaX0WwmXlGnoYrAIi6HDo=w300-h225-p-k-no"
Mia,4,4 個月前,本來想吃看看柚香，不愧是限量已經沒了～海老沾麵，肉就有2種還有2隻蝦，肉質都不錯，沾醬有蝦味，偏稀一點，蠻快就不熱了，但好像可以加熱，搭配麵蠻涮嘴的，還算喜歡；豚骨醬油就相對普通，湯頭感覺比較常喝到的口味，且喝多有點膩口，麵條都蠻Q的～,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1f_8gjbblkRgll9YH3N8RbmQkjvWtCHQOD9i1JDHanw_oaAniSPH7FdyT3W33ph5fSoNDOhQ_VsQFiSMgz9Ry4mBljEu2gYms7ATn9pDzLaxGfZp8kTVUWNPIxNGT5_8HI0AMFDS5KQP3_=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0_naBb6x5rZ3RJaVqd_NoBN5zNL2RXGd7Wj3RKcxJ2g8RRpQAXFcGFd7a-Dpmord73_6AW58ElJNL900zdZTUz5Ssz7LOkbNwnBgCBJKV4cvqXwVwoYHYpZHxRVhvppIM4BzjDMYEtC54=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3yGLISXQvM2nwliRi75A6VVe1yG20jUBxE2aI8pnS7e3fpoa452Xq0yfVb-6rKNAAC5DN6TujZBQnmuIzOnCKiv7VRImCzSuZSA-gS99bBHiaTGYhrWUPGh1WFs2fsHdrYUJ3TPhBE6fjm=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn11i0u-lji3Yzcexht2QLIAm_CmcXA4OzVhmcMxGaRf1yyaEHnr49RrdKnjgWOiYebkSIdFtuZxJzMxIz7B73egmpIg-OetLzTo5ZPgHQoP2PvjPCzqjw1TdaFzi3k7gOfbcNQieK_rwvAS=w300-h225-p-k-no"
洪大仁,5,7 個月前,"隱家在中山站、晴光夜市店每次都很多人，成功引起興趣但就是缺少衝動！今天經過公館店意外沒什麼人，就想說來試試！立刻鎖定這碗主打的「豚骨醬油拉麵」。有店員引導，排隊等候使用販賣機買餐點餐服務，才能入座用餐。每人低消金額是230元！
餐點上桌那一刻，真的很有衝擊力。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2A3GNACO_jdj0U5Cvc6Ub4E4le5bIXOhNoBEiRXJETJyXUpit3b9H8YJ4hfqHq9q_n6_uw3wYiACokGWwuUY_AUxGBOGcgsf4zaCQRae0tCJ1GbRs3fUUBDX8jd5e8_itm3tY9n6jj5go=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0HxAzPGUKzyGAVhdV79_ROY3Dp2wHsB_qmQE0OEm4P872Ljzb73q0s16dEbZ8xygUkzc9tIe1ZjrmYOkhSat1TXABVB8sYpr5lehIL1naw3adx1UDS8NWNSyIFK-28DQncPB-GzbxLdMX4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1R0E4H201cNL415ciOgQEar3Dnt_gRkqfA-ScdLPeeqEzLIvEvm-270G3nJ9FdsHJ6FniyBcfOjm57KPZte_5Af32OjHagz5xg_aMe-uJKES6w4XtV7MGvWYgiy5HZZps7h9sWElf9yo4=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn38VJNPTAxuVbG02Te6skQAaV80QX7bHkLy4EE0w0l4w2kNRNtM1m2Xnl8quL5VNxtIztwqP0cfG6-YQZIlzBGPGF6bQDeHWuzttcgkMWY2iFLbKYFuURr19Iam19mUOIxIX4KkP_ESsGKg=w300-h225-p-k-no"
蕭紫均,5,3 個月前,這次和朋友經過，想吃拉麵於是就排隊候位，大約等20分鐘入座。我們點了基本款的豚骨醬油拉麵&限量的柚香干貝拉麵，比較喜歡後者（非常特別，口味清淡好吃）。總之我之後應該還會為了柚香干貝拉麵回訪，算是蠻推薦的！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1LvRicucGD5uYZRLvqtP1MOM1cejMl_MVC1FTfcly3abbDXNaBgEyDaxJZNTMUaS381cI7hrOFMbt1AQRFcA5J7NJRMx1y4BQLmTO4Smfm8YKX_2fTf_XaIYlZ0z1e6Ij95iWJ8dPe2zEH=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2S6JAklI05AKpm426-TXrT4wzNfC_4BSGJqkkHtFWECa_opU6ry1FmQmZRp93RVLuiIMLOB7fAjMkCY-R6O3WicQByYSv1Mu08qw24VllVAMBubYQaV2lUGF2ug8MPsCZgm613eIbXb6vl=w300-h450-p-k-no"
C.Y,4,3 個月前,每次經過看到好多人排隊，當天時間比較晚看到沒人就直接入內用餐，點了雞湯拉麵與豚骨拉麵，個人比較喜歡雞湯清爽口味，且舒肥雞雞肉很嫩！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3bKhHW1AEiU3DtQhJ-4ZSa1YMSmxe-NbT_ZgB3DcLcDvkRZFUwoVrAgX5ai77UFV2iuhcoEgBNTGpZpkzz_1OT24ayuXelpkWXH3Ycs2Ld-m4KQUmfokCosyyTngFL02EKl4MJr04VImE=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3FnbnR-XX7D1963iw-clG4-Bf9ppIpTI0D6UTzG8M4VJoIpK4bb-IfPvYCJqrBAPCuI3UHc3G8AgXrrW8fzajrQSSpb4aaAb3HonvTOyeXAxevVUNbnqlbZ1DVWC1oA8fHVpQT-qqHZPg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1SkvYWcVWHcgq6RYcvhQ63EAx_tWY5at2kz7oKwKf02c7OYuAtlDo5uPlfZqGBh_xzvOJuK_cTcIXpo7v2ndoqSHbKOLYlkI8_uS1z8CcSMhQTuuTjlxFwxoOJqlCqtSrPz0UFzz8RKz4o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1JU6lfNprGSkycVYVWtkygPIoPg-ZmZU5pkMqb7WCsuvE6fn5h9W3ux4cEObM0MQFlLmON3TDRmIYfVouzrXepwUEY0c3dUL9nY8oG-JEg8in5IEMrBmeRqMwx5Wq4Fpsqo7_HQer3Vd3_=w300-h225-p-k-no"
